;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
119;161897;361964;172213;13237;25957;80656;1292077;2340567
120;65924;765062;92506;128584;173130;154031;892413;3014520
121;245608;203766;97531;107673;291656;44096;635640;111559
122;57670;92756;43398;112124;146230;160198;75618;103765
123;32920;140269;77266;168457;224214;76057;108696;238270
124;34920;321226;35061;70580;49415;15886;40790;816066
125;317533;48172;86452;225605;91163;75096;960604;1318574
126;68644;734;38051;34270;38658;23561;191453;516953
127;104462;64256;1329;242414;60764;128148;227233;1108593
128;65165;59704;216171;95332;77762;414569;37886;427466
129;434013;4906;174991;132950;53969;100487;233133;36177
130;2516372;532844;339021;288896;150591;200062;1570236;925605
131;15510;10527;155687;97490;134350;255682;356259;273144
132;2444;22470;232114;17455;615905;11916;1514963;912747
133;211935;32107;16937;120582;34308;219909;647129;1514985
134;92688;43793;233757;254940;200943;43537;254097;66496
135;96249;46495;37953;260524;153214;72789;165919;1864762
136;12609;22313;7158;4599;155747;4444;36738;1121327
137;44827;154514;50227;118505;11482;193568;980666;49040
138;255000;49590;394859;115840;48427;587481;97909;74013
139;151363;261748;89724;51958;6920;74944;29007;1028876
140;213188;35552;117396;15812;115836;29930;683705;354312
141;22875;35699;150979;11860;286882;380864;769013;447780
142;60241;27378;68380;332994;126778;163769;52666;1148451
143;14148;61792;353412;627499;161735;73237;774081;558196
144;63643;78828;3515;148898;66998;60406;292523;179676
145;295667;10052;43167;7717;19873;8658;662998;42188
146;70758;15991;78110;34937;192509;75330;722463;132193
147;160557;1433;63412;80706;71017;312827;733311;322300
148;8325;6135;84908;12092;73683;184508;837595;543870
149;366244;262546;212498;72010;10510;246529;297683;1166170
150;65702;79865;104815;194128;303882;215646;1015857;48586
151;208900;266773;218989;162633;39960;63883;50175;1289471
152;867621;267703;68247;223156;26151;222457;14565;335540
153;44535;18137;12657;14744;12673;344638;42529;367867
154;5057;345659;612;50383;72091;24344;679736;320503
155;200917;215269;180253;69085;70658;480522;617839;745725
156;213550;33894;77295;54928;23057;87746;22266;591997
157;13260;228427;316312;743536;177181;236345;297005;809387
158;111103;183023;20163;20399;145189;305221;1106128;547038
159;341715;48587;210879;29630;94488;81603;349287;24065
160;6161;132452;10295;95714;163413;117788;68062;73148
161;120975;82290;35335;257512;7562;446807;57961;2470253
162;128348;61124;58385;43449;123447;167144;582602;710490
163;694431;25005;44151;132405;31651;120359;365574;1344982
164;175070;132386;284;20426;73746;17374;924625;716799
165;32498;18041;45005;35289;2712;287373;64319;192074
166;806641;721209;67337;30923;175766;267707;1219017;187915
167;78086;37605;187046;14083;111858;168706;15781;126161
168;1148986;58807;36544;28227;106806;619455;460522;1520583
169;17670;110624;208032;3217;74286;104248;51338;120060
170;25452;59439;60452;64829;114752;133026;138976;1601873
171;59423;89885;57254;150368;57326;305245;2042818;401955
172;166586;245976;526491;57681;595127;280258;2229;781232
173;1852624;153317;10018;78274;55802;182262;495913;779563
174;195820;351776;65723;176750;85227;279227;1286503;1585687
175;10816;224238;14675;164198;74416;58234;104048;156765
176;309324;28810;595796;19359;1074;112211;2279432;607739
177;23977;1153;201123;103452;95309;107385;48601;189272
178;152826;30762;229521;39439;228;271798;633660;62449
179;160923;33999;98978;46654;273076;60644;191102;541815
180;158175;34744;11116;282;34845;603301;136728;10569
181;33643;22453;100975;313203;29093;194317;38007;104753
182;188512;38994;32345;87888;73164;4557;497892;299789
183;31818;343816;2640;92515;15450;1166438;279001;636499
184;44669;205673;206;253120;289661;173751;644321;1158202
185;101483;7499;20043;47419;25447;27341;378268;144153
186;36599;18232;6999;17034;97306;239990;128243;252213
187;93304;65628;62705;4897;178576;23811;505047;1367375
188;205399;264029;382466;217559;74039;538399;19855;859584
189;91427;176582;41629;71568;50058;96464;448984;245137
190;27666;99553;213861;32914;294;574628;373653;791563
191;25364;153637;71490;40418;45958;101754;156731;765299
192;71468;82407;150929;47677;178316;82688;1356523;1136272
193;1141027;6880;111781;69892;38495;149850;492373;1582856
194;553839;44381;50807;429022;31228;76207;674575;483273
195;957780;335573;269135;279772;57023;41400;569211;342838
196;1022574;797743;98263;60404;144074;372203;225585;758746
197;3430;167157;36753;114353;123064;404807;352776;639776
198;126492;183324;220050;158436;217739;41295;199556;283084
199;945264;187406;114011;58758;70997;120294;898684;37340
200;40353;48764;51706;75597;41238;34139;493685;345096
201;149306;36069;8729;204145;2469;25489;488156;187561
202;94610;350801;141268;1839;385276;18222;134164;659171
203;17008;63740;43754;216578;469942;77716;15294;407648
204;12333;16363;18346;60084;133300;264802;53281;786109
205;67693;7715;179380;18497;31823;187860;229330;457028
206;12698;91310;113369;200327;5770;806046;392232;1232994
207;29358;12178;102990;66434;169824;321007;109573;10421
208;28596;179070;80880;11530;9874;46952;658420;345583
209;628957;57064;12869;76110;37202;26066;135531;112654
210;138670;306140;116636;345124;48075;88038;574114;91009
211;51291;39315;46391;50738;628672;49607;1368239;628115
212;148424;118702;41022;41835;74403;32177;94158;592348
213;420870;9719;1561;213483;34398;248058;64499;1252754
214;84281;413664;42628;204171;341326;124045;145102;3660919
215;29363;155552;125796;51000;125075;39840;801320;71514
216;168925;79455;34090;30217;122595;546858;253442;218761
217;125873;65255;155969;63051;9542;260713;598607;28799
218;51908;48684;15982;5590;3233;217915;14939;316975
219;134726;1534;41742;43035;35142;11197;14725;458621
220;222438;11945;45303;124614;268914;6253;6724;143564
221;367663;8193;442911;128386;108494;18523;45338;641816
222;34066;69662;77819;208419;102445;35680;295912;442947
223;192655;26607;67523;244319;715473;93024;89015;26539
224;74676;70985;38463;107746;36266;42981;28015;300619
225;48687;50364;95627;31350;73815;87369;614;45162
226;220701;234990;5509;185408;11691;5325;599409;142283
227;49738;257381;13852;5761;50668;140053;247040;354054
228;14097;29708;87367;50376;123891;109261;30236;127408
229;288514;18694;111755;24761;186709;105997;190072;508484
230;125664;185511;33591;91365;2114;16125;111480;363615
231;648238;6290;23600;19490;649;30322;15594;208170
232;235049;3641;114674;10321;8722;32986;319443;482034
233;37133;193076;159796;29499;63135;53929;1120604;83828
234;53038;28681;85442;85976;94625;537570;1749854;539234
235;35327;166076;32394;62850;476530;479;43305;155312
236;1027;30984;24876;14280;63670;36422;499646;77956
237;1604330;58444;122476;48610;226166;171051;699386;205691
238;23287;337433;262028;20752;769763;14781;306262;258762
239;82778;238329;9467;59548;26724;39861;89330;391341
240;80654;29340;83730;204136;48341;87349;258940;531279
241;760541;77605;90128;158111;64559;89893;410268;3095523
242;108123;170713;57379;831431;264780;142264;25327;56660
243;254788;152076;214136;2039;244938;760372;391674;1765
244;1039;36325;97372;7306;35587;401982;45070;63271
245;22311;11447;145763;88119;21627;90774;756461;246069
246;49436;60993;98740;42325;5545;437167;141662;82559
247;67471;226677;398744;307889;118922;772745;291595;884388
248;307565;4751;147207;87704;412925;19612;28425;216862
249;763071;242463;33451;119299;60337;177327;97622;1104524
250;358689;2327;134588;43726;178240;67189;451999;55773
251;92150;57719;183480;48900;213585;37289;20291;5636
252;27428;134891;11998;15708;38995;62306;129313;205891
253;95520;67248;26491;193120;423227;355255;950294;272240
254;64627;191733;6604;68031;95283;476934;250922;289056
255;87262;58989;63114;24599;26806;649883;365231;637999
256;1125826;445469;71185;38340;331091;113426;210629;172829
257;21275;28461;69088;54599;21954;186060;124572;35071
258;191210;95865;196940;345541;265359;76174;933451;88028
259;15368;142253;59192;88497;174147;241926;165535;94179
260;122485;2674;19659;443729;13634;141408;196925;73825
261;19499;28136;394385;9514;58823;109839;337819;260307
262;49967;184809;123297;295443;158475;4675;1020903;226409
263;144674;142830;37716;44837;7183;136310;28679;208949
264;113494;30752;79628;414015;320311;266451;924758;90362
265;207669;342140;55571;128389;257826;1672;180822;1252436
266;312235;324406;80162;517512;81337;113331;162107;109231
267;27848;25884;66951;189076;68793;87843;168767;802390
268;38947;81057;23780;16162;102031;176498;106935;494437
269;39560;154824;96044;200771;92374;127118;49657;802295
