;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25;RLS-N2;RLS-R3;RLS-R4;EA4;EA3;pmut2.0;pmut2.25
1121;fail;fail;fail;fail;65351;fail;15741;fail;fail;fail;6066;fail;fail;62824;fail;fail;8561;95712;49150;50438;fail;fail;fail;fail;13675;12240;fail;8474;75608;fail;fail;fail;fail;fail;fail;8531;76802;9388;130428;145894;104338;180843;166199;169339;149980;180417;133772;198771;45564;6683;35555;65271;50006;11273;101388;3054
1122;fail;fail;fail;fail;fail;fail;fail;fail;2358;fail;fail;fail;fail;4665;3023;fail;fail;fail;fail;fail;fail;fail;fail;fail;16323;fail;fail;fail;49275;fail;fail;9039;fail;fail;fail;113356;18968;80529;11613;25383;15911;90147;18223;44334;32197;32393;8785;24951;13074;105752;213181;118735;58235;202062;40580;24448
1123;fail;fail;fail;16708;fail;fail;fail;fail;fail;fail;fail;fail;fail;29524;13279;fail;fail;10963;37491;44337;fail;65472;fail;41992;25399;96908;50876;fail;94050;fail;fail;fail;fail;fail;fail;126802;6086;30351;297929;118845;46459;81711;36288;7563;250669;79942;77214;71419;30747;180346;116757;49245;95074;80302;15347;5202
1124;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;49493;fail;fail;fail;fail;27782;62765;8609;67628;91060;33503;fail;fail;fail;500;47069;21944;91693;fail;fail;fail;fail;76020;8584;224778;105636;49306;32458;62583;35960;98733;35937;215749;41395;2154;5930;89885;17304;106577;52707;158636;45874;318089;166259
1125;fail;fail;fail;5803;31447;fail;fail;fail;fail;49242;965;fail;12334;fail;fail;47262;45432;fail;fail;fail;12603;fail;4143;fail;54549;fail;fail;fail;42999;24122;93834;38620;21001;50043;fail;123470;155752;78974;103477;53778;150561;187418;27040;23732;56467;54968;69674;155464;23549;42652;66516;49483;354249;137984;349965;196942
1126;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;5702;8566;fail;fail;fail;fail;fail;81246;74989;fail;fail;8236;fail;72265;51058;29057;9809;58189;19045;fail;36639;10263;29873;68704;fail;183963;151893;102116;fail;57428;56445;418283;29993;15147;60085;12769;33508;188916;40134;226491;35997;129011;494428;251233;529070;276859
1127;fail;fail;fail;fail;fail;12310;fail;fail;fail;fail;86076;63290;fail;fail;5446;68549;fail;97459;fail;12855;fail;95132;fail;fail;34298;34860;27629;23756;fail;fail;10974;78537;82388;fail;fail;69087;4379;187473;228736;31460;346559;1563;6275;59621;118049;18411;34120;100927;103853;11213;37210;65484;31721;7602;4314;33296
1128;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;87218;fail;7907;fail;fail;29189;fail;fail;fail;fail;fail;46483;10102;fail;fail;fail;fail;fail;fail;230142;248206;56230;40125;56051;fail;303518;132050;11031;250815;42053;30179;215520;13928;87789;86733;1926;3505;13528;56717;171904
1129;fail;fail;fail;fail;fail;fail;fail;fail;76106;88279;14280;72428;fail;fail;fail;47022;81757;78398;64654;fail;38417;35745;fail;10429;fail;67391;fail;1710;97326;24188;fail;fail;fail;fail;fail;449;38619;119153;184006;89457;63;380805;18862;499996;124400;41796;134872;17945;59770;48420;146873;697535;40924;58005;30737;91799
1130;fail;fail;9353;9256;5875;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;19408;fail;4304;66273;27334;27837;18926;fail;26974;fail;fail;17610;29927;fail;fail;72615;fail;25320;74698;155628;168838;23707;50851;15826;258573;19441;7359;22665;23497;11243;9578;30397;83877;122696;176263;79501;13349;525520;86909
1131;fail;fail;fail;fail;fail;fail;fail;fail;29229;fail;35780;81927;fail;fail;fail;fail;fail;48954;fail;fail;14953;fail;fail;9334;55323;fail;fail;fail;6091;fail;97131;34177;fail;26351;30843;78615;47741;20444;14734;59793;885;80732;49821;13595;496912;126957;36395;203729;65908;30809;87147;8094;52015;115296;20790;191413
1132;fail;fail;fail;50355;fail;32053;fail;fail;fail;fail;68212;fail;fail;fail;10390;fail;98791;fail;18857;fail;fail;18255;67585;31183;4323;fail;fail;17198;12319;5998;8535;19132;fail;65934;68649;3210;326;47747;155942;14179;22653;88654;22041;19410;7985;795;64903;183691;77211;138995;33965;4439;37271;7006;99864;4304
1133;fail;fail;fail;fail;fail;fail;fail;fail;fail;42785;11153;fail;53758;38025;fail;fail;fail;fail;fail;45640;18289;60217;2599;82817;73724;27621;fail;fail;54289;82508;32929;16432;3058;19026;3804;231243;186043;153503;122439;390384;106326;fail;15192;77822;96640;362080;44742;35806;12248;18271;671107;457768;40935;21964;312159;401482
1134;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;57777;fail;19440;fail;fail;fail;fail;fail;11977;fail;fail;35032;68876;72345;96680;fail;fail;fail;20335;56843;fail;55292;fail;85768;fail;30801;13316;223438;276475;102821;115989;77788;40184;209179;94665;47724;33502;28665;234220;9962;53398;28827;64477;15222
1135;fail;fail;fail;fail;fail;27314;71779;fail;fail;fail;46623;49167;93802;fail;fail;fail;fail;24031;fail;fail;fail;77781;1770;72650;4497;fail;12565;fail;36615;fail;fail;fail;fail;43450;fail;145395;111206;30259;3578;207435;33198;81379;10867;1957;28980;48080;121840;40991;229116;39842;6245;41784;34129;173314;24273;515975
1136;fail;fail;fail;fail;fail;fail;fail;fail;27900;29764;fail;1498;fail;48304;fail;fail;fail;fail;6073;fail;fail;fail;94915;3165;20447;fail;fail;fail;45505;fail;fail;48413;92733;fail;fail;3945;107864;17138;84316;53893;372394;3603;46751;51077;8849;73577;254927;55355;225432;52648;10864;11412;1122;62770;7899;65041
1137;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;42641;fail;fail;fail;fail;3502;fail;21625;66371;43645;fail;fail;98133;39675;fail;10340;fail;27149;28008;255949;103018;193299;fail;60581;256901;34346;67399;165870;36733;196124;73463;31018;584;55041;462875;101835;26736;242917;29684
1138;fail;fail;fail;fail;fail;fail;81468;fail;fail;fail;fail;fail;fail;94014;fail;31748;66950;fail;fail;fail;40320;fail;11401;26745;fail;fail;fail;fail;57911;fail;52522;2272;14598;fail;fail;32327;259805;54150;34830;168438;105158;72194;71155;74089;161194;203163;215899;54624;266091;214711;59337;287895;112885;60884;79474;31536
1139;fail;fail;fail;fail;fail;fail;fail;fail;999;24998;16039;fail;fail;fail;fail;47062;43035;fail;48288;fail;fail;9516;66376;19736;fail;5992;fail;29591;26588;22215;35857;68106;6278;6472;fail;388327;187051;166771;57610;59279;209943;fail;8568;37405;95360;96938;73914;85635;3939;163874;129370;35646;197869;12573;1331;244336
1140;fail;fail;fail;fail;fail;fail;34878;fail;fail;fail;30862;36540;59228;fail;fail;fail;28434;28718;76098;74207;fail;4307;fail;4861;89506;fail;fail;40114;18484;12824;57654;fail;883;fail;76884;237414;fail;9214;33340;241887;fail;2579;1446;18653;8959;1868;44767;4154;6701;14043;36389;147586;7371;88288;293332;121485
1141;fail;fail;7138;24838;3056;4052;47040;fail;74060;fail;fail;fail;fail;fail;fail;fail;4638;fail;fail;fail;fail;98410;511;fail;fail;fail;fail;fail;9831;46470;98;10183;3939;95565;29966;16493;138507;5577;72583;40749;163114;39409;16399;57516;78109;70183;118800;21975;8351;35612;39622;33882;276898;67763;12794;48260
1142;fail;fail;fail;fail;fail;fail;fail;fail;fail;50119;fail;fail;27586;fail;fail;fail;fail;fail;fail;fail;fail;fail;535;89280;fail;fail;fail;fail;8291;29462;45125;fail;fail;58853;40041;70454;296144;22578;246309;59403;186779;102878;274359;35526;54691;60249;245197;258689;109910;68188;95312;38538;251592;55187;65422;14861
1143;fail;fail;fail;fail;40062;1997;fail;fail;fail;77375;87855;fail;74989;fail;866;21597;fail;fail;83176;fail;fail;34546;79085;39731;28838;31893;fail;fail;62488;9948;fail;15304;fail;69728;fail;212969;17999;317924;50703;4511;52466;146500;104030;400661;231265;125619;309645;163984;428;16062;173733;416162;164917;167797;387025;347519
1144;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;60093;fail;fail;83744;fail;12947;fail;17678;fail;66542;471;8207;95075;19147;fail;fail;fail;15396;fail;fail;15967;fail;fail;80936;64353;8722;91565;17263;9758;28029;55713;42763;202022;96284;23482;144961;20569;306761;299028;11101;54369;9726;100783;9636;75117;113251
1145;fail;fail;fail;6684;fail;fail;8;fail;fail;fail;13947;fail;64436;fail;fail;fail;fail;fail;10338;fail;fail;54170;fail;fail;68332;51834;fail;3965;20974;fail;97638;51863;fail;1132;fail;15321;279;27797;141687;10232;195047;17992;159199;1919;4589;23862;12338;25314;15065;13583;130507;123839;103107;539442;72738;49427
1146;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;97776;fail;fail;2523;fail;2497;7763;fail;34818;fail;fail;5578;fail;34448;84470;87297;18454;16213;37687;10158;3200;8244;49113;73982;fail;9558;261574;43951;61929;25810;137111;353112;127998;51399;46075;7864;150294;1467;11160;235166;24261;124340;145620;103486;49196;112820
1147;fail;fail;67719;3758;fail;fail;fail;fail;fail;fail;3963;fail;17704;fail;fail;5551;10505;12233;91573;1898;58356;21656;fail;92323;4564;fail;83404;40779;fail;77123;83756;59045;76022;44895;fail;4466;94221;162175;145770;72527;89637;168442;5034;73292;29832;50937;154439;5099;358062;43050;102029;192475;151086;35285;222514;310357
1148;fail;fail;fail;fail;fail;76004;fail;fail;fail;64108;65684;69393;fail;fail;fail;fail;fail;3155;6430;fail;fail;12145;fail;45607;77793;15025;47301;79316;50925;85345;fail;33603;21061;17631;15033;55139;44911;11742;55301;224285;46489;18268;240978;520095;35084;32788;152352;235192;223779;69454;2259;77564;4880;28484;102324;30652
1149;fail;fail;fail;fail;fail;fail;fail;fail;fail;97291;fail;fail;92035;fail;fail;fail;fail;94303;fail;19044;fail;12283;fail;fail;fail;fail;fail;fail;36061;fail;24644;fail;60261;3538;fail;101670;30650;18168;206647;5276;8314;1597;58857;35770;42732;85747;195784;69789;94058;17075;22955;147236;48959;60480;48602;100258
1150;fail;fail;fail;fail;fail;fail;fail;fail;fail;55285;fail;22315;fail;fail;fail;15991;9454;fail;fail;fail;29550;37945;20669;2635;fail;91199;4775;34986;14025;71409;79759;45140;fail;77406;32994;183490;44895;87909;218478;42708;32100;252445;196699;2181;77927;41539;112145;35407;221636;21997;977;19047;2828;76262;48770;44389
1151;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;29386;75517;27723;6164;fail;fail;fail;fail;5323;81903;fail;16445;36714;54022;39660;fail;37236;fail;fail;48118;14585;27127;fail;8256;48869;553;40674;93467;116810;4255;76867;45584;17736;180453;264122;114165;48485;33036;124498;119351;111328;76565;56013;29173;8815;18600
1152;fail;fail;fail;fail;fail;fail;fail;fail;42540;53306;fail;38936;18130;8978;fail;83443;fail;fail;fail;fail;fail;32748;49856;13122;72188;3020;45587;91508;fail;fail;21447;2643;12069;74210;fail;35065;311968;228841;fail;41834;fail;187588;42325;3654;5373;52779;73027;20852;11810;10168;83447;25343;127673;346410;95112;239819
1153;fail;fail;fail;44040;fail;fail;58632;fail;fail;227;fail;fail;fail;fail;fail;fail;fail;fail;70713;fail;fail;fail;fail;fail;fail;77874;34785;14884;fail;8634;88071;fail;fail;fail;fail;40729;94848;270085;130078;8444;5232;208612;18344;29083;4848;37744;129862;11970;319218;9118;34051;64652;408;74020;4089;38333
1154;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;3549;fail;fail;9505;fail;5114;fail;88780;82909;fail;42171;70433;fail;4814;35334;fail;fail;48202;8638;95920;fail;fail;64363;113254;27101;47978;171921;90111;211184;27216;9740;411797;287738;47990;53443;443548;28123;129766;153692;582479;411701;61736;171511
1155;fail;fail;fail;fail;fail;fail;fail;fail;26239;fail;99381;83329;62071;fail;fail;fail;60019;fail;16279;41122;fail;98236;61209;58697;7429;28615;fail;fail;48122;33288;58743;fail;37974;fail;fail;7517;108836;163250;287801;181343;172650;211835;20799;311458;296298;283385;94996;39609;4789;287513;78664;166851;98371;443676;77969;684187
1156;fail;fail;fail;26906;45691;14327;fail;fail;fail;fail;40915;fail;fail;fail;fail;fail;fail;fail;1872;3345;21584;28366;88855;35045;fail;40517;20219;34395;84936;17359;fail;fail;2052;fail;50893;41060;99507;63705;180679;25652;47548;7878;41276;63019;319783;107682;22308;163403;51904;2782;13575;15493;73251;124146;174523;89410
1157;fail;fail;fail;fail;fail;fail;fail;fail;fail;43399;73380;11771;30195;fail;fail;16662;fail;53870;fail;fail;fail;836;fail;fail;fail;3728;fail;fail;fail;fail;fail;48512;64192;1027;40021;124009;25330;80721;293049;139373;390882;196441;22647;179630;130042;49216;5344;17545;20427;22967;6253;64544;85176;34441;8815;20436
1158;fail;654;fail;fail;fail;fail;63822;fail;fail;34512;24622;94641;fail;fail;fail;fail;fail;fail;fail;fail;39162;65589;72643;87094;81503;13087;24546;738;fail;fail;10191;34147;68560;34054;fail;3193;144181;11395;241180;277500;332365;257355;116420;84197;82149;59047;36688;8307;11431;210375;363479;187061;4773;223036;48452;764410
1159;fail;fail;fail;fail;fail;fail;fail;fail;73794;fail;fail;fail;fail;fail;fail;fail;11205;18025;fail;36759;83200;fail;20922;83851;fail;84100;32315;76640;11422;26958;17459;27154;fail;14857;15393;66871;84530;131112;87484;10268;56741;71566;7981;5141;32981;23923;166126;126105;185795;37297;64894;152659;870574;69653;193142;157004
1160;fail;fail;fail;52750;fail;fail;fail;fail;fail;fail;9970;fail;fail;fail;fail;fail;39943;56091;10733;fail;23486;fail;fail;74958;89768;5691;31174;49849;14824;fail;32708;61682;74458;fail;1964;55877;12890;74701;53028;46356;fail;94514;3803;70272;89826;106191;68230;61682;74478;2980;530420;9119;13829;91361;81780;46904
1161;fail;fail;fail;96392;1540;fail;fail;fail;90832;15485;38728;70254;fail;fail;fail;fail;fail;fail;fail;fail;fail;2286;446;35708;fail;fail;fail;297;20222;54424;fail;69233;49005;96550;fail;25881;195122;26849;971;234192;265949;226706;825;27869;177997;15109;26776;7199;7564;10806;24463;52905;7510;6709;65531;52828
1162;fail;fail;fail;fail;fail;4997;fail;fail;fail;fail;fail;97981;fail;fail;fail;fail;fail;fail;69920;fail;80129;44201;8456;5518;80;43289;3461;34976;7255;8242;35380;fail;24447;49505;31925;4427;297358;119062;29401;189929;56650;345359;39035;254740;194825;73238;63214;60889;172396;116693;128281;66385;95870;76031;244170;290636
1163;fail;fail;fail;fail;fail;fail;fail;fail;fail;93136;fail;fail;fail;fail;fail;fail;24295;fail;fail;fail;fail;24653;76924;99650;51021;4280;21061;37888;86994;81908;fail;fail;88208;fail;fail;18379;337874;81906;58612;42059;347756;136578;13540;46837;25779;41808;5867;58883;18502;124004;463746;539577;114173;57269;151888;113176
1164;fail;fail;fail;fail;fail;fail;714;fail;65345;fail;58460;84390;fail;fail;fail;9323;fail;1092;fail;fail;fail;83804;fail;fail;61217;fail;fail;fail;13197;fail;86432;1898;54904;fail;78543;13545;256297;41434;12437;169816;fail;172255;25314;13959;94709;11288;23843;258674;2522;57180;17942;146904;57137;152523;157256;240853
1165;fail;fail;fail;36334;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;9551;fail;fail;24201;fail;fail;22699;47535;48630;68507;91559;81713;fail;fail;14655;fail;fail;43644;48639;fail;fail;87894;64502;68256;340313;139054;166561;68516;7339;35939;80536;21742;57664;53954;258524;165602;21776;12966;703;46707;16164;70460
1166;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;20880;54859;6973;8332;fail;18962;5441;18832;10003;71448;fail;fail;62315;29351;25838;fail;8633;fail;fail;175464;37088;84240;41859;23723;6556;87461;104247;519815;379139;18704;8762;8553;78108;172074;11648;17669;40349;26493;31876;24752
1167;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;23564;fail;fail;fail;fail;fail;5134;fail;2735;3177;61470;25873;37702;90901;fail;fail;28787;21349;fail;97658;fail;fail;42105;12964;74376;20671;69675;5494;98789;132191;74316;49855;66128;224099;282044;9648;84211;2824;11611;197727;61627;49841;51425;32050
1168;fail;fail;fail;95769;10805;fail;15071;2001;fail;73543;fail;fail;fail;88263;fail;fail;fail;5912;fail;fail;62672;13951;66434;29920;41932;6653;17740;12646;fail;3827;fail;72547;fail;13894;fail;164973;31108;246777;103739;164174;19682;389021;273924;203947;179187;180083;49502;96333;24608;194413;5987;60611;41507;110906;591062;269911
1169;fail;fail;fail;27884;3932;fail;fail;fail;fail;24004;69664;55524;fail;fail;fail;fail;60735;fail;19948;fail;52469;14489;fail;fail;33925;fail;fail;91606;fail;2383;26969;38094;30885;8913;90995;165492;211502;58505;76766;62860;161039;78927;2925;79212;61333;31990;185364;96363;10805;50250;89777;33533;29332;62407;84982;74561
1170;fail;fail;fail;2612;62564;71606;fail;fail;fail;39129;32899;62905;fail;3220;fail;fail;fail;10167;fail;44478;fail;fail;fail;59458;fail;fail;fail;fail;81150;fail;73014;65319;42817;75435;32308;227975;165480;68436;150441;182422;84188;2422;38344;17656;87386;143023;23977;17312;3763;31218;12625;137357;15912;264244;40710;120298
1171;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;49040;fail;fail;fail;14196;fail;fail;58220;fail;fail;fail;11467;fail;2039;25837;42621;12287;279;fail;9466;20023;54269;57338;27726;17958;9792;5529;10911;82110;1863;88284;17980;46527;272585;6380;183116;373848;73932;35530;327818;629949
1172;fail;3451;6943;fail;24327;fail;2020;fail;fail;25946;19909;61777;3971;38614;fail;fail;fail;fail;69066;58632;fail;fail;21495;75184;fail;fail;22074;fail;70327;45399;fail;19448;487;39674;57578;425161;2494;60488;217191;331866;84384;276649;107603;148793;343831;27220;26676;27958;19101;15683;51141;118513;27209;8123;26523;42724
1173;fail;fail;fail;26174;36568;fail;fail;fail;985;15801;8071;12590;fail;93867;fail;fail;39307;fail;1577;1048;28713;32850;fail;58042;8418;93503;fail;66642;87116;66397;18530;fail;fail;8166;45952;18081;42199;32398;82954;13453;14986;25622;273345;75280;11771;86152;6628;253917;37445;5972;17549;28960;5814;147898;26071;44570
1174;fail;1175;fail;fail;26117;fail;28492;fail;fail;fail;fail;fail;fail;54241;fail;19034;fail;53776;fail;53080;fail;fail;fail;9164;32577;4351;fail;94023;64663;fail;fail;99072;fail;26143;fail;24560;40652;43998;106248;337428;83933;fail;91668;170319;96956;75465;74992;557012;54328;207545;152794;15487;106308;23813;266588;186662
1175;fail;fail;fail;fail;fail;fail;fail;fail;26516;12774;13231;fail;42283;fail;fail;63152;fail;fail;72701;fail;26467;45213;28239;fail;fail;fail;fail;18521;fail;12145;97488;fail;5928;fail;fail;37571;33918;4198;147370;21737;20484;14441;64934;76821;65407;639434;79552;57105;24342;161814;7004;61339;35143;81427;13064;21655
1176;fail;fail;fail;fail;57073;fail;fail;fail;fail;fail;86295;fail;fail;fail;7278;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;4058;6698;23381;8010;30365;fail;32933;84530;fail;fail;33904;24872;3455;65058;51840;66001;1509;113653;3784;16674;229964;10075;13677;97128;2781;77679;46260;25636;29459;120134;58244
1177;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;12436;33060;fail;fail;fail;fail;32730;fail;fail;fail;28548;12416;fail;30508;fail;304;fail;fail;3441;fail;5234;fail;54930;6589;fail;23055;9704;27419;93583;33792;244983;9853;36455;49431;47918;19685;50912;38718;3822;16766;29830;38293;44999;40161;38736;22877
1178;fail;fail;fail;fail;fail;fail;fail;fail;fail;280;83518;fail;fail;57488;fail;fail;fail;fail;fail;fail;fail;12387;39175;25675;fail;29407;fail;2707;58131;4149;82793;11716;92839;35953;66889;40669;127316;124785;114298;7142;fail;301676;25013;5689;3790;11744;33501;1522;101055;78867;111682;66934;60348;6854;56450;103010
1179;fail;fail;fail;46727;fail;fail;fail;fail;fail;fail;fail;fail;531;fail;fail;fail;70281;fail;fail;fail;fail;fail;fail;fail;25198;12893;fail;29098;31460;fail;fail;fail;1448;fail;72252;25455;63228;40756;2476;70046;241460;473;18637;48987;16947;119215;111878;197202;114934;42143;1735065;301395;331964;89094;78727;34757
1180;fail;fail;fail;fail;fail;fail;fail;fail;fail;88187;71598;fail;fail;86732;fail;66171;fail;11684;fail;fail;fail;21047;65311;fail;14806;50038;16534;37319;80484;fail;fail;51613;88573;3522;98563;247;80552;98733;142055;85621;35014;25438;10948;112007;22641;18806;47895;340418;41119;12568;99351;261743;47778;25689;59197;21972
1181;fail;fail;fail;fail;48297;fail;fail;fail;fail;fail;fail;fail;fail;97710;fail;4273;6032;fail;72292;fail;fail;16287;fail;2217;22704;fail;fail;54623;7043;13591;45415;1679;45043;69769;fail;284824;75652;277845;fail;50300;11078;82343;181205;38505;83068;150122;202628;82518;168673;6522;24382;23634;18358;47973;54914;39087
1182;fail;fail;fail;fail;76870;fail;fail;2285;fail;fail;54883;72254;fail;fail;974;fail;23701;fail;20214;fail;15988;40079;43705;fail;40794;fail;92528;fail;17683;38494;fail;fail;50235;57944;fail;22694;36507;180414;39231;47256;168286;85733;7523;2609;44352;47783;39528;6851;73857;199795;100849;460944;501217;44790;99101;154861
1183;fail;fail;fail;73989;fail;fail;fail;fail;fail;1447;46079;fail;fail;fail;fail;fail;fail;fail;fail;fail;18255;21970;fail;44627;27474;32529;29;fail;26412;fail;9391;59032;fail;6093;82604;32566;83769;22564;227775;71867;62313;284954;23137;227253;2836;20547;10931;22886;352209;86219;241638;63064;319019;197602;205823;81794
1184;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;224;10598;fail;49196;fail;19766;fail;50384;fail;88288;fail;97698;fail;fail;fail;31795;55280;fail;fail;fail;fail;21340;199121;141586;67267;2426;21164;122291;120950;346236;120409;46758;114640;56024;fail;398944;39228;70005;8814;1929;6041;72472;13962
1185;fail;fail;fail;fail;fail;fail;fail;fail;fail;682;fail;42022;fail;92629;fail;25340;fail;fail;31725;fail;72497;71919;fail;74635;fail;fail;74910;37395;36250;97875;fail;fail;92457;fail;fail;37452;20073;26194;204615;6986;309038;25864;26028;125864;46668;185585;151942;471724;48966;238389;22069;135353;73742;28803;74348;302801
1186;fail;fail;fail;fail;5428;fail;fail;fail;fail;78309;fail;fail;fail;fail;fail;fail;91733;fail;fail;fail;30442;13563;fail;92109;17515;6787;46753;55617;fail;37822;43742;85870;fail;fail;fail;48741;309197;279910;395843;89173;140407;348924;1530;161930;23150;324353;278237;763161;94352;19510;18672;83610;647278;109697;84012;62265
1187;fail;fail;fail;fail;fail;fail;fail;fail;fail;75184;fail;fail;87344;fail;fail;fail;fail;47935;10461;fail;fail;35730;fail;25591;7918;60629;fail;93032;38435;fail;94300;fail;fail;24236;fail;1277;13947;2905;34173;38711;201763;97849;87498;32336;31426;137881;217681;231877;57722;17668;10376;42218;151923;18515;172307;70777
1188;fail;fail;fail;50450;fail;48;fail;fail;946;fail;2894;fail;97118;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;96979;fail;fail;fail;62166;765;45372;fail;56717;19385;fail;63229;67380;7066;1185;82760;107580;75317;21479;676;103493;27833;73780;122989;158190;26091;13107;587833;125570;498342;57292;156146;28706
1189;fail;fail;1982;fail;21065;fail;86698;fail;fail;fail;fail;fail;fail;fail;fail;14660;62677;fail;5714;fail;fail;1220;26329;1177;20397;39330;fail;92156;fail;21597;fail;fail;fail;74278;10266;106016;25991;196024;18664;91011;224519;896;122704;27340;113813;157154;207010;24565;1226;68087;274435;37913;126851;71254;26993;331507
1190;fail;fail;fail;96885;fail;fail;fail;fail;2133;98789;fail;1844;fail;fail;fail;fail;95410;1352;4001;fail;fail;fail;fail;fail;68786;fail;fail;fail;fail;fail;fail;1663;fail;55490;fail;113120;34613;74200;31035;30911;69836;17537;186302;4557;65828;25767;63143;10153;290472;10991;16452;13279;48858;43192;73295;6774
1191;fail;fail;fail;60123;fail;fail;20931;fail;3780;73105;6235;fail;754;35829;fail;90515;90086;fail;fail;fail;fail;36228;42069;11632;21545;fail;fail;88991;50769;36718;15282;98729;97558;62834;42893;54891;3444;183510;fail;217326;150404;42219;1441;66465;12363;28773;78188;30149;2359;123890;70028;141631;6014;146684;24818;1101
1192;fail;fail;fail;65080;fail;fail;fail;fail;83483;fail;fail;fail;30734;fail;fail;fail;fail;fail;fail;fail;fail;6722;17679;fail;41824;34662;fail;36137;84762;fail;fail;fail;fail;fail;fail;17341;79533;224177;68546;41480;62013;fail;37903;48842;92328;15229;276818;88870;177442;57599;90839;144050;11168;45636;232890;3429
1193;fail;1502;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;8766;fail;94001;89640;fail;fail;fail;fail;1511;30984;fail;fail;fail;63359;fail;11000;fail;1611;8237;fail;29192;44054;178545;43846;87766;54972;fail;189622;247356;35936;188419;98408;1941;59486;149186;37495;110610;294308;31645;86759;118398;16908;82911
1194;fail;fail;fail;fail;fail;fail;fail;fail;18496;24445;50220;80317;fail;fail;8534;fail;fail;40602;29288;fail;fail;fail;fail;20367;fail;28233;44198;fail;17506;8249;5601;44859;15880;30023;fail;8274;5390;414145;38252;159219;35301;69473;89089;39601;246212;169525;8408;86706;190480;134646;6127;66667;514;66313;669074;90573
1195;fail;fail;fail;fail;fail;fail;21111;fail;50656;fail;26028;fail;fail;fail;fail;fail;9275;fail;fail;fail;fail;479;63484;23916;fail;60306;19303;fail;42992;fail;84033;3534;85189;43940;1536;96712;16750;40299;106928;134202;372439;167811;89880;245673;21016;107149;174545;38919;57147;50945;48851;25318;14836;34591;72495;62884
1196;fail;fail;fail;fail;fail;44222;fail;fail;fail;fail;46907;80005;81786;fail;fail;fail;fail;fail;89942;75862;58731;1932;13381;1245;22867;21693;fail;fail;57047;95134;fail;18265;fail;61652;36847;19359;52478;27188;4423;102050;12592;9205;4915;111626;75058;158098;42521;30322;119916;32525;173183;32816;55109;26775;213557;151568
1197;fail;fail;fail;fail;fail;fail;fail;fail;60838;fail;fail;59040;fail;fail;fail;fail;fail;31578;52296;fail;45236;fail;88002;fail;fail;1777;fail;87691;42809;fail;fail;fail;fail;85470;24058;83351;363333;180757;8934;fail;271474;146228;36776;147524;111739;12170;46824;88695;167631;229412;25937;306885;49342;30026;75836;67958
1198;fail;fail;fail;1507;fail;25075;fail;1238;fail;16753;fail;fail;fail;fail;fail;fail;5329;fail;98289;fail;fail;fail;fail;fail;7398;fail;83688;fail;91751;25834;fail;20603;fail;47401;17821;46060;13265;17272;5909;8800;138941;311046;34804;23976;2908;28596;23002;8455;463216;44786;70371;86438;133573;93331;139318;164000
1199;fail;fail;13765;959;fail;fail;fail;fail;fail;13012;7535;17471;fail;29899;fail;fail;48257;63521;32903;32766;34490;38618;18728;51386;1736;43039;635;75931;fail;fail;fail;fail;fail;fail;fail;6262;10307;125900;71144;60257;31253;108436;3266;91308;94328;41087;5070;20789;1317;11966;18219;84132;206233;223965;35938;202700
1200;fail;fail;fail;fail;fail;fail;fail;fail;4177;fail;26093;631;fail;45043;fail;7247;6724;fail;99609;fail;17427;75659;56286;fail;14049;fail;fail;fail;fail;73973;fail;fail;fail;fail;fail;19370;32011;199399;105832;87391;5139;424493;21824;30216;148500;92255;11165;158776;80985;20099;19325;27513;77461;177258;169776;57490
