;RLS-N2;EA4;pmut2.0
288;210267;40359;54691
289;31937;4177;113757
290;2485;176290;346803
291;236952;71248;38124
292;47783;38431;144440
293;7027;603343;52682
294;281208;133787;101377
295;71839;1603;177636
296;177334;71977;62476
297;6840;29124;27389
298;22161;24406;149502
299;224048;8671;84930
300;3218;345084;3818
301;63755;133446;129569
302;116328;43684;13619
303;47762;25840;82970
304;17557;121686;150342
305;6709;17202;27586
306;26921;185726;110458
307;63871;331367;340342
308;29709;59703;4817
309;52950;2890;457029
310;29481;132931;67252
311;21874;97702;569928
312;5696;77162;45375
313;182393;50529;296280
314;8231;41550;277912
315;1455;119493;20610
316;26449;141468;39055
317;118246;16394;39456
318;130943;246117;42646
319;2777;34634;97185
320;259748;17361;98646
321;49876;204093;50409
322;10784;25451;24538
323;24427;125571;21276
324;23721;107088;50798
325;45400;103815;1864
326;13204;9601;9838
327;24839;142832;102896
328;227402;247293;20182
329;190156;259558;330616
330;21808;27749;49647
331;4429;17457;15990
332;107603;30823;39595
333;102302;95229;165195
334;90997;583834;112163
335;411;24707;48780
336;15182;6700;94043
337;3147;43473;139293
338;45280;16221;14001
339;54014;271561;155748
340;103112;206946;589434
341;83331;51005;289395
342;60395;16070;109018
343;17295;68038;113014
344;104961;39350;80918
345;37118;64493;40788
346;21216;72407;87730
347;577;21242;42844
348;4424;119415;133274
349;10706;162031;48575
350;66392;84071;79082
351;89076;22208;23766
352;209125;14674;17198
353;1611;57768;131022
354;54571;46020;6532
355;149921;181406;86090
356;73937;101071;568666
357;27030;8012;130101
358;78918;44771;4944
359;122542;71129;83474
360;435;74671;89367
361;39200;69697;66424
362;353567;44409;227897
363;126439;13670;208939
364;324996;22220;2530
365;43999;36554;25825
366;469;203369;46944
367;127184;223268;151446
368;28986;164971;100627
369;385258;225243;364296
370;59663;11810;71345
371;36129;16079;152749
372;46231;44805;158928
373;27191;149394;18712
374;52732;9857;2730
375;5285;1114;32157
376;10837;327261;62216
377;78024;115003;6216
378;66387;56493;70106
379;1407;3387;57017
380;62564;26859;36596
381;50823;407548;194893
382;93955;30921;61042
383;9656;67790;73705
384;10390;68540;71645
385;118193;45142;278601
386;89876;44511;294074
387;49013;357377;161778
388;3545;47160;23262
389;106906;13822;236644
390;26959;1572;3014
391;12614;133968;20109
392;111527;11727;101817
393;52340;28139;29662
394;7400;53490;76899
395;32039;60290;139736
396;28975;214530;100108
397;96200;67007;9607
398;15991;135192;42500
399;13677;318129;149997
400;8557;195258;720
401;17294;43943;126647
402;131518;32010;107370
403;2205;251341;87933
404;24918;14482;47662
405;159279;5131;87190
406;1722;47700;103083
407;2031;3909;56821
408;86098;4547;28646
409;49647;4304;184176
410;97377;7330;14571
411;254904;111833;245056
412;2373;74446;68499
413;7964;68231;18366
414;5104;4722;40835
415;153293;74377;587455
416;10593;27582;66360
417;140387;6003;27562
418;88527;140276;20504
419;67369;323491;16913
420;94840;50220;4393
421;97711;97322;84473
422;21637;25954;30369
423;99311;174162;13700
424;136341;508569;284413
425;32245;9212;40510
426;42528;18482;10258
427;35797;51507;14616
428;177192;27690;30706
429;27328;32439;66098
430;16387;130448;261922
431;99924;25855;87111
432;62350;144097;67679
433;12909;88243;265294
434;182080;1054;22491
435;43523;6429;83977
436;296794;1010;108198
437;302518;119322;169147
438;33936;6026;370588
439;57196;47523;263658
440;29448;117656;26667
441;45326;4573;32998
442;143430;9622;5672
443;71539;8706;442481
444;66819;190164;119797
445;58530;101413;95964
446;91917;35270;16340
447;383440;8883;266900
448;54719;135937;15596
449;245589;91626;81676
450;77264;600374;89988
451;34582;322308;100861
452;36116;53332;31494
453;124612;123243;16807
454;29400;84210;144778
455;70365;6312;169658
456;28167;11452;142900
457;14052;58360;28260
458;138920;222914;67314
459;45257;154682;70376
460;53157;219913;575917
461;19263;110141;120491
462;21606;169;101771
463;28169;216;204709
464;1373;34625;124862
465;32272;12893;9450
466;233149;107748;149693
467;12143;70204;99419
468;18815;19165;143135
469;31191;396942;28973
470;4616;24366;43103
471;67279;17511;20190
472;39766;6268;156086
473;287;44044;124184
474;2529;11036;57854
475;98072;127100;133670
476;22526;5011;176723
477;16076;22439;294525
478;16786;8552;197328
479;13772;38895;14634
480;72945;176951;56446
481;115438;197881;31938
482;1254;159273;20079
483;42122;163236;236943
484;52742;359;31717
485;90993;120541;35622
486;117584;34466;124898
487;114712;3154;84139
488;222186;225213;124087
489;13566;67391;9091
490;5943;632478;30687
491;34089;72637;211778
492;55368;183818;72680
493;11051;162845;27295
494;327216;214270;142660
495;46731;12194;282
496;9900;34751;4998
497;398674;200103;103469
498;39354;100764;12198
499;7385;239620;68781
500;41303;105244;134084
501;93212;54648;388283
502;198647;319319;57438
503;324755;37772;130497
504;3140;1679;4639
505;68017;56066;7765
506;143062;289946;35127
507;69102;76094;170628
508;21727;351016;198064
509;33052;14550;25181
510;19724;71560;188002
511;24583;310491;98735
512;13075;21347;17865
513;58563;106895;13679
514;29918;200406;2522
515;83152;138545;217325
516;447319;16682;13132
517;34396;18417;10493
518;22212;6078;16808
519;13833;199404;196015
520;90640;59956;339946
521;70347;102304;15932
522;50689;6278;11276
523;25298;795;208132
524;11143;29450;168713
525;194638;385996;126637
526;237956;74829;4791
527;33409;303136;180664
528;148792;29453;84347
529;295680;282792;182603
530;2672;83672;35716
531;39646;100328;33513
532;52669;252568;216306
533;100399;254274;86041
534;55483;66576;133852
535;35907;70328;187398
536;109494;28771;89201
537;14358;119248;12166
538;15142;17770;3985
539;40115;157868;426719
540;23391;55048;63683
541;16976;26953;17067
542;222725;15190;69135
543;173254;99736;36188
544;14532;81757;18622
545;136059;552721;489598
546;155038;47882;201360
547;29580;410396;16147
548;100250;3437;804005
549;90236;271928;469365
550;5733;52370;14639
551;17185;119088;3019
552;29839;54353;1903
553;66489;15804;11354
554;13061;35976;19794
555;134392;225853;184271
556;205177;45460;114098
557;201072;4467;6717
558;99148;124678;156013
559;171222;268682;81152
560;97160;26962;34538
561;16251;376341;50860
562;15102;31445;62516
563;3960;104179;25547
564;93859;175562;251740
565;39268;146863;11086
566;130043;166829;15976
567;146912;80459;309286
568;10443;58708;70407
569;19857;220976;122480
570;184061;290444;217416
571;70989;105087;215254
572;12528;26199;29450
573;125363;14062;1437
574;2029;47318;188479
575;1294;27413;8180
576;29484;174066;8460
577;26846;18196;53338
578;146532;137336;93651
579;14931;38929;117527
580;2486;122056;1725
581;72846;24383;40442
582;4769;248687;125790
583;60456;53710;41664
584;10097;1006;177850
585;213544;558878;304377
586;12187;61468;29712
587;1160;316313;65069
588;246;341647;353155
589;79362;217737;343086
590;45714;152444;5199
591;12564;82394;55324
592;8007;15750;280665
593;10213;220218;54729
594;77123;137128;190447
595;58406;118113;336068
596;67322;94420;220475
597;148941;127329;342556
598;81384;187113;236156
599;987;47533;228677
600;111954;131337;195214
601;82046;7439;54127
602;32528;36987;26574
603;32523;185259;114515
604;98042;293387;4202
605;1938;129338;9812
606;99037;241558;37926
607;31977;80640;24443
608;69306;186055;43290
609;265158;108795;189631
610;85748;23717;159818
611;53968;244092;9552
612;5870;189240;43809
613;23396;74343;7103
614;35315;60585;60685
615;107762;75152;64028
616;38345;191380;100268
617;30187;127623;5800
618;18601;83;229228
619;27469;84921;33126
620;57192;28527;3033
621;23139;70908;150407
622;10007;72822;31837
623;30500;338059;165891
624;88858;129733;87738
625;27225;20815;235138
626;131405;202221;65648
627;33094;304712;6699
628;81987;45175;45682
629;138840;69993;79841
630;14794;170503;45936
631;14914;259762;39079
632;54357;190041;69772
633;10710;95252;85751
634;148874;899;4945
635;156150;156392;78285
636;3886;93829;28854
637;12555;65620;53463
638;125952;1774;36458
639;14864;520024;46930
640;62365;276681;26516
641;309345;164469;132943
642;9213;50474;65793
643;113905;65208;12531
644;54595;86261;199663
645;170820;130315;73868
646;23464;167265;53550
647;67046;138939;120785
648;15801;169756;38962
649;23045;79648;93792
650;25752;459882;41761
651;165777;198982;123412
652;28542;15402;193049
653;96434;158336;43073
654;77087;28577;86993
655;19255;91221;268603
656;83928;62533;397797
657;82932;63181;90325
658;96826;84671;90092
659;35488;57756;186555
660;58572;175595;280
661;11746;97804;2231
