;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
140;493;343;1147;532;2115;10125;71597;17770
141;698;664;786;558;1853;116762;95443;234761
142;504;1057;591;2738;2000;33064;46219;491974
143;427;383;549;493;1345;56909;104439;259697
144;331;696;828;1091;4709;15532;619983;658120
145;300;709;141;648;1478;30602;200753;562636
146;495;515;325;1339;289;37690;66850;111468
147;607;557;460;240;674;60620;188000;102767
148;656;366;301;826;1409;10473;20299;311052
149;326;385;788;1098;1881;16047;115522;188204
150;186;531;201;698;1327;69589;90417;17364
151;343;503;214;757;374;9780;15399;113191
152;328;223;591;1813;2320;17889;19948;132734
153;311;727;179;814;737;15513;56452;8073
154;621;403;629;632;1655;18882;116723;87123
155;390;390;732;371;3041;78710;66763;45363
156;1081;475;542;558;2514;36258;3975;53394
157;448;332;142;767;2184;40127;185548;510901
158;260;258;443;665;439;75728;341827;93638
159;437;794;562;403;2804;5572;534834;15860
160;847;479;375;946;446;2581;80276;4947
161;525;566;891;514;2978;65421;478452;172385
162;410;367;337;1576;596;4721;42931;154707
163;692;601;523;227;1073;3749;206479;111243
164;319;731;274;1280;2517;6594;81737;38604
165;844;474;725;260;727;10979;331862;857296
166;306;711;883;1969;491;42079;46302;551574
167;283;2070;314;1394;1830;40748;288585;26963
168;635;423;898;793;4566;13641;635031;346284
169;704;904;656;2655;3997;43905;304281;324120
170;555;659;449;360;2015;18785;130259;747166
171;621;325;464;470;1588;15651;211695;32015
172;707;739;528;1150;388;16975;91342;63297
173;624;301;434;792;1749;6827;68456;169512
174;681;586;510;791;417;11112;146994;575011
175;916;502;408;120;1183;1398;3914;197839
176;290;486;1021;755;2414;14581;58302;364172
177;562;469;567;993;2194;9453;310668;227476
178;648;1056;348;1411;3282;14157;269080;212015
179;284;1139;399;1156;1714;14379;128020;17715
180;511;804;407;901;1809;5722;314446;143293
181;439;497;1063;1660;5464;2840;170657;fail
182;365;342;560;949;3298;2471;126445;413032
183;452;852;1105;500;1874;32674;191097;117572
184;608;315;322;331;1178;25598;36039;30679
185;682;714;931;203;1886;89483;137105;356920
186;859;116;122;383;236;33392;91078;257090
187;200;232;344;271;1403;5232;201022;16736
188;425;393;1718;1303;319;4162;329900;99049
189;347;953;423;1307;350;5602;99848;fail
190;537;564;934;505;1439;79433;193032;867578
191;632;419;104;319;1761;28223;45291;108758
192;555;328;718;280;830;5591;108426;103482
193;628;186;834;774;592;6425;169179;129624
194;1000;451;760;193;6174;2392;415694;751365
195;159;442;430;904;557;22553;137875;20193
196;738;359;210;527;379;3056;9041;206379
197;553;425;608;759;884;46561;39552;443654
198;273;918;638;3072;3045;29650;28433;348930
199;405;871;527;1333;608;25192;608835;220332
200;673;437;846;908;375;17839;9836;180276
201;670;485;207;878;1749;13060;33770;275786
202;407;584;582;1536;1725;19467;70704;53107
203;507;151;658;908;1274;30342;25354;436056
204;573;527;185;1231;2104;10353;7269;362350
205;375;990;457;2328;1544;134538;403841;556051
206;1007;1164;473;419;1568;16880;60872;87140
207;384;274;597;1248;2331;18835;7868;35981
208;158;500;492;508;3759;36458;49572;393548
209;542;467;913;311;603;2595;484121;330462
210;590;310;520;1236;2847;31382;153744;50958
211;541;277;310;402;2690;8888;312477;43368
212;731;550;606;1147;2186;11309;301678;132562
213;451;294;676;755;2641;3444;46026;113194
214;1036;364;868;1492;700;60676;130491;164681
215;748;240;521;1438;269;12294;57569;195504
216;179;983;264;558;814;9452;300466;691012
217;446;615;785;329;2268;7300;247180;204902
218;323;473;1021;1281;1908;2868;632403;fail
219;195;296;237;467;333;2787;27725;70092
220;794;403;555;662;589;27599;227361;215081
221;613;874;596;791;1611;52840;235427;173592
222;492;357;352;1362;3306;11675;84734;103055
223;641;250;660;866;1201;12021;128001;99465
224;288;263;810;1336;3866;7808;15411;fail
225;765;674;499;554;2378;50785;167235;71221
226;173;314;371;1628;1801;13192;144428;135545
227;394;412;78;1545;1674;76030;91333;298512
228;359;256;568;868;197;15986;30426;71798
229;67;772;320;489;2449;35268;355892;384394
230;929;513;370;476;1267;25840;83126;260280
231;384;543;764;452;2363;6864;46983;107433
232;155;793;588;1700;2439;2782;158905;779367
233;386;514;418;294;1297;10000;53051;32711
234;319;228;606;920;2009;35146;86666;424081
235;596;242;1263;120;2208;2396;118175;228657
236;265;712;532;626;695;13301;203798;26902
237;1048;642;667;447;1759;26691;419934;81436
238;190;406;358;468;900;18826;35516;551366
239;784;403;395;717;1721;2661;7871;66730
240;377;311;506;518;4357;214163;681076;251007
241;658;264;780;3423;4667;30743;48374;24369
242;446;1136;351;1740;1806;8822;62058;170512
243;85;635;219;755;3603;10052;96459;697340
244;230;346;1698;3036;3082;24726;295186;153714
245;751;202;586;718;1442;19993;543747;613664
246;630;620;660;384;789;50611;24517;208465
247;485;708;364;467;929;2809;72478;29613
248;656;557;371;1159;3044;12880;264010;197414
249;428;564;570;1209;2526;40539;45038;97701
250;379;283;629;1339;722;48208;137460;fail
251;942;485;713;153;4324;9165;371647;232122
252;327;512;1095;1099;3690;1489;113557;750139
253;284;348;128;68;906;1153;191664;130283
254;368;470;160;929;1351;19799;75538;155061
255;917;574;115;2256;4893;11126;98275;507109
256;490;220;753;1172;3403;4050;432455;249052
257;666;611;801;1632;1144;1853;153021;6171
258;729;147;203;1217;2165;13011;39967;287617
259;442;472;421;1357;1694;13260;389579;74079
260;515;246;281;1151;414;15024;57914;135944
261;280;698;267;212;1934;86251;198344;fail
262;778;904;488;579;4484;17485;274056;fail
263;330;443;276;517;140;17130;2600;157015
264;802;532;575;2772;3262;10513;296952;822695
265;242;425;446;424;2906;50592;503713;539682
266;815;447;415;800;752;59618;228930;17843
267;1336;461;258;2848;2098;14374;219020;271449
268;351;337;810;342;1152;16938;82821;232358
269;373;74;770;711;2219;14843;303420;200527
270;623;709;187;2245;1533;42846;161676;75448
271;171;486;559;402;1152;22671;199499;33157
272;988;225;400;1068;2269;30572;380691;252186
273;724;620;913;2373;2731;2251;242481;314406
274;504;802;465;1423;2100;27289;143551;461903
275;922;657;198;546;1752;46006;593178;125277
276;652;522;235;1187;3543;301821;31088;600968
277;148;1657;349;1841;2988;19562;486120;94513
278;644;253;351;599;1381;24250;235230;294124
279;715;769;765;2052;436;58282;296994;123049
280;581;434;284;1145;902;34318;85481;258653
281;408;628;770;1427;4271;5631;405268;368735
282;646;500;634;1643;2046;31268;291902;58354
283;231;494;767;268;1058;30270;15663;876830
284;622;121;418;402;2198;156;74408;91628
285;166;721;557;685;813;212;91849;114739
286;717;377;320;301;2160;31946;1204;9309
287;452;360;530;1456;897;65248;335097;443204
288;172;450;634;995;1438;9749;13300;262461
289;490;217;816;2819;2210;8214;359023;fail
290;651;694;314;692;1055;58860;732398;68726
291;366;242;706;1000;1344;11084;125817;546336
292;902;389;576;969;1733;17670;76501;213175
293;357;303;681;317;130;6745;41531;137126
294;373;511;1498;1042;2515;17251;98391;84238
295;584;475;379;610;963;3128;68913;294850
296;524;198;462;605;594;24321;63465;355347
297;491;308;333;1827;1449;37821;129776;19760
298;464;466;232;144;828;347;244371;102031
299;245;217;1026;620;302;8204;62650;293117
300;922;177;218;617;1404;7393;98900;18062
301;720;415;907;5060;1580;16534;469379;818865
302;738;322;782;1921;2296;25086;485732;152331
303;716;756;381;1372;1333;22837;137424;96018
304;572;486;968;694;727;7629;fail;167211
305;161;338;998;934;2764;16496;62393;44415
306;397;552;1103;882;1083;4810;7110;128290
307;508;381;101;402;909;14044;245222;392064
308;571;383;707;486;1913;4168;168779;536624
309;476;468;521;883;1220;19302;642706;74108
310;590;417;530;680;985;9415;56112;209257
311;1240;283;723;787;2192;30328;43652;92808
312;393;329;407;878;635;7378;32496;64774
313;692;675;898;148;1087;48784;181731;fail
314;413;158;1063;2000;521;35144;516373;854718
315;272;627;482;480;610;6138;116218;107913
316;495;195;390;390;1876;38732;181572;22156
317;389;798;441;819;530;13496;11256;151316
318;558;458;331;837;914;7222;72691;154132
319;211;491;862;369;3199;9882;324808;172455
320;578;179;344;770;400;9515;123868;45640
321;495;538;900;207;774;22547;336135;442280
322;326;674;386;3939;8194;5178;228360;fail
323;270;302;523;755;410;56024;705985;179716
324;303;479;295;1193;1369;32056;568168;120438
325;614;370;346;490;431;8763;30093;38045
326;597;386;1450;224;1884;3087;44809;54262
327;599;239;269;1448;588;4910;57436;83301
328;559;469;756;1113;1389;8771;232551;416302
329;935;1237;2710;631;286;9728;66701;176698
330;217;332;335;1024;940;10769;7928;207988
331;656;725;1003;1464;2906;5398;21835;44660
332;563;293;456;493;1843;23864;14813;71113
333;915;418;371;819;680;16567;4281;79695
334;530;558;423;789;2302;30643;35230;111870
335;404;1094;650;1529;1911;46645;172310;fail
336;458;274;390;680;827;18963;84871;19004
337;182;790;666;525;4178;4537;3247;36315
338;259;463;1085;257;103;13669;276219;674067
339;720;69;986;1129;5819;20234;6057;559642
340;311;477;250;792;3426;10799;29402;fail
341;701;445;746;894;299;25050;316858;73212
342;187;266;362;311;1340;2036;111105;262371
343;736;606;1521;1155;2382;10359;509579;477808
344;546;436;334;392;425;47091;2918;216720
345;545;307;853;1335;52;27913;46136;71377
346;263;396;300;288;1586;11577;19015;132258
347;647;333;988;1223;1509;1311;226504;801623
348;523;309;564;283;1334;11854;151560;53734
349;319;659;741;1352;3233;40196;203930;558634
350;552;501;897;798;720;35760;138722;58233
351;1949;678;189;1646;1699;16340;429084;335706
352;332;662;212;1140;2843;837;29845;42197
353;926;198;571;3409;1218;35116;242703;289898
354;434;653;703;2500;575;5316;777547;67298
355;259;574;818;617;3382;11061;95205;369398
356;609;304;371;346;1368;14682;2129;212642
357;279;438;858;234;1150;6327;144676;37355
358;467;542;520;1839;3872;25795;3372;fail
359;556;455;686;1394;1180;22765;92984;593720
360;1360;487;421;423;2814;117277;5750;18808
361;438;426;286;241;1137;35120;119117;40270
362;182;254;436;1614;1466;6580;60083;259137
363;909;181;683;1564;1891;51489;31369;300743
364;261;76;603;521;721;8411;295099;30680
365;758;468;748;458;3748;67721;426252;fail
366;407;305;693;722;5036;23679;212003;18984
367;619;930;731;3055;1069;1979;605792;332903
368;187;610;513;839;3559;9622;106681;316812
369;190;186;431;332;1131;120031;233635;589091
370;443;505;901;694;186;11491;206145;242746
371;301;654;307;1025;1248;38201;156389;218831
372;651;302;645;957;1168;19357;90362;104198
373;591;831;625;525;471;2614;117429;429071
374;891;461;961;679;3290;4168;121259;475619
375;847;652;535;309;1160;118106;495704;81608
376;633;648;465;1744;2217;12172;315687;592224
377;482;624;348;435;1735;83618;224142;206308
378;267;945;1051;391;1455;12570;48441;173416
379;328;588;285;409;1807;3677;179923;297509
380;221;246;258;457;1682;10905;37502;227892
381;521;210;222;770;1550;10577;17090;170661
382;562;706;449;712;1223;5480;103645;355954
383;385;5;698;326;1598;12165;29805;45162
384;704;705;384;1081;659;10217;59944;110647
385;787;383;156;3187;8795;4198;107938;156398
386;561;844;2222;212;1100;35008;126392;641458
387;294;310;841;413;2003;24666;222770;366469
388;510;408;1160;879;932;7646;104154;143280
389;526;388;436;1496;1203;51428;52807;203466
390;503;309;990;1416;3844;33338;41426;33004
391;335;671;301;1219;3777;10357;736053;260912
392;402;131;516;1895;1529;14028;537167;33071
393;389;139;251;2097;418;22544;44491;362209
394;83;271;882;782;3483;17384;28452;108729
395;753;918;800;1690;1821;7827;78487;385955
396;169;230;556;1310;570;3829;132128;229704
397;573;350;807;1457;1415;308;148847;490363
398;956;951;494;1108;1923;14583;42074;134363
399;361;444;188;687;3922;1492;15318;136454
400;530;642;805;302;1525;72431;399264;fail
401;171;491;994;450;3966;7678;69126;153242
402;1253;929;523;709;3592;2532;345316;191350
403;900;543;427;577;1571;15083;237823;125870
404;527;256;438;545;1936;3978;18481;438378
405;416;591;516;434;1179;46837;274600;248937
406;628;312;628;620;947;47641;249113;107848
407;579;539;529;2489;4415;73530;390872;594168
408;782;284;279;434;495;30725;179348;285525
409;1233;398;756;344;1489;141502;223114;328487
410;341;390;2456;650;76;74751;244955;339487
411;475;407;427;1156;1380;16510;323743;348832
412;390;597;193;314;741;7685;44189;25919
413;784;204;756;858;1825;85;194388;213636
414;792;387;974;3862;558;4113;76795;512739
415;310;184;450;891;669;20084;307438;147251
416;757;512;777;730;1828;31298;4065;195670
417;352;188;137;104;639;8511;116010;45522
418;392;252;988;1237;1232;39426;407471;228902
419;1045;650;516;969;4495;12298;527437;11490
420;334;264;330;1163;2444;42590;523375;107186
421;930;292;609;1808;1701;1399;131112;3030
422;834;214;909;1518;4363;24305;40974;689245
423;330;258;663;1144;1142;17000;362043;35561
424;364;315;606;2353;357;19460;73520;144806
425;302;243;724;328;1084;7239;101852;72631
426;662;137;714;600;2203;11133;127352;55614
427;130;168;631;369;1401;44906;112404;269060
428;562;285;684;216;234;635;248998;19774
429;728;404;1872;809;3683;5227;496803;271154
430;183;436;623;1228;715;53665;88924;23127
431;1148;467;554;341;2766;9536;687566;59525
432;828;246;202;409;1805;4295;112814;640760
433;348;514;112;678;1661;17786;78468;724975
434;730;540;374;509;796;5402;489135;25090
435;689;228;855;550;540;4593;9718;85561
436;462;508;872;1319;1558;101372;10450;10489
437;406;357;524;1243;259;49566;22360;19785
438;694;751;451;898;1954;5336;151637;292040
439;887;506;800;914;185;29099;116212;69438
440;286;675;1231;753;1798;4495;71097;288900
441;606;1083;614;810;2399;3565;503556;500433
442;822;477;575;440;256;3258;192246;31219
443;655;300;1569;563;2009;11572;180824;390406
444;713;248;585;383;2665;6790;110247;269190
445;713;798;736;1573;3277;32152;766503;259399
446;537;67;326;260;2554;6423;220173;152095
447;735;424;487;461;2016;20191;188632;438171
448;429;327;671;730;330;9370;16276;342726
449;323;733;345;647;449;41051;218585;402857
450;296;365;367;1287;964;6679;213083;264067
