;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
129;714;751;1201;4484;4952;9444;10565;fail
130;1316;1198;781;766;3060;13548;134163;127554
131;468;1090;1892;1428;1229;101562;369351;32726
132;1407;1086;1507;5073;2371;34904;231006;370537
133;939;1099;1811;867;4265;47974;157218;129661
134;1325;960;1243;1214;13686;225696;179307;124796
135;1038;908;1721;1267;3463;14410;36625;38038
136;463;536;1401;2599;2396;4715;21272;549763
137;1702;1161;447;2984;7979;89716;121825;fail
138;1241;1222;1755;1153;7238;14801;93405;128753
139;819;838;285;593;5190;88264;224965;240095
140;200;397;228;3332;4962;45599;3356;52558
141;287;1989;1466;1140;9963;7038;670331;83617
142;951;327;744;1636;3713;78126;227574;43386
143;1003;1139;923;1087;1391;136504;fail;173069
144;484;364;731;299;4582;20126;123746;138821
145;574;1638;1244;1844;9489;6174;52873;90076
146;190;693;1735;5715;4055;14115;296985;fail
147;1478;871;905;1874;3651;48817;107711;fail
148;1263;1751;1703;983;8760;452228;3107;fail
149;435;1359;1314;1766;3893;29406;430623;175023
150;326;699;626;800;6541;34622;82838;133458
151;934;387;729;1609;2934;25115;2365;12623
152;1399;676;2443;3087;8089;45857;146893;215333
153;1654;501;204;922;3245;42246;321426;120935
154;1054;294;1669;3470;4416;171037;227093;119724
155;984;382;1188;2237;4506;92468;175466;403032
156;432;1131;800;1917;1267;5340;67391;117485
157;996;652;1559;988;478;7080;278635;80380
158;913;610;4148;2814;6507;98402;fail;409790
159;475;344;3045;2402;4361;83423;345199;fail
160;285;400;1608;2272;2349;3626;97917;254259
161;668;682;2912;4215;7409;13690;fail;fail
162;921;1007;1394;4864;4785;129343;29679;fail
163;1064;333;3513;2036;6049;89118;fail;588444
164;2494;858;1907;1943;3601;105790;182918;fail
165;765;885;771;6794;5671;240696;166469;33871
166;1731;2124;810;13460;3600;47779;652529;539154
167;859;2134;2298;1183;4208;142674;332007;232406
168;1137;646;338;2073;3546;44583;107050;849286
169;550;962;709;1733;7877;13945;10768;342084
170;1169;991;1145;1255;2626;87268;143132;186230
171;583;1496;3515;3733;4784;125912;57961;171240
172;329;279;515;2690;1792;97638;76700;159963
173;782;276;2545;901;2711;46081;465408;260130
174;271;728;936;2949;4422;124844;156351;203628
175;1209;1055;2821;1235;7073;100000;488076;fail
176;549;468;1616;3216;9402;167628;372563;87765
177;634;216;2405;1589;2210;121802;12422;fail
178;437;189;2076;178;7823;39598;5179;271962
179;2302;804;2572;6475;10124;65943;393316;11336
180;140;911;350;1498;2297;47203;517300;380131
181;1693;2155;991;5169;2533;125284;132288;fail
182;807;339;649;1447;2626;17635;247489;97287
183;754;1232;669;1836;2970;1687;fail;265657
184;1135;333;1587;2707;5479;10198;13171;108775
185;523;398;2436;702;3262;25244;72557;18832
186;1091;984;721;1684;3435;61154;270897;54858
187;611;312;3821;2914;855;2238;163131;fail
188;952;946;527;1890;1528;3124;108681;93256
189;1329;870;1396;2119;1587;38337;690247;203277
190;299;1223;701;1020;2664;100943;78791;fail
191;623;841;201;2417;2276;14960;177411;98891
192;1029;244;1126;2147;2300;58106;124253;560248
193;744;341;669;2158;13898;35239;511912;444272
194;1183;746;1873;2299;8863;573231;fail;131918
