;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
22;fail;fail;fail;fail;fail;fail;103;fail;3665;3909;690;689;fail;289;fail;5842;2182;274;187;381;1204;1415;1062;20792;121;416;517;230;864;1115;648;897;1157;486;409;425;592;557;867;1540;660;372;564;509;1223;1379;844;745
23;fail;fail;fail;fail;11153;fail;fail;5252;7226;fail;21000;80876;fail;2350;519;29438;fail;22617;90;697;1385;3011;281;1125;360;658;533;1657;790;453;476;298;731;1030;374;463;704;298;969;689;842;380;492;1629;1677;1855;1239;877
24;fail;fail;fail;fail;fail;fail;fail;642;5076;fail;fail;fail;155;722;1681;34946;16826;fail;433;1289;1482;41232;172;376;862;417;1774;294;885;748;284;215;832;591;322;601;655;467;729;398;335;626;151;1371;541;746;606;737
25;fail;fail;fail;26408;10175;6640;fail;385;3259;fail;87590;fail;fail;754;8288;22813;1749;fail;520;936;500;1106;346;500;283;451;424;1336;627;517;332;576;1154;1410;660;252;306;472;988;622;501;316;755;544;700;1664;782;888
26;fail;fail;4470;498;29;972;fail;fail;fail;399;20743;5676;fail;20831;2787;230;130;1378;192;149;681;1149;752;977;386;302;946;1386;206;251;377;601;875;960;680;595;366;493;1015;1274;439;467;297;955;1080;1034;696;904
27;fail;fail;fail;fail;fail;fail;fail;609;44;fail;423;fail;fail;673;7731;54464;18101;9678;496;1283;1168;167;259;165;189;231;1336;430;212;973;277;618;1125;1080;820;438;859;370;672;1127;1293;551;806;169;1443;802;751;433
28;fail;fail;fail;fail;fail;fail;fail;288;127;1128;6771;344;fail;599;744;fail;328;387;426;309;2221;1373;916;525;452;555;510;752;583;706;211;1270;655;1083;885;1098;502;637;484;488;921;154;870;549;999;1049;797;1205
29;fail;fail;fail;fail;9155;fail;fail;1763;391;fail;346;2698;fail;1959;5606;1479;7678;389;623;131;378;608;451;294;312;665;777;1197;356;678;499;540;229;616;485;208;432;566;538;464;501;519;198;968;1226;1870;587;819
30;fail;fail;fail;26239;fail;179;fail;7189;1278;fail;fail;fail;fail;7203;fail;58771;206;7245;406;938;195;1094;346;122;537;179;841;285;512;727;521;425;1316;684;374;584;411;225;596;909;870;408;345;689;979;750;517;375
31;fail;fail;fail;fail;990;fail;173;440;2624;5510;130;17412;237;531;48;788;3431;fail;321;455;3726;331;381;370;272;1161;940;2661;595;422;584;400;341;1183;467;428;826;1116;627;456;389;601;344;781;960;1264;908;802
32;fail;fail;fail;fail;fail;fail;79;fail;fail;31898;fail;74;fail;131;1030;621;227;542;346;244;857;396;177;423;130;306;197;3092;1171;319;373;322;1199;501;188;724;344;474;509;751;492;894;670;1035;901;1109;328;1039
33;fail;fail;19964;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;3078;145;fail;359;186;314;350;3010;1128;1177;194;293;534;1248;1083;942;1028;265;1000;815;544;444;433;701;1541;1335;854;929;467;431;352;1324;1135;937;991
34;fail;fail;fail;fail;fail;fail;fail;fail;39431;331;1017;2387;fail;fail;5755;2039;14731;fail;246;292;277;217;325;218;508;454;592;587;835;1243;215;796;561;2105;803;870;593;238;656;391;525;861;437;1046;334;2045;734;1208
35;fail;fail;fail;fail;fail;fail;fail;fail;fail;1379;fail;1708;83;104;424;fail;2079;651;320;858;1407;272;703;273;233;870;690;993;513;593;464;502;256;639;386;441;667;964;2896;596;1957;657;652;937;1678;814;783;391
36;fail;fail;fail;fail;12962;2684;fail;405;1845;1781;250;1053;fail;160;167;239;469;1661;525;111;497;150;324;337;307;416;538;361;554;540;605;468;883;1009;438;449;548;440;1802;341;836;306;688;374;1036;594;364;700
37;fail;fail;6595;fail;fail;24364;fail;fail;339;2019;7205;1033;fail;4916;38288;731;6754;1506;571;536;397;550;13031;79;412;235;2860;490;1004;244;234;1879;610;528;489;405;398;583;641;619;607;636;454;964;739;674;500;360
38;fail;fail;fail;fail;fail;fail;fail;fail;fail;1622;fail;fail;fail;233;1973;12686;21621;75768;241;293;311;1865;638;330;549;1008;807;1336;450;517;560;829;1415;963;1387;511;271;248;664;1431;397;382;230;672;747;1358;463;733
39;fail;fail;fail;fail;fail;fail;fail;fail;97574;46641;53543;82733;fail;6851;97175;106;1818;24706;76;1044;425;804;808;1358;333;285;637;996;253;466;40;171;694;371;344;545;118;889;329;1375;460;763;298;358;392;1358;447;963
40;fail;fail;fail;fail;fail;fail;fail;1713;fail;22928;53730;160;fail;1276;1514;814;170;81;269;963;328;2976;275;243;481;407;1332;1662;583;694;645;175;697;2306;602;529;642;310;1091;868;549;271;385;857;211;1315;799;540
41;fail;fail;28915;fail;fail;6613;fail;fail;140;5650;fail;8071;fail;3181;23579;8684;101;575;730;465;5111;729;221;157;408;470;496;1352;198;303;365;252;529;657;262;566;406;844;777;801;834;448;522;218;534;1704;390;673
42;fail;fail;fail;fail;62327;fail;fail;365;274;100;2419;25807;fail;1130;10484;5822;1440;2779;523;322;1540;511;163;1435;492;576;977;535;430;987;674;656;1027;621;475;668;382;676;2612;878;871;519;258;547;562;1231;433;903
43;fail;fail;fail;fail;75360;fail;fail;fail;2706;42988;fail;11968;fail;511;1652;289;73733;1184;244;563;557;469;308;1059;180;1460;488;219;340;325;647;264;732;1005;451;111;126;975;1517;295;698;249;587;832;758;207;501;170
44;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;fail;4061;20370;18584;6860;50277;600;243;863;1326;649;1167;161;560;1369;1039;409;693;854;1196;1199;452;196;1971;339;712;955;623;854;298;392;590;1693;940;586;746
45;fail;fail;56628;fail;fail;fail;fail;239;27741;4682;2648;fail;36;fail;713;fail;871;1015;744;220;886;1956;1157;584;326;351;784;284;608;515;660;459;869;418;490;691;638;567;414;644;351;346;478;894;379;1183;857;665
46;fail;226;fail;fail;30554;3530;fail;fail;67689;19973;106;7839;674;1636;670;23444;2698;3779;220;157;1070;1772;740;514;274;538;2033;291;731;371;248;655;783;235;404;365;121;874;285;1057;717;533;269;1178;1369;901;241;466
47;fail;fail;fail;fail;3706;fail;fail;fail;7099;69407;313;36479;24;181;322;208;3051;211;414;620;2683;1474;547;145;652;447;412;1146;414;626;292;718;657;472;620;501;497;843;662;681;420;250;346;367;1082;990;298;488
48;fail;fail;fail;5762;fail;17485;fail;fail;5665;3075;fail;2578;fail;fail;fail;35453;789;14653;336;191;867;1319;263;165;332;687;575;274;614;371;415;346;549;626;404;459;436;514;582;1340;335;450;475;563;658;724;732;1099
