;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
159;589;4977;37267;121403;726;1672;852
160;475;7506;9812;10423;495;491;1169
161;312;773;10455;47000;1210;1033;928
162;534;478;7007;1598;562;471;1728
163;216;1486;12706;78606;985;524;1085
164;437;2861;4891;22620;208;492;1001
165;734;1756;42932;14613;566;397;4854
166;842;2062;5976;51646;1451;895;696
167;406;636;10171;156736;421;372;407
168;294;2394;6642;7064;550;1032;565
169;316;2339;2274;8041;272;1246;1525
170;337;1664;6762;40007;493;561;719
171;551;1309;28170;36242;407;273;402
172;181;1953;12620;12524;550;931;3152
173;292;2419;23256;32711;1272;596;2301
174;421;606;2943;21764;391;939;1112
175;528;6061;11605;102948;895;1914;766
176;958;5636;3345;44212;266;389;992
177;381;8486;4949;27985;453;1061;619
178;468;2360;3083;70005;454;1604;836
179;424;493;9091;46127;511;575;581
180;308;844;46774;45342;285;558;511
181;226;1595;99558;43461;179;261;1137
182;654;1780;7881;11164;222;597;552
183;570;1701;14670;31355;535;482;1065
184;601;2138;10551;48513;661;1680;1230
185;422;2193;34090;8672;561;222;1418
186;477;13786;11120;84029;823;957;931
187;309;940;8718;69359;223;337;170
188;380;2997;23350;46766;1248;837;307
189;90;1630;13718;275819;664;1169;1054
190;182;822;8223;22251;454;968;449
191;146;2401;225;16670;428;832;461
192;441;8438;15332;15087;365;438;738
193;456;1879;760;5005;801;431;193
194;532;1990;8843;8504;403;678;515
195;450;1744;12174;46586;773;771;527
196;251;2399;1994;69578;643;1041;1433
197;186;1622;10112;23982;1159;414;778
198;494;295;18893;593;590;562;1124
199;327;3760;7657;54112;322;769;406
200;178;5937;13131;174652;268;369;507
201;375;1088;32727;4147;712;425;1253
202;243;3461;8076;52255;855;500;1309
203;686;2201;2138;7336;304;605;467
204;212;2138;59475;9234;721;823;274
205;508;1563;21835;16552;370;611;644
206;285;1412;12830;35500;551;950;186
207;451;3218;57545;2997;1130;541;443
208;710;643;12312;127197;498;618;686
209;301;2234;19190;76532;87;904;722
210;176;1632;2900;28311;885;1064;802
211;375;4122;26046;4209;407;1891;1761
212;191;2944;4587;39276;367;1749;530
213;459;6838;7442;17765;449;1208;1047
214;322;1670;19688;3724;337;1171;299
215;276;3692;4593;6949;970;678;158
216;84;1281;7917;1438;302;444;493
217;900;3695;8649;1996;379;74;1351
218;312;4028;2334;57748;560;830;281
219;397;644;1817;4400;321;1114;454
220;425;756;7881;27106;730;1020;1958
221;594;1998;404;30539;612;221;1035
222;240;940;10102;170397;579;1753;724
223;592;1316;188;69918;785;1026;1361
224;670;3236;2035;33145;992;508;852
225;269;1018;2045;54181;524;604;837
226;361;1820;786;161132;489;715;1467
227;339;1822;16713;13431;410;1215;779
228;461;5041;14914;18488;308;1858;773
229;611;1045;633;66202;307;472;561
