;EA;EA2;EA3;EA4;EA5;EA10
172;805;1016;1638;2680;1465;38017
173;508;400;880;3247;8883;5310
174;1558;936;1372;799;2738;105463
175;1203;525;864;1040;11523;21059
176;1072;515;1152;1639;4991;35406
177;1086;1138;1244;284;7172;24583
178;517;2049;3885;2235;6159;117471
179;969;1005;1935;2288;6568;22085
180;500;1872;1948;4520;9828;300017
181;1185;841;3723;2955;3351;288060
182;1178;1477;1988;2890;5165;132670
183;188;1133;2532;731;6662;156445
184;1099;827;908;3397;1302;46115
185;1222;1140;1428;3911;1300;65534
186;873;1107;3782;2249;5855;55387
187;1049;1016;680;3794;5527;43033
188;1552;668;790;2514;862;27812
189;1352;1110;1609;1652;2869;129478
190;706;107;683;6667;5248;159565
191;341;1131;1483;1643;4443;20690
192;545;1249;1245;2319;5648;37223
193;783;711;1331;620;4395;36519
194;863;727;431;2829;5744;127326
195;667;793;1221;3667;8031;27048
196;678;1934;2335;2379;546;18162
197;1062;1785;1228;3929;11941;251141
198;570;435;616;6083;6211;77142
199;731;1272;1212;193;3721;54862
200;1125;789;2246;1059;1526;83537
201;766;225;595;3124;2341;67229
202;1594;577;1832;1815;3418;72299
203;930;740;1228;2400;4996;5692
204;1539;904;893;1740;4179;138335
205;571;837;1511;1518;4671;42480
206;893;367;1848;4413;3914;25157
207;661;896;1826;3715;3632;81691
208;1200;786;1397;4135;2167;50983
209;1515;1837;2771;6320;1261;7217
210;557;532;760;4627;1762;5298
211;1188;2092;4891;5410;2060;91836
212;461;506;914;2732;1488;84104
213;1865;1359;615;2526;3896;83954
214;903;818;2160;2545;2637;3118
215;739;200;1433;1733;5014;65435
216;567;997;1702;693;8588;77981
217;932;1107;1432;3742;5310;150260
218;755;1337;929;2111;12937;66845
219;661;681;2813;1684;2796;56188
220;840;381;975;1105;3702;48550
221;898;687;1362;496;3876;114524
222;2210;799;2443;3141;6082;87874
223;399;376;1080;618;3520;11413
224;335;1268;1842;1391;3945;12008
225;437;1854;2150;2452;1317;8861
226;1199;347;550;2432;5184;63576
227;265;1147;1553;3312;4609;40998
228;822;1261;1497;2999;2941;249106
229;205;568;433;3869;1387;6766
230;518;1015;510;2412;5879;123596
231;1745;712;521;655;5948;71907
232;690;303;1362;2573;3603;37482
233;658;1324;1064;2060;8253;109149
234;805;532;1870;6993;3997;32871
235;1281;1454;468;2507;2994;2123
236;567;664;954;1269;3871;36584
237;533;283;500;1486;2383;50424
238;927;500;249;1291;6318;98068
239;472;1092;1291;1501;3547;123942
240;512;497;366;594;2553;28360
241;828;719;1933;1128;9731;245497
242;1152;516;1200;824;1570;34176
243;406;506;686;3277;4471;55613
244;466;1134;1101;1948;4898;64791
245;1188;1785;375;716;1690;36199
246;1046;843;1178;4025;2611;48599
247;540;1120;583;2066;1690;39830
248;206;1850;1223;1817;8087;47255
249;979;337;1182;2096;4408;49846
250;853;617;1373;401;1662;154843
251;582;1405;1269;2069;2978;151178
252;577;489;1586;1948;4021;7071
253;297;1359;1618;1802;4853;19403
254;804;318;973;7451;3301;85525
255;726;1315;809;632;1961;271230
256;791;728;463;3490;1057;281547
257;545;427;1664;2080;3895;46556
258;529;1214;1281;2045;10380;38925
259;695;407;1328;1896;5907;67091
