;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
135;fail;106020;184067;16577;28287;17689;269008
136;fail;15068;41547;14222;13343;58255;70448
137;fail;160697;15830;62805;42510;86221;5308
138;fail;1539;27064;6661;94162;111610;24359
139;fail;17724;100348;122308;35270;44584;47301
140;fail;3857;81877;60105;7987;101524;48507
141;fail;44972;54968;139007;82974;203059;11732
142;fail;17518;38311;40295;126496;206150;2704
143;fail;29804;210753;157472;260160;10979;119896
144;fail;51477;5871;48441;110340;75379;97411
145;fail;86082;154316;61311;36233;3738;21818
146;fail;72274;5922;35885;212628;71473;22510
147;fail;60486;67384;165324;282221;361812;850
148;fail;38995;950;176209;168242;62088;81173
149;fail;8001;42930;38811;26613;99457;84938
150;fail;203410;163632;32652;475998;49332;17292
151;fail;9352;253024;64058;44151;10361;50871
152;fail;72327;141496;245058;8006;68038;38488
153;fail;33648;434794;7314;171271;529190;106490
154;fail;52009;133808;154307;8847;23068;78482
155;fail;25601;10231;48604;369838;102182;91207
156;fail;12058;27376;7654;246987;46213;174819
157;fail;75661;131181;160098;228131;110879;436243
158;fail;48027;31828;85387;164894;140337;44023
159;fail;7558;7210;252241;17398;83710;18775
160;fail;23896;390920;89841;110260;204875;147537
161;fail;98904;90964;600030;138116;40775;82432
162;fail;85263;99823;350350;14618;21221;34561
163;fail;6250;89313;55135;15233;91450;41527
164;fail;116;308720;221591;116890;30851;58656
165;fail;215856;29827;209962;16380;764641;42788
166;fail;14910;84688;43978;22621;16234;263703
167;fail;82532;13708;6028;106960;16102;3129
168;fail;36251;50119;24884;71009;69178;89298
169;fail;72416;8924;125072;205135;226810;5003
170;fail;36719;395346;62821;90591;35013;20547
171;fail;155181;141562;471974;198647;112928;324822
172;fail;48780;207833;21913;64385;216549;11253
173;fail;146953;80011;33040;30332;64697;162495
174;fail;92627;109333;8163;216810;563571;143321
175;fail;9587;23942;320427;315690;13181;500151
176;fail;54276;101328;237955;175371;229041;23951
177;fail;2779;170115;137263;16185;77061;271229
178;fail;24213;5710;60698;3439;114336;33638
179;fail;1371;264926;135273;203510;306015;8813
180;fail;9256;114254;25586;273;66481;112641
181;fail;136414;40825;168369;106248;125999;8341
182;fail;269222;106293;34005;205585;99812;302876
183;fail;17935;12447;14913;116119;4118;109844
184;fail;11570;241692;31448;26190;101104;60796
185;fail;15645;287598;113951;40320;108871;196013
186;fail;52213;fail;16046;85712;74380;661606
187;fail;3113;135896;54741;133025;19432;133089
188;fail;24314;47055;46515;64890;64123;30921
189;fail;117551;122233;7367;69933;98885;123553
190;fail;72308;454950;245624;106950;83043;86869
191;fail;47844;141388;250835;191819;295309;217433
192;fail;13933;7173;15330;33607;20292;147033
193;fail;185252;174355;108801;9324;73553;63508
194;fail;58788;135917;111480;134875;181606;122628
195;fail;35023;92999;11478;70721;201790;77818
196;fail;27903;11559;173107;12809;127885;4844
197;fail;24214;60677;21407;71856;362993;1304
198;fail;63092;70239;433636;157857;145893;23995
199;fail;7778;41733;77372;303270;6196;134267
200;fail;3612;57776;60465;113784;50948;40656
201;fail;44078;147265;26926;188387;16508;85931
202;fail;96062;118388;146786;321804;576881;150381
203;fail;51880;658190;5836;25935;119041;191196
204;fail;12178;275933;53488;228532;37185;140753
205;fail;4597;267113;33543;115827;69206;62152
206;fail;3206;20602;80472;42805;16236;207925
207;fail;49293;65959;2363;4546;72536;14875
208;fail;70790;239160;702478;68133;55677;151449
209;fail;92231;117175;6333;66631;141844;2899
210;fail;77910;81855;60087;155697;106074;218395
211;fail;11362;13320;157133;14045;41690;421195
212;fail;2364;21279;8881;71546;73019;21530
213;fail;18331;118110;22484;127622;124101;129038
214;fail;68481;497582;218489;74764;163382;11262
215;fail;20158;23012;30343;249719;198836;144119
216;fail;10780;91635;129395;90527;126622;64617
217;fail;10340;100652;99370;128925;33562;4524
218;fail;15872;42481;101852;875910;515469;745
219;fail;179593;86440;28053;397;15963;77115
220;fail;18331;52757;56519;173045;12159;970
221;fail;29795;47452;8683;193905;62016;126607
222;fail;194666;253393;357934;265617;134339;30645
223;fail;39912;121623;9424;7427;358410;30448
224;fail;57325;96257;66376;3287;155713;282239
225;fail;35072;51658;55226;41396;19697;10774
226;fail;14951;219501;44958;95445;30638;22517
227;fail;54079;120455;30814;325731;117521;236803
228;fail;32486;57878;19385;63991;6049;3922
229;fail;67835;108055;44100;61071;83945;180498
230;fail;61319;11508;72355;15903;29775;75588
231;fail;219889;113853;458728;38274;18530;38642
232;fail;198263;59041;1930;64069;86320;119842
233;fail;162142;688472;359494;16782;109193;101281
234;fail;1115;41943;141850;54212;58315;5130
235;fail;25306;157968;78785;16598;10554;105161
236;fail;1188;84660;43195;175368;95899;252700
237;fail;47587;52049;474919;31404;224164;218618
238;fail;8033;116803;152991;84936;74931;661754
239;fail;7920;25603;73462;52805;123933;29307
240;fail;87744;190023;84416;32381;292586;73495
241;fail;34964;117648;146976;84166;176661;242648
242;fail;19481;143440;126537;88431;24883;69577
243;fail;18993;417000;153657;8698;37671;271833
244;fail;13556;3767;268330;66964;327489;206987
245;fail;55465;75999;80267;65094;214288;183315
246;fail;2886;281216;47631;10601;279711;125949
247;fail;32518;250520;377730;144282;6584;20267
248;fail;1760;22761;1047;109451;193929;53082
249;fail;8604;49753;17291;17700;40419;149591
250;fail;150789;43842;48480;18193;77520;101853
251;fail;127147;805575;264988;97157;124282;50191
252;fail;212980;110553;52120;128762;98967;20953
253;fail;176284;144620;10475;199085;302374;21818
254;fail;4113;4751;207650;221366;49373;4283
255;fail;148528;408787;157521;8663;31145;274133
256;fail;64394;711239;69405;52033;43648;358074
257;fail;22510;143835;27913;45982;273839;130809
258;fail;15050;328221;529;168651;157331;40406
259;fail;41418;189371;38199;51196;451698;8592
260;fail;96151;118776;120445;44517;67634;872514
261;fail;14423;17206;200318;548739;35517;180085
262;fail;54648;16321;316492;249208;26764;141154
263;fail;39728;25852;249598;41647;30414;3987
264;fail;41487;318398;49817;259177;1415;38355
265;fail;5967;10429;30209;10511;14241;14455
266;fail;19292;42535;23408;2481;136900;170232
267;fail;61436;53366;32225;195805;118727;125826
268;fail;13317;289586;141918;21001;275623;137543
269;fail;1312;45369;148601;106221;21251;110092
270;fail;33526;121955;60734;196339;230843;54419
271;fail;76411;62033;127695;167219;37994;93990
272;fail;58502;96878;11208;58154;34061;128729
273;fail;40522;45651;210196;206576;216321;140621
274;fail;79962;83579;24027;71100;160061;44937
275;fail;18650;104978;39164;166931;246252;27831
276;fail;301210;183527;74146;fail;72543;47687
277;fail;3373;28976;5854;127041;180792;63284
278;fail;11502;265110;140517;82374;68016;256945
279;fail;19904;162896;114443;306217;178443;1545
280;fail;6146;69035;70910;164902;44865;163974
281;fail;50303;77375;268527;209482;37002;145797
282;fail;82999;164409;389642;109936;37179;38868
283;fail;47325;136141;81044;22172;17679;1062
284;fail;39598;17820;244542;140321;72631;19286
285;fail;190900;25366;25390;504567;461035;3226
286;fail;43836;360918;225156;50718;462237;84196
287;fail;83076;22183;42013;71383;53969;80803
288;fail;15135;230045;53280;192880;35590;130506
289;fail;18050;16073;75082;59486;21313;49240
290;fail;9142;153892;12815;1654;69214;40841
291;fail;55535;51658;150000;15970;185755;78402
292;fail;93703;45847;44916;159733;148358;307896
293;fail;14140;3067;372483;396138;111245;151654
294;fail;19409;88527;41332;263234;69003;97088
295;fail;36169;95658;141411;92810;43953;91704
296;fail;26511;17829;220194;10355;34153;90937
297;fail;614;79258;31515;83552;81241;60563
298;fail;23206;51059;12888;95518;148574;41289
299;fail;150545;368491;440535;1214;1182;420047
300;fail;11574;7848;85109;69186;178624;155352
301;fail;38234;126122;67636;13598;13163;24446
302;fail;23201;230176;71796;275208;24451;55598
303;fail;12470;6695;50329;65913;152;564
304;fail;78939;396508;35123;18753;155300;15655
305;fail;56702;12669;26660;37581;134209;120486
306;fail;162276;110803;67158;193149;112261;330019
307;fail;207564;41222;451693;99846;108621;127131
308;fail;8948;81027;29118;33280;201963;39429
309;fail;23908;46241;68286;97738;62970;11398
310;fail;856;280829;59984;44643;69733;102372
311;fail;16387;12560;34436;56785;7509;96236
312;fail;24126;223696;30858;118779;2808;30326
313;fail;128940;54976;58517;176173;182986;160008
314;fail;21429;155302;312419;41593;193072;449811
315;fail;45628;243265;14102;123129;32088;32146
316;fail;56792;14048;207625;48590;6544;64586
317;fail;89749;7928;111137;300781;293699;51553
318;fail;27052;232796;902;12119;24293;47204
319;fail;88343;4765;11821;126271;82271;29953
320;fail;15420;17552;19400;117809;29628;12553
321;fail;29800;231492;40071;30597;189353;31596
322;fail;29600;29381;182679;86456;35957;135336
323;fail;130308;226185;208028;13006;184851;100501
324;fail;33324;13872;28175;370240;49928;20701
325;fail;57237;119658;70166;4700;47081;464351
326;fail;31222;43207;26219;84121;203100;172452
327;fail;105516;87912;35451;115059;70252;105689
328;fail;49710;325565;15401;7061;499362;78971
329;fail;63026;165610;90597;2639;102066;98239
330;fail;210256;36542;66580;80053;5756;54570
331;fail;218357;19499;315963;89542;359767;292033
332;fail;75242;54975;352726;67587;81881;43776
333;fail;89262;347717;60748;133849;122668;109981
334;fail;92750;88980;18834;52952;82334;92405
335;fail;4559;40704;5821;54312;101678;232708
336;fail;25811;189503;3141;44000;62204;593221
337;fail;61963;47131;130935;23442;36939;75069
338;fail;22336;10108;2974;9905;173025;184012
339;fail;54801;74577;39486;51061;13072;4396
340;fail;67244;196158;24579;8624;27133;175035
341;fail;53388;50661;59622;40243;64768;60340
342;fail;76927;49014;4199;32312;85800;3741
343;fail;14012;28325;75272;35031;95629;38351
344;fail;6506;180729;167749;62854;120593;259696
345;fail;14570;59969;86626;27694;7736;70945
346;fail;94406;2102;81119;255943;8952;150728
347;fail;9540;42940;90664;49074;6274;142373
348;fail;25441;16085;127040;44093;457679;425285
349;fail;196337;473757;165315;52241;13533;74749
350;fail;33681;92175;12370;120241;8850;87770
351;fail;3712;422688;77503;873712;256271;624146
352;fail;386538;104220;92221;20841;161369;368165
353;fail;2828;52194;130321;89622;143496;41264
354;fail;5368;51626;12488;232528;163390;150661
355;fail;91429;21475;51374;182579;61629;364397
356;fail;126639;10821;279627;77249;37990;155049
357;fail;40922;132520;150316;55069;182724;24086
358;fail;40205;17599;16679;17357;80539;2531
359;fail;25488;230;26831;89721;144942;74518
360;fail;91910;167698;82139;418977;158114;406960
361;fail;6200;31982;229620;10884;10007;69454
362;fail;67788;253209;486108;48911;86750;25326
363;fail;10715;17067;85513;126921;44761;186
364;fail;6471;29813;59352;33844;49601;19792
365;fail;141432;36406;35142;75013;35962;7219
366;fail;39106;335207;195710;113073;236521;114748
367;fail;74597;82294;18037;68387;151401;64200
368;fail;53403;101634;31922;48742;76878;171890
369;fail;42749;137214;7583;42100;16804;158976
370;fail;73006;95339;21230;82911;159249;78122
371;fail;2436;199485;149312;58465;95172;31920
372;fail;1091;605;235664;30983;22244;4270
373;fail;33521;282688;432982;391239;73838;127785
374;fail;62972;18506;106868;98661;117499;8681
375;fail;56531;156380;12873;69640;33353;132393
376;fail;547291;104028;38025;139274;83812;168689
377;fail;4651;427041;125151;290661;114805;203040
378;fail;117248;617858;75929;4312;300325;77578
379;fail;123122;12902;145250;40960;150816;304004
380;fail;17982;41435;67995;190297;42669;50969
381;fail;39110;84758;124377;46889;84297;55833
382;fail;19068;81808;156702;310361;171423;57038
383;fail;61761;60725;132940;77732;67591;88253
384;fail;65807;169927;156745;51694;258095;101865
385;fail;1728;90635;43878;79343;589190;330100
386;fail;77186;18183;5634;149746;65503;131907
387;fail;20000;59599;6705;23750;115746;92039
388;fail;184912;247085;455605;92746;181654;501851
389;fail;47807;18372;75612;100953;104104;174109
390;fail;15449;182783;108398;64165;77494;38418
391;fail;49243;43090;139165;95129;38676;27558
392;fail;8109;98501;71903;19977;109095;4023
393;fail;25269;6229;157827;28044;216184;95153
394;fail;92790;9861;134558;86885;32543;81719
395;fail;3908;194274;351060;86327;60897;297879
396;fail;55819;116256;190220;89524;42257;1501
397;fail;59652;4182;28816;16685;150054;103133
398;fail;18540;35718;79156;47489;6667;11000
399;fail;71020;21426;65153;162647;3770;25495
400;fail;26910;206386;287441;176239;12363;184178
401;fail;3236;123841;41206;40606;35901;713
402;fail;5150;66188;231248;170082;64239;56667
403;fail;14551;36297;78300;32122;258974;133210
404;fail;80986;17684;159674;237458;192694;35749
405;fail;131346;11425;107366;7943;235023;109933
406;fail;770;34206;41917;105101;19534;2953
407;fail;10009;107941;19645;67764;12230;48428
408;fail;25912;44738;29982;64949;117999;86018
409;fail;53370;343541;1520;231963;89832;156800
410;fail;9790;250632;104471;81345;653728;231769
411;fail;53159;39436;50339;249858;11008;29231
412;fail;67214;20558;17504;78869;13182;72134
413;fail;38058;20199;9224;69099;61415;270786
414;fail;13530;119905;46933;647618;298413;48616
415;fail;154121;221870;59607;50561;489386;50053
416;fail;23422;24652;317635;107394;20639;147198
417;fail;27070;144883;152702;139459;107447;165972
418;fail;333510;290041;178568;16846;90627;211087
419;fail;113052;232855;526780;226431;510552;155342
420;fail;82356;31442;155745;53879;18922;513824
421;fail;57364;135861;62549;48670;108570;6893
422;fail;12497;144261;104598;93862;23000;128428
423;fail;272765;146966;251382;501699;13097;77663
424;fail;90372;4795;12101;112357;97943;40554
425;fail;32464;77311;81963;79530;107176;83485
426;fail;246037;149038;35705;57253;54900;53222
427;fail;42603;165723;42303;230924;306866;316522
428;fail;7374;320680;120393;93796;154644;382222
429;fail;12340;46745;15237;76636;30163;50879
430;fail;82901;116481;21019;132349;5452;16457
431;fail;63412;198944;31682;35235;99843;134684
432;fail;14889;176229;243734;11237;37303;170960
433;fail;19307;22993;148997;2870;50708;178444
434;fail;58786;175857;66413;254507;45686;48736
435;fail;59918;125519;348126;80997;90495;6161
436;fail;30338;30770;18909;2797;81081;77381
437;fail;12262;371934;6244;83302;180161;271876
438;fail;17857;103838;15151;35281;20354;342326
439;fail;63615;17414;148815;51447;119846;25269
440;fail;7496;26478;192050;17448;50287;373542
441;fail;128792;419677;88971;85411;362245;69327
442;fail;115678;46155;78624;76259;106952;139388
443;fail;18229;20624;134837;476991;106355;34438
444;fail;97804;14926;131206;63200;34236;77127
445;fail;40931;664078;56779;404907;144694;242843
446;fail;15035;6226;14612;270191;250576;88409
447;fail;3774;157726;25344;86622;146494;8712
448;fail;118615;82488;64163;14527;39647;41986
449;fail;57250;46528;37580;111532;125092;239
450;fail;29971;136728;94659;230521;225390;5431
451;fail;13695;147784;149903;238898;244995;13726
452;fail;3416;10942;216450;27624;326;44615
453;fail;5729;54278;71769;71047;177912;34495
454;fail;52035;9583;30413;40435;94803;301947
455;fail;51129;76672;115984;141448;39051;4416
456;fail;10832;52389;52369;2433;59939;365155
457;fail;24115;66102;57170;163478;63893;22183
458;fail;228398;39957;531;211888;24583;659006
459;fail;131148;42409;14656;124976;881;96158
460;fail;88313;76543;163619;215609;106027;13263
461;fail;76278;49975;46447;17034;2326;59834
462;fail;29147;70285;274406;63670;126990;222579
463;fail;58475;24016;12504;61909;106;41479
464;fail;57997;93883;9339;54859;66674;191330
465;fail;76671;35130;263279;44773;248511;240105
466;fail;18844;206416;25989;868375;409089;42332
467;fail;64296;229997;3530;77928;93434;69367
468;fail;176406;270098;66045;18385;180242;37271
469;fail;15056;213436;26348;71909;137027;147841
