;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
106;69792;196811;89677;441;105334;87952;56342;71571;15835
107;18968;22931;52176;139189;1464;3220;24534;10467;59007
108;114688;529430;76205;52746;132886;317931;245058;54594;186166
109;14469;156732;259656;49634;136773;3734;40631;45004;133717
110;69944;113632;89448;30899;100710;19435;58912;19749;23614
111;176170;49616;109617;179;566515;48215;1027;42532;81470
112;11056;473484;59805;40924;78161;86276;91047;13288;3581
113;78583;131114;85983;447842;133037;120538;51141;48702;167265
114;49282;59193;52913;145149;69238;214659;1156;559510;27068
115;236314;505790;133170;33938;61001;19552;203685;43807;13769
116;436534;57015;4342;12062;3122;33515;142213;40576;235040
117;12272;729;54667;445265;21315;408452;458555;92274;340140
118;45912;60424;363801;35348;19209;215587;156824;1529;86676
119;56288;1942;42121;22044;137761;52589;68327;80509;52676
120;134822;354042;12718;2503;196339;658883;285957;109119;38228
121;28232;40076;39278;353800;28825;75477;1408486;60631;36123
122;456039;209891;189052;352739;173828;128443;112998;30548;21255
123;70514;18977;52101;16727;18514;85679;900;89190;23260
124;49948;36328;76114;72259;96388;62266;50625;35991;58618
125;23372;45175;86161;56089;57648;4595;131371;267173;6570
126;448226;11505;31557;328984;62965;22348;221048;491884;13483
127;170627;173139;5028;28612;64570;506583;116148;98674;6177
128;75299;146796;44682;195055;187371;5822;60147;146631;126125
129;232467;87346;64034;72529;47642;82714;126164;126725;31830
130;156125;55292;72923;12690;57561;48377;98397;979;853
131;66508;6962;25366;74593;138301;135701;18810;45003;18365
132;101183;312054;437003;154656;19470;12436;24523;6180;32074
133;30155;1608;97651;100693;4510;95260;44326;50460;26575
134;126931;70554;38330;22618;44750;146109;57344;13351;1376
135;239654;53011;42302;20416;41456;11701;20306;81272;60962
136;70332;95130;11894;59213;79099;57341;42646;483;37803
137;213944;36149;105105;8013;40399;6773;322058;23980;42776
138;19243;146604;35293;9450;18585;79044;62412;5524;17583
139;159821;23736;46574;4610;106048;20343;22212;69367;30359
140;21427;35496;4918;19746;3325;3886;46927;83481;85562
141;93085;43416;122536;86951;5704;3408;13512;268155;1549
142;300774;583093;38515;92825;1537;372247;60013;41026;9700
143;23558;186591;25715;5993;411900;456192;109100;106746;110623
144;168553;32911;79232;11919;148617;56193;190140;237022;37727
145;763644;15665;224291;1530;7440;775280;53954;11672;192324
146;31827;32560;85188;110875;46683;27177;438742;95606;340464
147;320486;21724;131770;134032;30022;57318;14851;3823;139769
148;34381;2025;73394;27726;49673;103360;51486;33744;38345
149;5776;38258;134747;4214;31899;16680;930;33287;72425
150;543062;519497;285412;482;15919;182528;1140081;297953;194049
151;359896;103009;299810;16490;74324;22815;11531;23995;99463
152;168294;56093;40214;5198;62284;120292;24234;51978;11646
153;196517;82973;250301;6085;45961;123365;18266;287746;20727
154;130435;2237;17913;48218;1116;11415;59896;241493;13375
155;402825;49398;159254;33432;46457;457035;246177;24225;101341
156;366630;22024;55518;73383;7821;105989;27871;53378;11077
157;111387;191991;56754;77528;353714;1324;11104;19830;83292
158;120167;55527;26784;17748;24027;59553;22202;258526;100721
