0;fail;254157;219458;694771;79334;2621;262560
1;fail;500776;434236;83552;163713;17394;17246
2;fail;1304;1020;6443;287597;218819;66860
3;fail;167012;234271;71806;206853;222902;17816
4;fail;15700;458217;414287;138951;223579;224984
5;fail;42178;188176;13852;293765;167287;158302
6;33909;126994;172879;129754;65310;47844;17046
7;fail;98052;58290;269757;20350;41899;310169
8;fail;403941;1542;163809;180555;83213;121054
9;fail;502347;59672;5922;35796;44829;349665
10;fail;121828;519220;262220;368849;11967;167302
11;fail;fail;69727;11518;41867;138944;66715
12;fail;306216;29414;15170;151530;281471;15394
13;fail;650120;116262;44781;122210;33049;827736
14;fail;319120;342973;99807;52268;120176;400084
15;fail;71401;10436;15843;73062;13427;77311
16;fail;227136;86195;66947;79423;116782;176035
17;fail;1818;22484;63840;14954;78438;79464
18;fail;528648;54836;25826;57457;132062;948
19;fail;60985;69508;292232;434718;33621;79936
20;29204;281535;56141;209475;147639;451184;21035
21;2316;21165;6547;65135;276;33259;20859
22;3551;199875;9867;28179;183829;478018;146920
23;fail;113658;38231;283254;128392;282416;88372
24;fail;fail;5722;131063;8998;294107;207228
25;fail;116089;129987;30486;19712;62544;820352
26;fail;533910;43831;128892;284148;897537;25099
27;10214;29794;406792;545404;26604;36892;580205
28;fail;387594;506047;128089;596417;251072;119191
29;fail;18953;123578;127886;147365;111683;127812
30;5346;323075;530970;13031;61798;39572;759743
31;fail;162494;fail;38249;444210;54362;18242
32;7244;329026;466113;30544;245661;3336;82295
33;fail;720722;98723;162730;241557;78877;206717
34;fail;361371;85915;71700;214519;163791;148859
35;fail;286816;18826;52124;66158;328217;357510
36;fail;199326;56460;37610;23698;50054;fail
37;fail;106979;59127;22560;30151;14332;314513
38;fail;82249;490752;445970;53153;38367;256759
39;75912;91443;115061;27111;24010;466486;107711
40;fail;fail;150911;78686;131661;80127;478214
41;fail;22791;287059;12409;8329;41870;236558
42;fail;183033;391912;139842;108528;60305;233420
43;7420;60378;3185;322642;68203;732469;12694
44;729;7246;100213;78116;45003;25090;10746
45;fail;224376;141721;303727;271192;37603;553433
46;4951;161621;1559;232040;136939;37436;111881
47;4313;fail;644153;24315;739865;20054;32846
48;fail;185410;232833;56385;2257;4702;38184
49;fail;863;86315;255524;37555;36879;846623
50;fail;514544;36570;271432;33659;17077;95566
51;fail;559676;69827;34461;230871;296196;341844
52;21785;22718;58215;34432;60335;57015;83313
53;fail;63381;303171;82186;58480;83415;5317
54;fail;30964;343720;5590;13644;43518;26523
55;fail;92784;16597;12858;39923;27500;5230
56;14915;50419;281981;427343;54495;126760;3424
57;fail;381943;149317;56162;117253;103386;212014
58;12434;32830;9730;33461;9486;167553;30047
59;302;297723;123587;21816;111650;8863;71229
60;fail;483762;31946;461312;219865;49124;42273
61;fail;38114;325071;36160;57489;144989;47091
62;fail;165667;271218;15387;38399;51397;157927
63;fail;110118;22242;12247;15184;37807;176214
64;fail;fail;5548;203290;93847;200215;122708
65;fail;64720;29900;16489;99867;43418;57575
66;fail;86280;2686;35039;37811;8104;31865
67;fail;337348;863577;210072;477381;161270;14680
68;2869;75193;62978;247081;18404;446279;70583
69;fail;102906;8240;35903;132089;24232;54121
70;fail;215800;248938;1772;47904;39391;169035
71;fail;178081;12457;185894;272781;237052;207113
72;fail;207995;179368;189210;604001;26167;48380
73;fail;fail;963;18959;62528;254546;154802
74;fail;95633;700458;26667;543823;157762;323044
75;fail;296544;16166;55138;312876;9303;226186
76;fail;12576;349142;147309;93232;64414;171392
77;fail;284536;104604;39259;190535;69952;424999
78;fail;482669;284952;8535;35196;5840;63637
79;fail;96283;249188;163751;44753;188394;452543
80;fail;148555;344115;29502;166519;27170;3540
81;fail;34240;27564;273108;232961;132388;157547
82;fail;87569;120354;218001;2121;51244;17800
83;fail;263856;494414;2840;218144;17804;11225
84;fail;165780;471220;273244;138923;56860;188687
85;fail;279329;312185;285431;123282;47017;250818
86;fail;359937;187713;467931;52212;53543;174711
87;fail;136083;305569;583116;76914;71305;739559
88;fail;30492;fail;228644;465467;266654;529659
89;fail;fail;64967;288708;17428;133521;83883
90;fail;141223;139628;203927;23926;132574;68510
91;fail;1864;101835;189720;6531;218564;35025
92;fail;460011;153165;58586;133703;111266;49826
93;16383;79220;113422;130930;26919;7458;256756
94;fail;180111;388942;137766;263959;258937;131114
95;fail;fail;62252;117865;17204;226425;451171
96;fail;42147;57705;9545;3226;2055;320072
97;fail;4607;392924;108469;142001;7042;238896
98;fail;834954;233132;763735;6486;336968;192558
99;3185;1601;37923;1078;36989;29320;58293
100;fail;18855;136935;237842;46142;113234;34470
101;fail;658281;359556;40843;295998;182042;52505
