;RLS-R2;EA2;pmut3.25
318;1284;1767;1698
319;9839;1554;25279
320;7267;5378;861
321;1005;1334;719
322;613;2175;1375
323;160;1428;429
324;994;1561;4021
325;481;1938;529
326;1514;1051;1500
327;1500;171;2996
328;2720;786;496
329;1559;2319;3849
330;2310;4411;395
331;232;2032;166
332;2091;442;637
333;833;472;1140
334;1839;6499;1035
335;606;3205;9926
336;3436;1209;646
337;6994;845;4177
338;4775;8497;462
339;1207;2161;3200
340;528;3216;601
341;3877;4398;400
342;2125;1222;4019
343;3302;3614;77
344;1635;2155;925
345;690;1213;2710
346;520;3202;5206
347;452;1060;1491
348;5859;1689;2383
349;224;2487;4300
350;4369;1869;5618
351;2443;73;732
352;2121;603;4350
353;702;4767;3810
354;698;2968;1933
355;161;171;1376
356;404;980;1732
357;495;153;4899
358;1451;435;75
359;2760;2943;2324
360;227;453;2377
361;2996;812;862
362;3360;3503;8437
363;1565;598;3122
364;5116;6130;7446
365;1052;85;262
366;3405;6971;702
367;1584;694;1440
368;1120;644;3856
369;2636;339;2973
370;4873;1722;481
371;2014;10221;184
372;177;9586;882
373;630;219;2786
374;2340;778;2599
375;2299;834;1628
376;1159;370;1068
377;2215;2322;1160
378;392;3468;690
379;1833;3119;1769
380;54;687;2415
381;1859;2116;353
382;3185;1671;391
383;2748;5646;1109
384;1693;151;5732
385;4088;3544;3497
386;1481;3511;1172
387;4294;315;1144
388;878;461;3052
389;1424;3014;3197
390;1079;950;206
391;1114;2433;2575
392;4695;23961;1942
393;6381;7903;1943
394;2039;5910;167
395;610;213;182
396;554;6755;871
397;1928;161;163
398;352;72;275
399;1313;2477;528
400;1060;1080;4929
401;5323;863;930
402;1026;797;1993
403;617;6498;1649
404;7052;7295;3444
405;14617;21;1089
406;1333;2434;3612
407;4943;787;3620
408;560;2347;3151
409;858;1247;6581
410;270;4194;1532
411;2431;3678;12759
412;1005;6793;1542
413;7514;8104;1637
414;670;4859;1106
415;915;889;952
416;338;5447;4546
417;2743;1814;126
418;635;361;246
419;219;4018;893
420;520;3953;4063
421;848;331;1679
422;893;431;3325
423;5488;2628;379
424;727;751;2145
425;154;4601;2613
426;3934;481;457
427;1556;4613;4095
428;900;2441;4661
429;1868;4462;1884
430;282;5190;2874
431;1617;1344;999
432;2836;2600;1562
433;6146;1263;4771
434;1515;2855;199
435;435;3463;257
436;56;98;211
437;4103;7421;9843
438;2175;123;1266
439;3112;647;1613
440;2762;2701;8352
441;424;1215;729
442;312;1629;2890
443;1851;858;1210
444;4773;2273;1900
445;102;6530;2773
446;1534;3704;1344
447;491;1692;7909
448;6906;54;947
449;310;5145;2110
450;215;1538;729
451;4732;537;163
452;2920;5972;5643
453;161;1523;1030
454;2328;219;1671
455;3302;2921;2265
456;101;478;782
457;1960;4807;3164
458;3089;331;797
459;5506;955;2640
460;1836;7340;3915
461;520;1120;1833
462;499;19934;80
463;10722;9246;624
464;327;1203;471
465;711;759;615
466;1290;5257;996
467;1514;2377;2598
468;1186;3615;394
469;1724;389;315
470;3187;696;1456
471;644;11268;6470
472;1863;586;143
473;1607;5469;2093
474;2985;2283;579
475;1112;2008;929
476;1882;629;6019
477;369;2682;1159
478;864;3857;110
479;3657;2297;210
480;544;1540;907
481;4724;646;3208
482;389;1251;1158
483;1639;8265;2902
484;1584;960;3344
485;3328;1299;3735
486;3755;8345;2179
487;764;3151;1209
488;2629;446;815
489;794;155;1770
490;223;2563;2134
491;865;3242;1944
492;1070;1335;3697
493;1092;4291;3238
494;464;4619;1488
495;865;4950;1208
496;2217;1777;4558
497;2693;604;606
498;326;1557;583
499;698;1350;1256
500;582;1089;589
501;1572;362;186
502;1958;10537;3326
503;355;2533;169
504;292;334;11820
505;7345;1071;1541
506;2452;2554;2621
507;3003;10490;397
508;105;6095;9129
509;1997;7168;350
510;5474;1460;4372
511;647;1149;795
512;7007;405;697
513;1163;12516;1179
514;1472;5495;727
515;288;1706;1753
516;2016;2227;2374
517;111;4594;774
518;903;495;368
519;383;5372;2476
520;2863;310;2419
521;487;488;286
522;899;1948;7388
523;3228;300;2179
524;1659;899;632
525;1679;20094;2395
526;554;2957;1723
527;859;8546;2166
528;215;5395;237
529;5268;2477;6213
530;2025;3081;769
531;611;9054;2994
532;2837;3062;1979
533;1414;2023;271
534;2629;3082;3317
535;386;1013;1249
536;1369;417;562
537;2274;5258;2604
538;1031;10935;6384
539;610;11747;220
540;1134;1544;3813
541;1987;498;2300
542;1710;1437;2348
543;1501;606;174
544;8204;6748;272
545;960;3377;2448
546;42;145;588
547;429;791;2205
548;861;1205;565
549;2548;1173;1297
550;495;1228;1806
551;11101;9301;523
552;561;41;560
553;1263;436;3135
554;1897;13200;1382
555;1178;12082;3466
556;3079;5860;2790
557;931;106;3679
558;212;658;1700
559;1865;2063;248
560;1044;4888;3133
561;1368;10997;1681
562;2755;3476;2164
563;1883;2760;5302
564;7199;1561;540
565;1316;4173;1760
566;275;2396;1082
567;10529;2284;6581
568;7212;1076;1762
569;21;2506;3373
570;828;1093;2259
571;957;551;234
572;4525;5278;5862
573;955;433;1357
574;641;609;1809
575;1247;4154;416
576;519;27235;5681
577;2772;620;6276
578;1572;3320;1442
579;2162;3340;16050
580;6035;6143;1455
581;205;619;405
582;2273;2983;2495
583;1594;4849;208
584;165;1733;6468
585;2124;1013;156
586;2548;159;431
587;3479;3359;924
588;6553;2903;536
589;1880;2833;1599
590;1587;2784;905
591;2905;281;2608
592;4481;1776;1945
593;151;1266;321
594;4337;1411;1464
595;364;3589;2172
596;852;263;858
597;781;655;1833
598;1038;1111;3650
599;674;5808;2010
600;506;582;658
601;363;487;19475
602;1488;1022;1125
603;1706;689;188
604;7039;587;1419
605;2224;2170;2036
606;4007;2048;454
607;2142;2201;2921
608;1037;1955;778
609;1253;3870;3440
610;1257;3367;2170
611;2282;1922;267
612;331;3699;797
613;502;1149;510
614;688;718;841
615;9033;1207;2641
616;1044;1077;2274
617;1618;677;524
618;415;3026;225
619;1933;6063;2248
620;4697;7181;3755
621;62;2317;2934
622;4528;4895;13606
623;1668;3793;3199
624;1235;3954;3068
625;12243;3016;2176
626;2671;2532;84
627;508;2147;978
628;227;2111;691
629;2845;579;128
630;336;3792;6650
631;3332;2443;489
632;1494;373;792
633;9435;774;1049
634;5900;2904;2287
635;2190;1092;1011
636;3098;523;814
637;1009;1734;1017
638;359;1057;2820
639;749;12070;192
640;945;616;255
641;326;344;1125
642;929;320;5740
643;202;280;1064
644;3737;1843;632
645;1715;2898;1044
646;427;1446;3089
647;1646;742;4753
648;2686;16072;511
649;1591;245;6162
650;533;273;548
651;5357;8167;297
652;929;4188;2722
653;431;1761;373
654;4126;4597;2008
655;449;2308;1918
656;547;2437;2440
657;82;589;1629
658;625;3273;4096
659;362;6372;2407
660;1483;8112;1916
661;420;904;358
662;154;1925;464
663;609;6537;1215
664;2195;1657;3153
665;3369;4989;249
666;4331;4306;5612
667;2268;592;821
668;416;402;1404
669;161;1417;3626
670;318;230;2258
671;5807;4431;7621
672;524;1272;1807
673;3052;843;3603
674;4408;2253;1872
675;6675;6001;317
676;273;2995;1801
677;1664;13065;231
678;1860;7280;1619
679;471;3372;182
680;402;3116;727
681;567;1528;491
682;627;11453;2255
683;818;5718;832
684;6706;339;2408
685;1143;299;1570
686;871;3360;2329
687;359;770;596
688;7198;1326;2959
689;1687;2570;1636
690;2464;314;812
691;1060;834;3209
692;1957;5571;828
693;564;1271;587
694;1666;479;948
695;1058;2921;428
696;495;3012;2345
697;2148;2382;504
698;145;9370;121
699;1896;1142;2140
700;1533;4676;2404
701;886;10831;2061
702;1154;5981;1325
703;473;1239;14270
704;1063;1827;1508
705;286;434;442
706;5034;825;1513
707;2497;5960;2839
708;249;319;464
709;13896;4913;2571
710;2280;343;118
711;332;12289;165
712;626;15212;708
713;2685;275;660
714;3683;5488;1581
715;815;2718;295
716;747;3154;1390
717;1295;708;200
718;2701;2256;204
719;1310;338;1073
720;891;1135;3362
721;830;4064;701
722;463;6414;3250
723;1162;6320;3650
724;3997;438;344
725;763;559;902
726;3321;946;1640
727;87;1979;1126
728;4915;7233;170
729;3462;2136;668
730;2230;2339;3901
731;781;7326;138
732;334;213;962
733;1044;10105;265
734;2156;3894;990
735;512;46;912
736;1771;848;1901
737;693;1424;165
738;4238;4301;1643
739;2112;1086;788
740;897;2655;1115
741;8294;2117;883
742;1591;323;5509
743;3545;3072;821
744;2763;1240;522
745;1629;3032;140
746;1543;5081;848
747;983;4161;2222
748;156;3266;459
749;771;1369;471
750;3784;983;323
751;4683;2228;1568
752;3339;2375;2181
753;252;10547;417
754;1646;1970;1653
755;1068;1904;1756
756;1327;30573;10309
757;428;7915;9570
758;1189;464;615
759;6;1123;2910
760;4647;15079;4082
761;2777;1737;2725
762;175;2655;4762
763;2300;1754;2683
764;1817;4078;1814
765;3627;1570;2505
766;5375;2159;7715
767;241;745;1273
768;1263;1195;685
769;3749;3626;360
770;1734;13178;3665
771;3327;11127;1049
772;977;2052;615
773;2449;853;744
774;1086;3306;1378
775;4523;102;387
776;3832;3376;2725
777;600;2321;2250
778;7179;9627;444
779;688;131;602
780;1148;2231;513
781;226;568;584
782;2928;1846;504
783;1473;11262;3946
784;2674;5982;8362
785;1196;6227;1280
786;189;1442;1515
787;2338;1534;1132
788;859;3535;337
789;3806;819;490
790;678;4123;1231
791;2073;1062;152
792;1642;6911;567
793;1405;1530;546
794;1113;181;328
795;6859;974;2620
796;5176;1007;8266
797;765;5829;3515
798;767;2151;3809
799;42;2105;170
800;2708;2722;808
801;2529;3343;400
802;503;849;742
803;2225;570;156
804;90;1212;843
805;2115;4151;1523
806;554;2004;3466
807;2532;12400;2489
808;2076;644;1127
809;2507;303;436
810;639;1950;7652
811;3052;1492;2327
812;445;826;6990
813;502;2488;188
814;1342;10954;3984
815;1812;2375;2938
816;1764;1628;1486
817;282;561;299
818;4168;409;153
819;1517;3291;2487
820;4858;1096;1845
821;2440;8336;3313
822;1617;1359;2839
823;4269;1689;1100
824;3899;945;2179
825;1029;2099;3627
826;2836;9292;401
827;1565;7131;173
828;2603;1103;1798
829;6967;8940;3844
830;1364;573;1010
831;647;3831;1215
832;3721;4177;3642
833;576;1859;2310
834;1518;559;176
835;1688;4752;2132
836;1280;379;1352
837;156;1247;3626
838;1013;574;4617
839;3824;1063;788
840;9654;5718;778
841;2625;2065;1739
842;440;1761;731
843;500;156;1672
844;273;2556;510
845;661;14169;939
846;3031;207;5506
847;1704;2220;426
848;4663;7284;6192
849;85;1020;357
850;729;3023;1605
851;1489;1419;550
852;4625;2767;1612
853;3824;1098;1381
854;759;1658;606
855;2452;2122;1815
856;3452;2722;2847
857;1974;117;2811
858;216;760;1429
859;153;383;1574
860;5022;4412;2124
861;401;745;2406
862;2956;318;2100
863;2122;9761;2862
864;1577;1480;143
865;623;1498;644
866;705;482;772
867;2843;5088;985
868;434;4298;3089
869;849;5548;3529
870;168;429;815
871;3439;7804;198
872;1066;508;2316
873;1447;252;373
874;7602;89;390
875;2149;3338;2777
876;2077;444;2454
877;1300;8417;626
878;17916;6602;1446
879;7700;2456;209
880;404;3663;1258
881;2042;1570;3511
882;4118;1690;285
883;3772;3958;2409
884;597;611;2389
885;364;12846;1216
886;1936;3405;3150
887;1499;6231;7633
888;2135;2404;5084
889;186;716;4325
890;6861;173;1678
891;1971;1870;2005
892;6175;2379;1043
893;201;754;594
894;1252;3154;848
895;1969;1326;2580
896;2127;3237;1238
897;1068;5648;3047
898;357;2165;5576
899;2621;1150;1922
900;2257;3031;879
901;294;877;1852
902;548;1568;685
