;RLS-R2;EA2;pmut3.25
2524;7145;614;4638
2525;381;5959;5113
2526;1097;3115;503
2527;784;1513;1874
2528;2353;889;176
2529;1763;1437;425
2530;342;9563;931
2531;745;8565;73
2532;559;2182;1363
2533;979;10696;540
2534;10120;212;32780
2535;433;1880;193
2536;2673;240;764
2537;2762;1743;4439
2538;3306;4183;813
2539;418;1930;3386
2540;1528;2325;707
2541;1852;5479;1892
2542;1521;3472;257
2543;170;42;6576
2544;3229;7087;213
2545;146;1384;600
2546;1204;5057;841
2547;7218;6052;2096
2548;3344;1801;2944
2549;2239;2629;351
2550;773;1210;1016
2551;633;2769;225
2552;2151;2822;470
2553;357;4957;5613
2554;2319;828;1151
2555;216;15329;2780
2556;363;3730;1067
2557;217;395;1043
2558;581;1191;943
2559;5622;241;1191
2560;18094;939;5017
2561;2073;2222;260
2562;3544;392;5071
2563;1559;3051;3045
2564;735;1707;173
2565;603;1684;1154
2566;1220;1127;1780
2567;1625;7076;356
2568;1800;7194;6062
2569;7884;4363;3995
2570;2734;18981;4850
2571;1846;2964;2230
2572;968;1991;246
2573;493;9737;4662
2574;445;4882;416
2575;553;1857;1379
2576;597;5587;1378
2577;286;1970;1203
2578;2081;1131;362
2579;771;4906;2292
2580;978;356;1015
2581;683;6088;230
2582;429;1423;290
2583;1824;2763;1433
2584;1000;2541;453
2585;871;2860;1245
2586;1824;353;1224
2587;11859;3724;283
2588;2502;277;3127
2589;888;478;425
2590;2668;1160;192
2591;794;7364;244
2592;538;1506;2224
2593;518;1356;447
2594;2340;8580;2056
2595;573;1316;2392
2596;1503;1536;873
2597;388;793;1506
2598;287;2271;327
2599;1533;853;1984
2600;2216;2500;2183
2601;2882;1447;1857
2602;617;11309;5837
2603;1453;12045;2944
2604;13962;4659;2456
2605;1359;855;632
2606;5704;1039;115
2607;267;858;379
2608;10151;3707;136
2609;1836;11945;7716
2610;3461;4670;4664
2611;501;1031;1153
2612;1892;567;621
2613;621;2164;63
2614;2951;80;1294
2615;1752;2085;1122
2616;1903;10697;3705
2617;12012;681;4162
2618;63;2842;3610
2619;1757;1170;3053
2620;388;2339;1559
2621;4404;487;1610
2622;1505;1031;2765
2623;734;1470;2021
2624;2362;3855;541
2625;1269;342;695
2626;198;1007;4659
2627;1602;213;531
2628;908;851;559
2629;1274;862;1028
2630;372;3169;2212
2631;629;1987;3037
2632;921;5480;13451
2633;856;309;327
2634;93;13323;16701
2635;2865;2292;941
2636;627;5673;459
2637;444;3838;2165
2638;1977;6465;2068
2639;269;725;3443
2640;2504;3227;118
2641;5660;1082;563
2642;2197;3157;1308
2643;759;1267;486
2644;1194;2585;1324
2645;218;5114;278
2646;800;3304;3700
2647;1162;3004;2892
2648;1090;18;304
2649;1273;1169;12844
2650;917;6071;2834
2651;4759;7611;2277
2652;3067;2572;685
2653;5497;1582;4119
2654;747;2476;1416
2655;1615;270;1850
2656;5206;69;2448
2657;416;4423;291
2658;2040;1320;3251
2659;3957;2796;644
2660;2506;579;3710
2661;6893;3996;1597
2662;639;11677;112
2663;1586;4714;3680
2664;2637;4120;132
2665;2179;722;315
2666;555;4490;1153
2667;1628;1654;2696
2668;1060;378;2061
2669;4767;1171;209
2670;451;1563;7246
2671;2094;520;7394
2672;4278;5053;3054
2673;1899;291;63
2674;2960;4020;6097
2675;1833;5082;4553
2676;1808;800;159
2677;3571;3201;1279
2678;3107;12792;293
2679;4273;1036;636
2680;10730;1157;5521
2681;9769;14302;1007
2682;314;715;1484
2683;1039;727;166
2684;666;1248;649
2685;1078;3683;1021
2686;660;1731;177
2687;1144;5190;3336
2688;1018;2808;1531
2689;1489;1129;2113
2690;755;6243;541
2691;1077;1078;133
2692;3864;2905;962
2693;1057;345;327
2694;7433;4547;408
2695;1173;2051;1252
2696;4323;3171;406
2697;1492;762;1937
2698;1513;4333;1890
2699;849;496;3821
2700;3183;1093;1307
2701;1290;2238;2739
2702;4311;530;6863
2703;3784;549;1706
2704;2894;229;766
2705;650;3367;3637
2706;1844;3766;5042
2707;332;5532;944
2708;123;120;1619
2709;1512;3157;397
2710;2310;1050;1467
2711;308;5008;4014
2712;2248;1105;319
2713;2536;193;1787
2714;1356;372;607
2715;352;469;191
2716;12718;937;4642
2717;1744;2285;1754
2718;367;343;1573
2719;4001;875;3158
2720;918;6414;97
2721;1280;973;438
2722;558;587;347
2723;6335;2301;7165
2724;7460;6595;3235
2725;997;5288;2589
2726;74;658;1596
2727;3304;2993;344
2728;90;553;3400
2729;839;1322;500
2730;2151;2018;204
2731;2518;3152;6163
2732;1707;720;374
2733;3282;11576;2651
2734;240;4440;1484
2735;6666;763;2202
2736;722;1112;8428
2737;143;2668;1762
2738;464;229;551
2739;934;1006;3161
2740;775;2343;2157
2741;208;197;8268
2742;6500;2817;478
2743;1281;417;4123
2744;54;1141;242
2745;2670;2337;4740
2746;390;1353;10297
2747;603;12851;1734
2748;1334;5383;1272
2749;4206;363;867
2750;2504;4439;13413
2751;437;2585;710
2752;768;1733;346
2753;3989;508;2270
2754;441;2972;185
2755;495;1219;2612
2756;3227;5907;224
2757;751;1517;1988
2758;1363;2529;2675
2759;591;62;336
2760;9472;9245;176
2761;4164;3366;2559
2762;1052;441;1122
2763;725;6784;1474
2764;10189;4415;1429
2765;1870;1242;255
2766;463;1243;1220
2767;455;5114;53
2768;269;748;2682
2769;11934;35921;799
2770;1936;1021;345
2771;813;2387;975
2772;1081;1226;857
2773;3712;7400;4960
2774;160;1267;728
2775;907;5033;1351
2776;494;1266;1072
2777;1377;34;171
2778;684;2338;2491
2779;1345;6902;1453
2780;678;2771;8284
2781;2046;4667;522
2782;2902;1622;8740
2783;474;862;236
2784;2129;8797;3406
2785;3134;1852;4694
2786;3597;12840;6003
2787;3668;357;2612
2788;1171;2941;66
2789;3715;4622;430
2790;5711;5161;534
2791;6329;12356;2642
2792;6735;2484;1197
2793;3424;1175;2225
2794;1938;3062;729
2795;1084;326;928
2796;1825;5597;1927
2797;907;759;5278
2798;7177;2382;825
2799;450;1909;3071
2800;718;1030;1592
2801;1827;984;4354
2802;12389;8955;940
2803;4094;9;4503
2804;527;552;153
2805;5221;437;4662
2806;3839;2076;112
2807;1774;584;2020
2808;437;3495;756
2809;832;6907;1674
2810;1658;869;356
2811;1000;4785;2694
2812;381;1025;447
2813;275;221;1291
2814;2845;1765;2487
2815;260;3232;3633
2816;597;157;1988
2817;8031;6158;5975
2818;10245;6329;538
2819;1466;2467;2051
2820;1270;1252;75
2821;13629;646;5887
2822;2570;10247;1713
2823;339;127;145
2824;474;854;150
2825;770;4442;285
2826;514;3939;225
2827;2162;419;90
2828;1237;1171;2696
2829;429;5780;3295
2830;1914;5020;890
2831;1021;1106;850
2832;3406;5785;358
2833;1553;3672;161
2834;284;822;2293
2835;3741;965;2550
2836;1648;364;4724
2837;4585;6934;1545
2838;1818;1236;52
2839;2589;6238;28566
2840;3001;1192;307
2841;1554;952;4017
2842;2537;1018;1898
2843;1105;8928;665
2844;6004;808;147
2845;959;2831;910
2846;1540;1671;4894
2847;1523;3661;1784
2848;1416;5088;869
2849;1790;3250;8516
2850;1557;750;256
2851;9224;31;1333
2852;2758;2641;1032
2853;4113;82;1462
2854;1709;568;1439
2855;968;5173;5899
2856;40;6512;3984
2857;1460;195;451
2858;1135;1013;1592
2859;5120;4121;374
2860;1944;2251;1141
2861;401;115;872
2862;317;813;320
2863;1953;1146;471
2864;1664;2530;481
2865;711;30066;218
2866;1948;6740;6542
2867;1048;128;2736
2868;2232;3473;3715
2869;1495;388;167
2870;921;603;4815
2871;550;679;322
2872;1947;9245;722
2873;9590;1159;3014
2874;1565;4511;937
2875;1718;1476;492
2876;1812;1907;1313
2877;6590;4616;1982
2878;1366;972;2185
2879;4301;1012;9929
2880;376;371;4008
2881;5007;172;191
2882;1943;3081;4008
2883;3636;1153;2290
2884;12667;5450;7703
2885;2742;4433;1588
2886;2442;490;129
2887;453;6086;2118
2888;4370;3720;445
2889;674;99;619
2890;3780;2607;714
2891;423;170;606
2892;9397;3021;1143
2893;1550;2666;246
2894;625;254;4959
2895;315;4474;562
2896;993;2854;3400
2897;2372;533;197
2898;3017;7265;7928
2899;386;3126;1133
2900;802;5725;1273
2901;3029;2132;3835
2902;1985;2894;171
2903;884;3409;2172
2904;846;632;1551
2905;872;213;4890
2906;2316;2943;2120
2907;2663;753;1492
2908;1068;423;627
2909;2549;5938;1038
2910;14114;388;4614
2911;2575;219;1682
2912;2645;4346;469
2913;10141;4251;6718
2914;3610;5647;4028
2915;2213;6194;399
2916;1302;1226;1278
2917;300;3285;633
2918;1529;440;3083
2919;5242;2014;2261
2920;215;313;1993
2921;1008;5767;1601
2922;15032;9858;733
2923;222;161;67
2924;7738;4177;215
2925;428;894;680
2926;1906;4397;1725
2927;3862;2139;225
2928;1769;987;2177
2929;1948;243;1950
2930;5536;160;3291
2931;1119;1154;593
2932;3841;282;2394
2933;181;1636;355
2934;811;6729;267
2935;111;7904;943
2936;1381;13783;3880
2937;567;537;518
2938;299;3535;339
2939;1355;2879;6528
2940;2543;8190;1173
2941;231;380;753
2942;7357;4814;803
2943;126;1618;1711
2944;1378;1571;1078
2945;3423;1418;4200
2946;3457;1701;1979
2947;2789;4538;2384
2948;8578;1134;2602
2949;968;451;310
2950;2079;3102;2412
2951;1091;190;1261
2952;368;3221;1810
2953;417;735;1551
2954;10989;3379;355
2955;1090;1119;699
2956;1303;1433;1795
2957;5590;2665;3991
2958;1216;2699;1011
2959;145;3212;1797
2960;767;3141;9189
2961;2276;925;1272
2962;637;3171;247
2963;1636;1260;865
2964;179;4116;2196
2965;264;1236;2680
2966;103;202;299
2967;763;8123;501
2968;535;367;1389
2969;143;625;1522
2970;2860;1567;776
2971;608;60;526
2972;812;92;3780
2973;1325;3112;887
2974;940;3988;310
2975;2221;1487;271
2976;2861;6700;2871
2977;1656;8651;9161
2978;2428;546;630
2979;759;997;2181
2980;695;965;139
2981;3947;2621;229
2982;2890;1349;14364
2983;2339;5014;8279
2984;2781;3728;257
2985;1488;3368;236
2986;426;3038;975
2987;1486;657;106
2988;670;16729;5490
2989;309;273;1477
2990;765;3382;873
2991;4619;3583;164
2992;995;1612;5653
2993;1442;417;855
2994;1063;465;5730
2995;322;3501;3148
2996;2059;1902;2295
2997;529;6070;2473
2998;135;5330;1999
2999;1376;2701;1221
3000;500;575;862
3001;6545;633;734
3002;1744;809;1346
3003;166;6484;3856
3004;1409;927;1003
3005;345;3327;1489
3006;220;1647;262
3007;201;475;1687
3008;155;2833;209
3009;725;3207;3288
3010;1128;3986;177
3011;1127;1481;2329
3012;752;5209;711
3013;2630;297;684
3014;617;816;1513
3015;758;1215;641
3016;2781;1212;1067
3017;344;3620;250
3018;2238;11192;12178
3019;4860;5186;1103
3020;828;299;1337
3021;2121;2312;702
3022;1566;2119;3993
3023;818;3939;1630
3024;561;1806;1911
3025;1023;385;1635
3026;7511;1532;1949
3027;1476;2075;1849
3028;892;747;1087
3029;1585;508;1258
3030;8826;5150;6726
3031;937;3701;1290
3032;1262;553;1098
3033;1318;4209;3847
3034;1554;112;189
3035;2610;883;3010
3036;652;1579;682
3037;1428;5124;1605
3038;1949;5439;3259
3039;719;743;172
3040;2548;1049;1573
3041;1597;1961;7911
3042;4364;9665;145
3043;741;983;181
3044;4306;2476;5177
3045;2709;15069;923
3046;11311;2031;10869
3047;796;1498;665
3048;3571;1015;5643
3049;469;14067;4466
3050;5640;985;3108
3051;9845;376;884
3052;3006;152;1793
3053;946;522;712
3054;2656;1639;475
3055;2201;1919;1444
3056;1971;390;479
3057;2688;3783;202
3058;471;3769;376
3059;5334;4181;892
3060;673;5243;3134
3061;284;2973;5054
3062;447;5499;1447
3063;303;2143;976
3064;4819;983;2264
3065;4048;3999;3290
3066;2758;2889;1107
3067;1478;1002;188
3068;7075;1605;14231
3069;5451;2394;4223
3070;1335;1078;2805
3071;6264;977;900
3072;1049;243;2022
3073;3112;4186;1911
3074;1326;2429;201
3075;1129;2547;1773
3076;1218;7050;1222
3077;1713;1882;326
3078;1683;3821;5676
3079;654;1380;490
3080;356;6197;1279
3081;3259;5362;107
3082;3579;3712;1430
3083;1359;2289;917
3084;565;1364;1183
3085;4296;584;254
3086;127;1221;3637
3087;690;765;135
3088;299;1859;267
3089;1102;492;984
3090;657;9501;2571
3091;225;2802;229
3092;1755;1482;496
3093;1911;25764;1040
3094;2310;1398;3431
3095;3241;431;432
3096;3057;700;4237
3097;10692;6801;1039
3098;265;2187;2138
3099;3919;593;1472
3100;657;1224;295
3101;73;3450;3167
3102;126;578;1035
3103;4576;1615;7307
3104;659;565;2332
3105;1096;975;345
3106;1727;5442;562
3107;728;1103;682
3108;1551;3059;2873
3109;300;4592;449
3110;1103;4366;3216
3111;256;4019;223
3112;15511;6145;3289
3113;8028;102;1083
3114;1055;9186;1278
3115;1600;5460;2428
3116;1437;100;1244
3117;1090;2138;71
3118;6154;8283;273
3119;623;3879;952
3120;6421;7687;1873
3121;1058;5859;572
3122;11276;2543;952
3123;6337;7059;1994
3124;791;568;2985
3125;338;958;94
3126;1952;1468;2196
3127;2906;3341;69
3128;1833;822;1018
3129;140;4816;859
3130;3302;1598;1444
3131;1846;6335;1875
3132;1190;3191;4137
3133;1333;4287;2202
3134;1816;425;190
3135;110;467;6748
3136;3310;10600;4517
3137;1275;2478;1399
3138;124;819;253
3139;799;8327;3518
3140;854;330;1381
3141;394;2073;5565
3142;2559;1433;1044
3143;758;1912;87
3144;4193;1223;239
3145;2120;714;1362
3146;237;5720;425
3147;447;1080;4623
3148;1496;5152;308
3149;1293;795;1886
3150;1224;4066;1459
3151;554;7592;808
3152;2451;2647;2279
3153;538;4471;1597
3154;3390;6305;5119
3155;2463;3946;262
3156;3110;931;4779
3157;1070;405;517
3158;445;3268;963
3159;2297;2406;705
3160;2673;17498;3790
3161;165;2520;40
3162;8160;3550;2823
3163;704;258;348
3164;1284;909;1191
3165;756;3141;3375
3166;436;566;2128
3167;2742;1504;2614
3168;2036;3406;329
3169;449;660;1574
3170;7337;6762;5584
3171;1580;5193;470
3172;253;749;1584
3173;367;160;115
3174;4028;4452;1421
3175;2258;770;2527
3176;7886;1843;65
3177;5459;1441;671
3178;27;1582;718
3179;11973;56;1230
3180;1174;984;4536
3181;1474;1115;253
3182;863;586;573
3183;1303;5179;12576
3184;1742;764;1370
3185;2566;1051;3563
3186;509;2561;1457
3187;1430;264;3473
3188;1015;6211;721
3189;5181;7842;3321
3190;4753;2309;1654
3191;1497;3520;462
3192;220;557;1483
3193;539;1944;427
3194;8606;136;6713
3195;5050;3243;2053
3196;6080;1039;6710
3197;269;612;418
3198;672;4399;9049
3199;2580;6245;481
3200;945;109;164
3201;3125;1139;812
3202;180;3195;7539
3203;1805;2564;767
3204;2139;344;703
3205;346;714;42
3206;2143;486;104
3207;589;109;664
3208;1994;2208;1897
3209;573;1077;1422
3210;653;1005;1880
3211;601;791;316
3212;1173;433;3434
3213;4309;10325;7201
3214;1123;952;2154
3215;3109;763;2672
3216;1886;1510;4629
3217;300;4902;973
3218;844;10043;1529
3219;704;1812;766
3220;2124;1215;344
3221;449;2610;2208
3222;779;2861;2435
3223;4125;10183;4681
3224;353;7156;34
3225;2133;3553;3648
3226;582;736;977
3227;921;5528;471
3228;674;1608;13580
3229;967;7234;3976
3230;741;3188;494
3231;1839;1237;1152
3232;2033;3970;920
3233;2800;8818;1731
3234;2548;857;1968
3235;353;1186;909
3236;536;12717;5366
3237;1910;1635;278
3238;281;1286;1549
3239;4083;5063;3522
3240;631;225;941
3241;470;839;1069
3242;2298;941;351
3243;874;4828;300
3244;3710;1995;725
3245;3789;1542;813
3246;1593;11456;31161
3247;4726;3526;526
3248;599;195;283
3249;267;5452;1571
3250;2753;1812;1982
3251;157;3464;4368
3252;69;4159;5979
3253;295;2386;1976
3254;220;1241;180
3255;4866;3615;1975
3256;771;1572;1610
3257;1140;1170;5068
3258;2038;517;134
3259;2736;64;3346
3260;733;924;1479
3261;2549;13113;3437
3262;1037;279;1564
3263;1168;1145;2309
3264;997;630;293
3265;692;6858;388
3266;1711;1606;10887
3267;114;4629;5719
3268;2619;929;490
3269;5861;815;2431
3270;3301;10125;6009
3271;3362;1136;694
3272;200;191;2936
3273;956;850;308
3274;1639;2124;5288
3275;154;1030;1341
3276;643;1168;792
3277;1056;330;458
3278;1355;2877;945
3279;1488;3782;797
3280;2787;7727;2432
3281;1814;1448;3164
3282;941;3284;254
3283;860;2960;1887
3284;725;1526;918
3285;10545;6657;4638
3286;1273;711;306
3287;247;6504;1019
3288;149;2325;450
3289;1629;3202;674
3290;69;3254;3131
3291;6060;1474;8435
3292;2721;3565;8547
3293;230;14289;1445
3294;1319;1989;2997
3295;701;2841;183
3296;3158;174;1522
3297;1586;319;3079
3298;2662;2049;4554
3299;2232;1970;2243
3300;487;1235;1490
3301;2301;4597;10020
3302;455;95;415
3303;2025;285;776
3304;2083;2739;1538
3305;314;1068;1004
3306;2401;1014;3984
3307;1536;222;2143
3308;556;4218;645
3309;12311;792;2456
3310;7806;5775;360
3311;4506;3495;390
3312;4987;1097;1924
3313;220;601;555
3314;13985;185;841
3315;1902;2682;701
3316;1833;1814;2612
3317;11708;10035;136
3318;616;1151;113
3319;1731;645;166
3320;5084;6350;4689
3321;5498;3059;7353
3322;527;1104;1515
3323;2798;139;1480
3324;2286;1470;11753
3325;4835;22547;7113
3326;550;8770;2368
3327;2177;950;2395
3328;4050;3552;3726
3329;141;167;4715
3330;229;3824;1464
3331;3638;458;197
3332;1103;1576;1284
3333;1900;639;360
3334;1627;229;1912
3335;2109;3169;748
3336;4799;628;2461
3337;6744;9194;7971
3338;461;1125;796
3339;1033;1100;696
3340;1691;4591;2787
3341;1069;16323;1301
3342;2505;2176;4498
3343;2954;1881;1923
3344;525;964;786
3345;92;244;782
3346;2096;2112;1220
3347;525;123;5742
3348;376;1694;355
3349;4410;4870;961
3350;1353;740;12487
3351;1256;9651;1368
3352;4036;10845;2176
3353;1465;4900;1731
3354;5119;150;704
3355;1282;1617;1579
3356;1565;2175;11009
3357;174;3269;280
3358;310;5195;5147
3359;1302;1343;3763
3360;907;228;3329
3361;2865;1145;382
3362;884;4203;981
3363;3106;510;5603
3364;1721;76;997
3365;320;4051;271
3366;821;7483;8999
3367;246;4589;1329
3368;422;1214;450
3369;1261;2878;546
3370;1201;1306;879
3371;2529;2100;1615
3372;323;3850;1074
3373;3889;6071;265
3374;1122;1875;2313
3375;1353;904;46
3376;2274;1157;419
3377;4189;5072;804
3378;285;278;2835
3379;1707;821;3877
3380;2597;226;296
3381;2007;860;3513
3382;3026;916;2387
3383;9452;1132;1819
3384;211;1710;1525
3385;348;4275;1214
3386;140;2552;5344
3387;4376;5601;1193
3388;462;645;942
3389;554;6837;3601
3390;5548;48;88
3391;431;4217;5676
3392;1431;2209;137
3393;3287;3410;726
3394;390;5386;7220
3395;418;360;3250
3396;616;2559;265
3397;7365;6459;2576
3398;3899;1322;621
3399;6361;3177;1649
3400;1212;6010;843
3401;2916;2592;3704
3402;3996;8489;273
3403;887;2792;990
3404;1285;547;589
3405;972;1443;124
3406;5704;6156;2099
3407;1962;3148;228
3408;205;2254;181
3409;5290;311;1308
3410;30;3425;4365
3411;741;4546;757
3412;680;908;1385
3413;4366;4744;6035
3414;1201;1789;4183
3415;4132;9225;2323
3416;259;5959;3154
3417;1279;2070;594
3418;1438;8372;564
3419;245;619;332
3420;553;3674;198
3421;2721;2302;1680
3422;1748;2749;3698
3423;636;2887;4352
3424;395;1534;1707
3425;672;1062;1190
3426;813;652;1085
3427;2205;4764;1390
3428;3254;3775;1152
3429;2188;1558;4449
3430;14498;2342;6571
3431;1569;771;561
3432;3059;482;1407
3433;366;5988;2712
3434;489;4450;552
3435;8813;1225;356
3436;5258;11358;10580
3437;4090;98;425
3438;570;3658;5083
3439;2114;1514;185
3440;971;899;2788
3441;10009;8940;2170
3442;795;2717;1590
3443;341;2206;1027
3444;2109;1616;1271
3445;2873;4708;321
3446;1336;2190;3776
3447;1369;10058;1581
3448;476;4993;1043
3449;1489;1667;755
3450;4527;1252;370
3451;1248;280;1336
3452;50;428;414
3453;1046;4485;895
3454;5427;1586;261
3455;3303;6267;2109
3456;3408;1439;1019
3457;2286;1260;709
3458;441;1246;632
3459;591;2933;2479
3460;3258;2619;314
3461;1949;5881;1252
3462;207;2365;852
3463;203;369;332
3464;3869;7550;226
3465;561;996;559
3466;2192;3457;9196
3467;63;4245;2049
3468;1478;1843;202
3469;1546;872;594
3470;30;1288;596
3471;261;1600;224
3472;273;826;2331
3473;3386;5226;89
3474;7080;4448;1977
3475;991;54;740
3476;2299;3519;1023
3477;279;702;711
3478;2332;2469;97
3479;636;4047;12450
3480;334;3310;555
3481;2314;4172;2410
3482;2280;8658;4354
3483;209;8706;228
3484;6875;2821;521
3485;11939;1202;1891
3486;1161;686;193
3487;10215;456;3739
3488;9973;1983;5044
3489;108;928;2164
3490;1914;10995;16464
3491;2140;824;201
3492;4022;922;2962
3493;478;1995;883
3494;820;1959;1082
3495;3604;5244;7296
3496;160;1078;6289
3497;758;3397;735
3498;1307;2565;830
3499;437;867;759
3500;2121;730;352
3501;1643;117;203
3502;285;1853;1590
3503;4930;3852;16440
3504;87;428;1031
3505;2789;2809;2423
3506;1552;6144;3177
3507;439;995;2879
3508;1598;5192;934
3509;2467;1049;4035
3510;3561;6219;70
3511;5146;520;161
3512;4387;952;1298
3513;1890;1304;756
3514;781;11217;4827
3515;110;2925;431
3516;3014;468;1291
3517;5200;12099;213
3518;431;1601;3232
3519;8476;1322;4138
3520;2128;8603;210
3521;119;6310;2017
3522;3199;7989;190
3523;3521;3150;516
3524;6547;2137;1907
3525;12855;1020;2064
3526;1904;1049;7200
3527;483;3183;230
3528;7542;3617;3790
3529;868;1110;246
3530;1663;5541;3176
3531;108;4693;561
3532;271;2292;1277
3533;678;3236;4546
3534;6204;1686;495
3535;1244;145;4992
3536;3132;99;1154
3537;4489;2731;1194
3538;2058;839;805
3539;117;974;405
3540;3202;918;1451
3541;3032;2566;3369
3542;1293;904;945
3543;834;2533;525
3544;283;462;3186
3545;71;629;962
3546;1892;1263;9004
3547;759;1954;3441
3548;1118;3889;389
3549;263;1940;5198
3550;1621;236;1318
3551;1454;1944;1784
3552;3725;2316;6303
3553;642;694;1973
3554;6105;1534;2344
3555;497;332;941
3556;5603;43;292
3557;2251;3443;5128
3558;3378;1663;5961
3559;239;1576;5489
3560;33;5761;1142
3561;404;1403;610
3562;798;4447;2591
3563;866;1055;1578
3564;3484;4777;5399
3565;137;5141;338
3566;21827;12609;3493
3567;3513;145;1641
3568;7552;4831;1155
3569;362;1725;1313
3570;466;3056;829
3571;369;2789;7845
3572;553;818;316
3573;456;1151;1380
3574;2213;3959;461
3575;98;2403;2362
3576;634;1380;2708
3577;1828;1674;240
3578;386;7878;1256
3579;4726;7773;1001
3580;2862;551;1208
3581;276;185;378
3582;7644;7362;7726
3583;451;4796;1493
3584;522;3504;414
3585;1243;4074;1151
3586;11053;3412;6231
3587;1898;9915;6798
3588;1703;1634;224
3589;883;403;2029
3590;11112;16747;8521
3591;1138;330;240
3592;1014;929;224
3593;4962;1819;2079
3594;1051;2823;1016
3595;1990;1252;161
3596;986;2570;1493
3597;185;4327;355
3598;6586;5275;455
3599;2503;312;945
3600;3303;3160;4336
3601;1527;1191;932
3602;254;6698;355
3603;505;1906;6098
3604;379;2215;1462
3605;4324;545;642
3606;3523;1093;783
3607;953;922;1133
3608;4533;5909;6612
3609;189;919;5312
3610;1811;567;1471
3611;613;868;831
3612;2748;10590;3358
3613;84;3166;998
3614;2213;11145;1178
3615;1041;7759;11073
3616;2338;1371;294
3617;637;3491;1520
3618;1029;348;1019
3619;940;1004;423
3620;850;465;631
3621;815;2748;1725
3622;2228;1381;618
3623;437;2717;345
3624;993;6174;442
3625;8555;2721;196
3626;253;3678;764
3627;774;3480;1135
3628;793;2052;4428
3629;2094;1975;373
3630;4103;802;2637
3631;1865;3474;1558
3632;571;4706;3199
3633;1797;6179;1684
3634;1807;505;1862
3635;2668;126;303
3636;1059;10498;195
3637;1517;7180;2272
3638;238;4541;818
3639;6674;4635;212
3640;336;7444;5932
3641;950;2957;3154
3642;6917;477;5767
3643;4142;10306;5450
3644;950;1750;1390
3645;989;737;43
3646;890;4489;712
3647;1950;1429;1199
3648;2563;4033;313
3649;3726;15406;3326
3650;1589;1988;799
3651;1276;4502;730
3652;11799;394;156
3653;7643;6926;19055
3654;235;1804;1205
3655;621;11935;497
3656;3278;3227;4862
3657;3020;838;674
3658;512;2614;820
3659;695;119;8175
3660;2453;3285;2447
3661;10967;4779;4338
3662;332;6369;1907
3663;4025;6554;747
3664;662;690;1487
3665;1292;1519;902
3666;1993;1002;3601
3667;2489;5055;714
3668;5807;8045;1947
3669;6272;2481;830
3670;306;3647;208
3671;1055;567;1087
3672;11623;6336;147
3673;3890;4442;2073
3674;2953;781;313
3675;5201;7250;4485
3676;1069;7772;3894
3677;2691;3340;8707
3678;802;4965;3473
3679;827;1309;2437
3680;756;2561;1065
3681;1135;3262;1296
3682;299;5458;241
3683;2052;1293;6416
3684;1455;994;230
3685;2756;1780;257
3686;665;5702;541
3687;3596;531;513
3688;278;2042;1175
3689;232;3412;1242
3690;628;1772;2558
3691;1259;10944;618
3692;2447;622;267
3693;537;475;501
3694;3686;12584;6303
3695;10073;811;674
3696;3177;7679;3563
3697;6848;626;2034
3698;1466;3089;5991
3699;1532;611;1396
3700;2384;2052;1289
3701;532;3833;6338
3702;8624;462;3087
3703;11699;26378;1316
3704;1766;2521;2846
3705;7017;527;101
3706;2639;3608;833
3707;3212;2743;2546
3708;2612;354;3543
3709;1632;2680;2461
3710;294;555;2222
3711;1851;3182;15166
3712;627;835;395
3713;4037;1940;254
3714;197;601;2291
3715;5942;16286;5866
3716;537;684;1250
3717;2448;3502;3768
3718;5539;2352;3001
3719;5792;625;1911
3720;1975;1103;493
3721;283;1506;444
3722;851;1226;1429
3723;2657;1811;7200
3724;763;3338;5354
3725;6698;5017;6541
3726;3271;557;3279
3727;536;10905;482
3728;6136;221;1108
3729;977;873;548
3730;1096;124;956
3731;1654;4951;120
3732;2762;478;1837
3733;3554;744;441
3734;201;6034;908
3735;1067;6798;16540
3736;5243;1700;2307
3737;4243;454;5950
3738;1357;228;3217
3739;222;5674;4126
3740;1134;224;5827
3741;1768;1086;358
3742;759;604;1069
3743;1672;3233;271
3744;1286;3487;292
3745;1891;404;1779
3746;500;1098;2233
3747;855;2916;275
3748;285;4399;1402
3749;260;2064;5320
3750;396;1467;327
3751;6016;72;470
3752;688;2075;1240
3753;2692;4765;571
3754;3282;186;4560
3755;238;318;1290
3756;763;611;8604
3757;2779;7507;6058
3758;902;1104;238
3759;2193;6798;782
3760;2227;1148;1395
3761;7123;3708;1798
3762;1861;322;980
3763;276;3852;44
3764;2819;5059;1735
3765;1041;3917;504
3766;355;2161;2209
3767;398;351;1498
3768;1824;1539;606
3769;921;1375;2376
3770;6718;9049;1413
3771;907;322;2218
3772;463;1694;204
3773;3688;1643;4272
3774;5083;589;1351
3775;2412;1814;1107
3776;1100;1345;680
3777;2254;299;2247
3778;3746;943;1124
3779;3236;1596;3071
3780;951;711;315
3781;3770;842;2259
3782;508;3575;6521
3783;1807;1237;573
3784;473;538;1701
3785;1821;2552;623
3786;754;593;535
3787;478;1007;2575
3788;1381;2791;4253
3789;1721;3738;1647
3790;1359;600;1162
3791;2440;1903;385
3792;302;6172;2058
3793;2222;334;1325
3794;439;10759;8628
3795;355;767;452
3796;1199;666;2003
3797;1916;1951;131
3798;674;2885;1263
3799;4147;4952;755
3800;2504;3146;1180
3801;1361;477;1504
3802;1412;606;6911
3803;4598;3195;2769
