;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
127;2705;313;3019;5881;1446;1752;7784;30932
128;1319;1434;5532;3142;2082;6917;17567;22614
129;78;1350;3164;735;1827;9019;2215;37101
130;5011;1288;1459;932;5766;6034;97547;18038
131;554;9320;13333;318;30294;12717;3132;40803
132;224;409;382;169;3337;3095;15926;29097
133;3218;880;8869;1824;4911;31621;18558;31425
134;1019;27294;7362;1829;14709;3165;5103;18214
135;5400;8018;4765;1582;1274;5184;10968;42141
136;1840;5174;984;4223;4606;873;14537;10582
137;5490;1112;2797;1588;4791;11344;772;8067
138;946;2450;1810;1976;95;1024;319;18899
139;3537;3623;4430;464;11226;2823;14442;38076
140;209;2321;1111;473;8560;14377;10428;98543
141;6096;870;1243;5799;4367;5931;13943;3768
142;564;2409;7154;3174;12603;9212;12733;1847
143;6778;3918;717;2042;6678;331;7728;28551
144;1600;174;673;698;3402;1018;96;3766
145;260;2904;618;752;324;12901;12010;18823
146;655;213;2560;778;5714;3587;7078;2220
147;5087;3143;556;4786;5635;3322;25335;24550
148;3666;389;3363;9913;6848;13590;2643;15003
149;851;1647;93;3782;170;12420;5529;35049
150;942;2346;2364;4703;5382;6448;4214;8577
151;9184;3020;5898;10075;12476;104;2921;131005
152;2470;1123;13454;7788;4752;19154;63629;147810
153;4023;781;7570;15678;4926;990;2851;61684
154;922;1599;7171;887;2083;1974;10120;2078
155;7700;2261;17667;3837;5214;10373;14353;46328
156;1691;627;753;1438;1868;4309;9488;26665
157;1447;2702;2279;1008;4996;2572;335;2621
158;7982;1381;1507;14595;1991;27324;3393;118986
159;2695;1315;1728;1415;3291;1654;12044;24562
160;1337;2103;226;18154;5897;1934;55008;40381
161;3922;2291;4039;2208;2114;835;12768;60860
162;1674;1926;685;7846;2686;2630;2782;38008
163;2667;177;2753;6170;1511;1724;36364;53645
164;487;847;1848;1573;4281;7465;20022;1505
165;2770;7383;4971;187;1688;9908;34813;100807
166;1489;2813;6365;472;13639;22524;55221;455
167;389;4762;948;136;3073;15134;18320;14357
168;4950;1159;11490;9253;30063;424;7261;16605
169;283;2030;5632;3434;7589;4072;16430;9957
170;1996;2418;1191;4591;7999;8325;38503;15563
171;1330;221;5254;2177;9938;11244;1093;38326
172;815;1192;4627;281;4105;29572;5463;58272
173;985;1050;2666;3621;1361;1143;9673;39678
174;2189;200;14491;15703;10991;953;94193;38460
175;4943;3974;3467;1592;283;12842;266;49251
176;770;401;7220;5305;1569;4981;7061;6299
177;1740;5171;17838;3257;16698;3754;14267;41368
178;347;1589;2220;2954;2597;527;12081;15991
179;769;2322;5057;547;3499;6860;17965;56198
180;3096;974;1229;6463;1361;8994;3620;803
181;5413;1542;937;952;10946;2868;228;12875
182;1090;4050;4091;3424;3073;9596;10272;81056
183;1788;1080;1748;1413;5485;201;1331;3450
184;283;2165;5518;1420;200;483;12850;49850
185;8447;14631;3180;2078;7768;28121;8033;24134
186;185;2738;2889;4133;15488;2689;1420;49560
187;1783;12096;4767;10889;6216;495;421;4795
188;1888;46;3338;5045;2941;4751;11698;33741
189;19527;1523;366;1259;11884;4605;14975;45924
190;1078;5556;6008;2719;674;350;7755;18622
191;8503;2789;1767;7559;3870;15032;33475;10611
192;738;5497;1593;1448;2334;1345;26735;3242
193;7265;1003;3363;2640;7828;6139;20904;2137
194;3746;4589;1118;974;275;3181;6893;365
195;658;933;5459;2498;3033;1083;34642;106457
196;5414;18797;351;1865;925;6263;23030;23531
197;462;261;1477;1657;7281;916;19031;33903
198;383;411;2478;3753;2816;2957;11836;22755
199;7745;5166;2146;17929;9851;3285;18982;25383
200;1026;704;10821;13648;900;1475;9211;875
201;3281;13373;8482;4269;1035;7656;31186;54303
202;1188;499;2832;846;995;4011;4010;1676
203;2429;1172;605;684;3124;16029;1953;5005
204;4039;2051;1860;4867;5668;1325;1730;39009
205;4009;3343;1099;1546;599;3255;5097;641
206;458;1222;1130;3838;11569;14130;7733;30550
207;1588;1026;4827;1089;3039;4071;604;6828
208;344;638;961;2374;686;826;6459;18222
209;1759;216;4979;2020;4333;8615;11470;3679
210;1699;1071;1226;5741;8222;4011;20521;33703
211;228;1109;2558;1923;7225;56525;29467;19134
212;7850;72;1806;2722;256;3908;7390;12652
213;6912;683;5680;2196;740;7660;2066;27259
214;1752;691;871;1194;3005;830;3385;24436
215;1732;7427;8617;1776;6485;2863;7282;60273
216;4629;1659;3323;2310;15715;1099;42278;3781
217;1321;480;2625;3567;3532;15340;14708;3623
218;4320;2652;7825;2225;6941;4994;113773;15313
219;11486;3823;16993;28837;17846;11467;564;110627
220;1319;3645;1573;2013;7124;1058;14390;2606
221;1228;4583;571;894;3140;10113;38257;8370
222;5879;2887;3056;1539;3275;3064;15325;26395
223;6761;520;1003;814;948;5618;3028;10755
224;17651;6361;2624;2258;7214;26840;31265;10539
225;7968;3377;77;8995;9262;8780;42;1543
226;15065;1730;8549;2578;13522;2688;10452;13125
227;1690;7206;383;3617;7612;8222;50530;66183
228;178;1750;4116;2781;2023;3891;36136;212
229;5713;410;758;2746;750;5176;10294;7629
230;569;10246;3032;6529;2796;12307;8250;45667
231;2695;374;3667;2489;3071;13740;4690;35687
232;961;5170;6139;18002;13822;6189;63318;12949
233;4978;279;11220;7452;672;2764;22743;1200
234;468;4664;7834;1571;9783;1324;327;24799
235;1528;4042;736;939;129;509;49564;9185
236;1688;7922;2151;5982;2194;1169;32204;57822
237;13359;8320;272;4318;1807;7818;20504;26731
238;929;1883;2695;809;3991;2984;9854;48389
239;7400;197;5268;1037;1336;13568;20510;27478
240;203;1877;4810;2353;385;5994;6080;38984
241;211;909;3898;309;230;685;35;36451
242;5929;710;428;2853;290;10110;3323;24923
243;3402;8303;512;5812;1672;4088;6150;6720
244;9545;838;2703;4424;2576;6120;10240;32332
245;1796;1014;497;438;4888;3605;28644;4099
246;1120;4517;1416;2732;4383;4399;656;24874
247;1238;364;1334;2916;12738;2371;49127;47104
248;470;5871;2352;2603;1781;7881;12949;5048
249;393;1057;2790;120;914;9914;2276;16800
250;3327;1423;263;12165;5569;15248;15298;85280
251;810;9946;1990;372;2107;13583;3509;854
252;847;626;562;4759;416;4376;1736;12637
253;3156;3999;6544;4211;4548;2117;2487;3779
254;2884;5879;1355;4390;1041;3110;13272;17037
255;2601;33;4972;2170;513;8735;6363;14739
256;1057;819;333;693;3878;1766;4182;30702
257;6176;295;609;6107;1189;23112;10175;7160
258;2123;6240;1648;687;4702;11753;14321;15182
259;1017;428;180;78;4114;736;3012;24243
260;7172;3774;618;612;3387;18734;23524;37147
261;2344;3206;1462;3913;9003;2721;10413;129979
262;1282;623;1195;3647;1199;7100;10651;61922
263;1972;1265;2283;6015;2618;3512;1819;5772
264;300;3155;993;63;981;18360;12402;6692
265;4426;13111;753;5525;5383;4824;22108;15387
266;985;6590;1148;4458;7474;16288;32128;9375
267;4075;203;1789;1032;9617;549;18153;19576
268;3645;1210;2979;1651;624;13530;11052;64352
269;3231;3140;4607;12684;20099;44379;21617;103307
270;2283;3843;1505;7649;7173;23898;4312;86468
271;2844;210;1171;264;106;27583;40531;31180
272;4312;279;2240;140;6082;16701;2695;4628
273;145;3415;12070;736;510;8836;15689;25233
274;1047;4620;4399;3366;12526;8354;36718;26051
275;550;9397;1769;2435;2286;19078;1808;11712
276;1193;2416;1287;2328;7894;5958;2619;4091
277;22163;4463;14222;654;4490;6641;2759;6104
278;4131;5758;6100;4103;11197;7408;1051;6841
279;8487;804;2381;4413;8673;1003;10799;13454
280;2591;14982;636;6243;6161;5083;12371;2048
281;251;6417;657;277;2082;4254;1567;2619
282;2565;299;617;6397;7506;35954;4484;86819
283;4065;2866;5227;4537;5053;3095;3508;24589
284;6670;9042;500;94;3561;9333;14276;33279
285;2198;3858;2530;1460;2301;189;29440;2885
286;8478;686;1522;1006;5932;4460;54231;16205
287;108;436;2380;3671;2590;26378;20904;21240
288;346;2220;6088;2575;21060;36580;110971;28840
289;998;4149;6297;937;8869;2022;5922;42357
290;763;6556;5406;450;317;3797;4024;56162
291;6283;1157;571;742;4081;7641;631;3835
292;15395;555;4315;6323;2504;889;26780;36695
293;1845;2708;19567;1225;2789;2856;3306;66460
294;938;17217;2985;8047;4169;1850;60656;30870
295;1600;3000;4848;4538;768;9574;14844;43761
296;1947;3143;7864;3000;6526;4653;2875;16388
297;2778;1421;2032;10236;6516;605;5679;13539
298;772;2065;7858;297;823;6768;38053;22091
299;5905;1665;2350;5348;536;15200;22288;6810
300;3839;861;309;7274;185;233;38721;105290
301;8542;343;2361;2636;3091;1906;1119;4297
302;5737;13820;3311;1805;3007;7074;3559;868
303;1564;405;2892;5338;15270;9124;1673;3365
304;1801;7869;3266;21155;2454;23235;3878;6238
305;56;540;4559;4114;20790;5065;2787;81753
306;5674;1542;647;507;1148;4303;1520;8682
307;1113;4012;1698;3155;332;7218;3653;5926
308;1865;37;2292;217;2587;1606;13869;37639
309;2135;1612;229;1681;3236;10412;19352;13112
310;2335;1665;377;2072;12784;9556;4588;67010
311;6519;2174;5376;6354;737;3883;11619;3762
312;3991;2846;10385;11;1647;20924;41867;49837
313;1693;757;1535;883;1527;799;9681;2150
314;805;1915;292;517;1475;7315;27425;5527
315;2051;4124;1088;3003;2532;15770;12263;5880
316;632;618;2064;1719;15688;30384;94935;71461
317;2593;206;4824;445;4504;1680;25454;5217
318;2421;1115;1084;4111;4929;4754;55159;175798
319;2989;10;801;4321;3652;16212;6379;34114
320;489;113;2065;318;1689;9742;7499;2292
