;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
150;2474;308;72;780;262;341;691
151;3145;4315;5742;8180;1579;18630;16032
152;661;241;6586;5533;372;3151;397
153;2533;219;554;5104;421;2578;674
154;1530;2629;4249;686;11159;496;3016
155;12054;970;10367;3180;17208;9808;797
156;2122;3911;2154;9113;1937;3525;5240
157;297;2956;74;1070;1321;457;11336
158;947;895;3406;50;2700;967;3242
159;5207;471;4098;10474;6814;1978;481
160;828;4483;652;4571;2631;569;919
161;310;541;8614;331;2761;574;213
162;5699;791;3628;22851;3587;2986;21611
163;187;2876;1007;13163;1528;10646;402
164;838;616;1449;8968;1589;670;3999
165;1365;3271;2507;4080;1144;3860;3087
166;64;906;2413;79;503;415;408
167;3333;3209;2223;5263;470;1198;1446
168;300;6181;12075;6811;998;7286;1178
169;2195;5162;1716;11162;1512;2929;1336
170;1684;6425;5873;3699;3099;4056;537
171;285;1964;1108;973;3864;2728;6205
172;2027;182;1536;881;16600;2542;1064
173;11937;1316;2115;2970;6166;21208;3916
174;7592;2998;12669;2452;3176;62;6020
175;1118;493;3430;205;393;237;3203
176;2041;809;2456;888;931;791;831
177;521;3079;2720;372;891;2824;2057
178;565;350;1727;2232;1620;1032;5277
179;4523;7690;16534;20900;6489;277;4236
180;1036;4856;1633;2415;618;88;448
181;3828;13416;9691;7257;2451;3686;10813
182;1710;424;1467;5230;1173;385;3926
183;1865;2379;14422;4347;1687;2436;3801
184;1092;3027;2761;259;528;357;4068
185;432;1757;1312;6894;5611;2804;1568
186;384;6709;15318;7576;2742;3278;2527
187;886;11897;8937;1281;2625;12822;176
188;2222;1042;1091;21;171;1032;223
189;3429;5154;1856;330;3539;2401;618
190;133;164;2802;19662;1969;3320;776
191;284;1601;5510;173;1187;1981;847
192;169;20814;1674;2314;364;2233;2162
193;560;811;938;1914;247;3842;2069
194;123;3963;1110;815;430;3938;782
195;957;2221;5474;629;133;1403;5140
196;193;3119;548;25461;918;2476;1484
197;942;7642;2142;3045;114;1793;245
198;3227;1969;371;2377;886;2583;3957
199;1625;302;238;2019;2806;703;1303
200;4992;98;628;5722;279;774;805
201;917;1918;3816;4993;1123;7346;1733
202;949;5021;5192;1667;125;5100;5550
203;1019;8048;810;460;1784;567;3248
204;1162;3542;1626;12855;251;1157;698
205;5687;7139;8405;361;2371;371;377
206;646;3427;1311;5885;1052;869;3483
207;493;3871;374;1066;980;697;1893
208;3487;5220;567;5808;1336;3662;316
209;225;3664;379;7175;212;2067;901
210;4765;7305;1967;9387;1919;922;1513
211;1877;1376;1363;12520;3124;2512;924
