;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
369;fail;fail;fail;35660;17105;fail;fail;fail;fail;820;fail;811;fail;441;8068;5215;fail;807;fail;20636;100;16312;1488;32164;1429;4652;127;6371;3262;35;1263;6622;540;2746;3131;6595;4338;10623;9424;2789;280;166;701;989;5288;432;1865;555
370;fail;fail;fail;1525;19564;72216;fail;fail;10788;4517;511;1453;fail;181;16266;2221;15347;12355;fail;312;15326;6319;15321;1863;820;508;397;1455;1272;1673;1831;6830;1857;6898;172;669;103;200;126;1388;684;92;1763;1419;1033;5946;1291;226
371;fail;fail;6675;15781;89692;113;fail;244;31590;4444;2541;3734;fail;2259;11234;2062;2752;6246;603;165;2026;3044;263;5200;123;464;1349;102;2434;1651;533;427;3355;430;1512;7431;5452;840;6691;7538;10369;3189;646;10188;5251;5065;1377;1122
372;fail;455;fail;22742;12423;512;fail;73;199;161;893;3493;fail;2238;8992;2325;4358;11499;fail;7586;12742;356;569;2056;670;540;986;885;2202;108;150;4152;428;2852;1871;219;1821;4355;9182;3510;7280;4819;2878;684;4490;3713;2628;1483
373;fail;293;8481;489;14630;35073;fail;fail;70110;6406;678;24301;fail;3502;7365;4564;33817;20754;292;1009;458;1259;260;1044;fail;825;31140;4030;236;3190;1593;2555;2132;2020;1811;594;2216;1249;1885;3617;2476;648;3509;564;1749;5554;1058;773
374;fail;fail;7838;16907;18973;21653;fail;1247;6703;574;3372;2305;45;7071;5121;4546;36170;1807;663;351;2329;55;3254;621;fail;2384;13138;2082;1301;2602;817;2418;1858;1058;2119;6332;969;1057;1942;11413;453;1726;432;3929;1360;1483;364;1861
375;fail;fail;11844;2199;fail;fail;fail;276;fail;22995;60243;18818;fail;5117;1665;8182;322;4384;533;745;238;14;6524;1109;51;1179;3258;895;2479;10258;4592;3935;8469;527;2772;774;136;5669;781;17;593;2258;920;625;3713;6785;665;1312
376;fail;fail;38440;63514;72956;18937;fail;fail;38898;33;17351;42155;239;fail;13455;745;1584;128;fail;21;15272;10315;5908;5641;fail;1972;1797;7664;34745;1478;2387;108;625;3732;1348;1625;407;3722;5361;7604;3937;5788;3136;18592;4339;13686;1976;2241
377;fail;fail;47080;2139;13748;5988;fail;1203;87863;5469;39992;1781;fail;6419;4243;11645;1453;112;153;129;9428;227;1272;1854;fail;2304;1203;359;1719;1266;1064;4792;785;1738;3716;7962;956;1858;3373;3810;339;1242;153;835;19802;8957;2322;2291
378;fail;fail;fail;396;730;fail;fail;1030;1482;185;2851;4178;fail;4738;5752;5430;7572;863;fail;155;19435;1719;4214;2812;299;2565;598;8279;888;55;966;468;16908;997;6823;12363;87;682;119;1479;2830;855;225;857;1822;3704;463;356
379;fail;fail;fail;149;67958;66590;fail;486;59522;317;56777;21624;fail;1289;1635;2187;309;2125;fail;9904;24536;951;25430;7783;569;1048;113;430;396;3044;861;656;1872;890;4190;285;7771;247;10376;823;1284;6493;506;574;2078;45;666;3754
380;fail;fail;fail;12873;fail;39974;fail;fail;6789;486;42721;16757;fail;1734;6237;280;55;10242;444;559;479;2252;807;18281;fail;747;553;17784;4374;5063;2917;3860;212;2947;4243;1517;960;1278;902;208;4570;5717;1978;1520;371;673;621;1516
381;fail;56;53187;992;30985;6051;fail;3528;7990;60;28831;3540;fail;fail;fail;7378;317;257;253;11389;16605;865;2649;650;3879;517;2973;1918;795;462;74;937;741;745;453;1307;662;221;1553;1068;444;3744;604;129;8238;1123;766;2073
382;fail;fail;fail;598;14148;6410;133;fail;26315;7773;443;50055;fail;24466;fail;4758;2969;1873;fail;4750;46881;4859;2827;5230;1441;2635;7453;3467;700;89;3559;677;1646;674;2186;401;636;1604;2204;9083;462;1415;430;1375;1515;285;758;1193
383;fail;fail;fail;fail;fail;1317;fail;1806;4751;890;1585;3966;100;5293;7052;965;6733;1922;553;3621;12193;1437;180;4287;1535;438;46154;5476;718;244;4588;274;4515;4809;6126;2834;1385;1458;1259;120;1528;4610;834;5890;1967;2129;546;2564
384;fail;fail;28345;7231;226;2378;fail;fail;4197;1658;79646;57545;fail;fail;582;1175;fail;10103;56;1571;960;9114;104;21;1222;689;652;223;2064;751;1111;403;3544;2108;4697;2340;316;5113;564;3233;102;1567;736;178;1226;2319;1568;1177
385;fail;fail;fail;54437;1593;9116;fail;2809;17570;2033;25934;75577;fail;453;29864;2243;171;1263;274;2808;784;3878;64;902;798;3077;3011;382;786;5944;87;242;2714;8596;1491;1939;172;3985;468;6299;561;558;1790;8463;2548;1232;8308;3131
386;fail;fail;fail;1101;80823;31833;fail;fail;10495;130;28467;4168;fail;14733;244;19585;184;2818;1010;1462;304;79;1458;1587;fail;5161;16700;33405;3736;6140;115;871;126;1275;802;636;604;243;689;693;130;1206;1450;3765;2362;1691;3004;465
387;fail;fail;fail;45183;75679;5329;fail;fail;53248;1008;96;55356;fail;830;5041;30;2918;495;399;274;14731;7010;3199;10008;fail;16005;48555;5155;2394;796;309;217;3872;1006;517;4216;1287;279;2280;418;864;172;3837;519;3258;1556;1165;3128
388;fail;fail;fail;996;1540;12891;fail;fail;12310;804;9577;99;fail;15351;9850;3283;36122;7984;fail;604;322;309;47797;14526;fail;17895;334;6482;6759;14515;219;126;533;1073;602;2319;1347;851;1511;216;4679;502;1230;682;1029;1760;4847;552
389;fail;fail;fail;fail;fail;65794;fail;fail;13661;6145;20408;1242;fail;127;22106;7773;4798;1900;fail;30020;1348;7661;12594;1252;fail;1474;1870;821;4999;2800;fail;415;1141;18863;532;5675;125;1727;2431;452;100;1237;3869;434;1865;14533;2281;1183
390;fail;fail;fail;fail;1978;57;fail;fail;16616;5240;10647;13142;fail;49521;14791;10773;15358;9348;fail;2764;28543;595;499;15131;fail;432;317;2212;934;527;915;847;5010;10696;13955;2864;1812;3322;1888;5821;1356;1381;1059;1063;865;2937;478;2869
391;fail;fail;77016;fail;81878;10015;fail;fail;32733;70997;37789;6659;fail;fail;8085;57588;32332;147;fail;68;2808;2154;14268;7277;169;567;1226;8506;39;3743;1243;5747;9034;6511;10660;2090;2801;225;8970;618;1687;3022;2807;3630;6250;2909;586;1825
392;fail;fail;272;5602;268;4277;fail;fail;3516;72346;4811;35590;fail;2586;259;2695;2718;11906;fail;17354;34982;434;29309;769;fail;2665;539;1372;16933;13889;3133;997;1306;833;2421;897;2580;6431;4780;5155;1486;1784;635;368;191;644;2381;2330
393;fail;fail;fail;10027;fail;fail;fail;fail;757;6255;6308;14996;fail;392;58418;1063;7302;2408;145;467;766;8075;75;800;27;86;2437;385;705;561;1906;6096;200;3775;5033;2921;2584;7003;15513;5499;5539;517;387;2198;3255;1714;1739;1602
394;fail;fail;fail;fail;15806;888;fail;709;5619;875;1437;1109;fail;3468;4031;22385;14849;11032;279;257;824;556;292;1328;466;1892;2242;1133;746;619;2722;2933;6083;3932;55;3212;2291;1022;1065;181;239;1567;367;503;4445;2732;560;117
395;fail;456;47538;62609;fail;25676;92;fail;91739;6575;fail;3928;fail;997;25697;13784;1336;1237;fail;2820;396;4172;41;1303;244;2003;1811;6436;1316;922;1908;3743;257;532;3152;3921;3010;3204;3594;1732;2356;2095;1244;752;2825;6122;665;734
396;fail;fail;fail;86655;28533;32;fail;fail;45812;1766;1893;1607;7;4257;4696;3068;167;1126;fail;40;20937;2207;7987;3848;fail;885;3145;10657;308;270;3180;824;2303;1557;1257;1703;1275;240;9422;4942;486;585;3463;221;2516;20826;827;598
397;fail;fail;10939;fail;30448;1754;fail;fail;12364;237;2744;2884;fail;fail;8035;825;2982;24612;fail;2103;2025;1087;4014;6081;fail;3146;1319;198;143;5015;636;436;5719;247;1686;2147;4112;3229;3425;7427;1995;295;1574;402;3749;1888;5633;1188
398;fail;fail;fail;3396;994;59;fail;fail;9083;33542;64439;7298;94;566;10253;2285;13758;12230;fail;1916;307;551;2035;613;fail;1040;370;1573;3127;3008;595;2304;1276;1459;2607;257;76;2126;856;599;2962;1142;2818;227;3967;1316;994;1903
399;fail;fail;6805;13551;85981;3892;fail;982;94756;9513;57758;82859;fail;3266;188;4310;186;2088;743;1467;8873;1847;1440;3247;1480;789;5057;6548;2198;3882;634;181;3751;7426;2982;2557;2222;2567;1723;2167;683;1704;4805;531;4641;512;2261;1635
400;fail;fail;21046;11530;57077;137;fail;fail;fail;6497;12632;6538;fail;27549;13026;2612;3277;419;148;2042;27200;5256;243;357;fail;198;6147;312;22467;18657;1183;4790;4648;4675;3491;2202;9209;3512;558;2280;3199;1995;5302;1243;2243;1989;801;2836
401;fail;fail;1290;7100;2049;120;fail;51;24306;1460;1951;8116;fail;6;4635;2059;2158;4805;fail;4865;23603;498;5188;917;fail;956;960;9026;9711;182;3596;4633;15595;9074;10129;40634;2946;2038;8496;310;2785;2619;1219;3123;1463;2624;2080;4217
402;fail;fail;23564;7627;29475;fail;fail;1707;63827;7818;1643;28023;fail;fail;5211;6020;2804;19202;210;12435;5555;8378;19239;801;2613;2565;1248;92;17;442;845;2815;1079;1267;3432;2873;1121;411;881;204;601;2213;561;675;3367;672;811;1862
403;fail;fail;10621;60;5023;9784;fail;604;3843;8438;7932;8;fail;11175;347;5286;15471;6418;fail;7554;1611;2194;43603;68;16;84;6053;7464;11411;545;1260;575;1985;492;3284;1731;434;3703;741;215;952;800;1858;907;2233;463;77;1416
404;fail;2154;7299;977;21323;10424;fail;fail;18274;554;32565;1208;fail;230;235;77;17401;8198;669;3395;2273;1055;2107;2968;273;277;157;57;475;1686;6214;2317;2549;1713;3395;251;161;4915;254;1455;4089;101;3385;3012;4268;3939;3473;1909
405;fail;fail;39879;2118;fail;2193;fail;fail;5802;2264;34215;914;fail;41238;273;1497;17380;19206;fail;809;459;1582;3880;1206;fail;4305;9972;3442;22114;2998;328;2117;1451;1106;1993;2399;628;862;509;645;3602;3035;2149;462;21229;3408;1414;421
406;fail;fail;fail;37176;5156;2909;fail;88;18701;17459;7509;3777;fail;fail;1417;8628;3369;102;fail;2248;1819;11519;6127;40214;482;947;745;7569;14953;5369;797;2205;3590;8843;162;3567;3397;607;1477;2264;3654;5133;389;2945;814;2130;417;368
407;fail;451;fail;2881;7436;33349;131;fail;9949;12393;fail;2412;fail;fail;3394;13524;1447;24093;fail;1659;284;5527;3068;1957;51;825;2068;4695;949;992;4825;317;5543;774;10067;2419;849;3775;883;348;4302;1739;1039;4823;1521;695;195;4982
408;fail;fail;87082;28;19973;fail;fail;fail;3082;13073;14528;6447;145;584;426;10607;1013;6209;fail;1021;1107;2606;189;799;138;809;2410;1809;583;9181;7486;789;11925;11991;12007;2904;755;2844;2831;3449;2160;1166;1315;2244;5253;948;3584;1576
409;fail;fail;fail;11001;fail;95697;fail;63;46;4857;14727;6972;fail;fail;30944;7365;1227;3738;fail;6192;213;1882;385;768;577;2671;1772;11836;564;979;1950;668;1594;2263;2419;3109;1566;10753;424;2130;931;1183;5709;974;2471;866;1156;1877
410;fail;fail;fail;14882;13562;15219;fail;735;73580;3605;6837;361;fail;3634;8227;1690;4681;248;fail;6024;15714;6990;16273;115;fail;5411;11454;2222;2741;240;650;774;466;3489;99;1004;1717;916;835;2585;8499;2800;268;2689;4643;2609;4525;6189
411;fail;fail;fail;fail;fail;7818;fail;fail;22331;575;11893;32022;fail;10044;4409;5588;1409;10646;fail;986;17199;9987;4170;835;2092;2592;1974;3592;3416;2059;1254;93;8288;1567;4132;3616;461;3066;1938;8071;5270;8139;467;7061;1000;5845;998;2091
412;fail;fail;25512;3335;54;12182;fail;786;fail;1889;1300;39700;fail;21315;fail;13314;38732;3052;fail;573;8946;1784;23256;10463;3294;440;714;2799;2000;483;276;636;423;1167;533;2231;180;699;1149;2652;978;2808;1264;310;11095;3938;1438;3723
413;fail;fail;13160;12704;fail;fail;fail;700;18385;24760;fail;32809;fail;463;fail;375;83909;2148;891;493;875;1926;5908;2102;703;462;406;848;693;978;629;307;1286;2985;1384;548;2631;2318;8933;4006;5171;3606;867;1816;1276;8597;444;489
414;fail;fail;fail;23595;fail;11758;fail;62;18697;5799;6712;2948;fail;2190;21814;106;11213;28342;fail;1233;870;2575;8831;5889;316;3008;9459;6185;19840;1146;673;285;1639;3644;759;820;1926;1223;5368;933;882;259;734;1727;573;1708;1033;765
415;fail;fail;fail;5939;39276;32147;fail;fail;36299;314;230;20441;fail;851;2399;88;5245;3591;fail;7090;28877;29469;17779;21330;490;673;3745;6964;530;3101;99;6786;39;3905;659;4353;706;1477;244;5405;282;2741;2039;1579;2888;2045;1377;2746
416;fail;fail;86333;4026;10850;650;fail;8128;9765;3712;19219;2342;fail;221;7161;161;9668;1615;fail;253;15345;16129;1089;16750;409;7000;208;895;865;10074;1869;219;439;1755;1212;2422;13290;1283;20390;2117;4936;3824;1154;1791;1791;438;1200;217
417;fail;fail;2246;37801;31304;9766;fail;4693;47832;5211;3667;2282;fail;903;25501;160;1055;16342;759;1740;9110;7562;11635;2338;fail;4027;153;3439;3602;10922;2580;4101;7597;6408;3693;4880;2855;597;455;5498;3434;629;2077;1202;1203;2011;909;1708
418;fail;fail;fail;fail;73505;fail;fail;1355;fail;20455;4946;2647;fail;fail;fail;3550;15944;51590;770;321;1400;4489;11281;1263;601;6897;841;5163;884;1317;2325;654;1422;1394;264;3482;417;774;7478;3698;528;5234;949;3093;522;2704;340;4260
419;fail;fail;fail;7703;7153;74314;fail;112;5273;13035;525;7445;fail;fail;1646;1668;12586;13008;fail;2470;16180;2152;20337;9181;522;1615;8622;2527;336;1250;534;60;107;2517;375;1717;680;722;2474;1183;722;1462;604;1007;2940;2357;1403;1883
420;fail;fail;18437;5820;17589;4013;fail;fail;31;45;4669;2070;fail;7574;3135;821;4207;3404;fail;1389;21449;5025;8984;9048;fail;2142;1224;1791;1210;3461;2438;271;5038;7460;937;1409;529;753;496;931;244;1561;540;3495;2698;5333;2460;619
421;fail;fail;34600;3239;fail;73869;fail;1260;540;180;6841;4329;fail;5584;23137;2506;6002;910;643;1472;14470;11510;23663;8879;1216;733;201;520;1635;2809;283;1232;1214;795;474;144;579;1646;1328;364;2562;4003;1703;3224;21289;3480;2152;2550
422;fail;fail;fail;12805;84613;14544;fail;fail;3648;2901;44897;13729;fail;2078;1745;47;903;548;484;7852;1710;1324;4845;2125;fail;168;46516;3919;1129;613;1571;835;1932;950;4582;4555;4540;1043;3932;1582;129;601;1252;1239;1126;3902;1955;568
423;fail;fail;fail;553;fail;5839;fail;5003;fail;4890;14032;46062;fail;69;3681;9698;21567;17478;252;1727;95;2646;23;515;211;249;5568;853;375;4852;2857;4982;2624;527;60;5829;1511;281;2286;209;752;2344;2246;544;982;680;866;1433
424;fail;fail;56;6316;24668;fail;fail;157;139;4132;66103;1641;fail;931;181;323;7863;8171;fail;6789;4275;4082;2630;23;fail;2542;2917;211;5789;1399;fail;2055;9361;2251;4427;1987;4127;10272;1833;6458;6133;3165;1470;892;2229;521;1010;2206
425;fail;fail;9699;fail;56360;fail;fail;fail;26414;6462;1388;13167;110;100;11511;2788;18711;3172;791;6904;7148;9978;4874;19623;129;14315;30785;23323;1039;1993;964;1013;4361;9282;2068;330;8736;1067;2506;1893;675;2768;3188;1311;9924;2002;5503;4296
426;fail;fail;13260;1165;fail;57852;fail;1552;6071;15124;2985;29737;fail;8663;27792;839;2287;16288;fail;5434;14543;1798;359;1145;fail;865;2179;3703;5313;41;305;452;868;1258;1187;803;1938;1357;6956;3084;6712;1826;222;731;4854;1496;792;3144
427;fail;263;14186;1669;5770;3499;fail;1451;24128;5960;3330;7414;fail;315;61437;2057;80735;1398;618;17773;5284;2640;15245;14287;81;389;406;8050;1741;309;60;350;6226;3597;3158;615;4255;5960;5292;7486;10065;8548;5318;1492;4419;1807;1886;1009
428;fail;fail;fail;2425;fail;19972;fail;439;9250;1140;17430;51004;fail;fail;fail;20663;12616;8666;fail;8971;1014;681;15844;1191;1530;1092;1681;2453;3213;1218;1365;185;5420;2095;574;2887;874;5031;998;3633;3573;2900;3715;3532;6482;863;3002;530
429;fail;243;fail;fail;fail;fail;fail;fail;19236;2656;1699;63725;fail;977;10019;6400;1549;2085;fail;1105;84;1000;1101;151;191;18342;2561;2673;38;428;898;3329;1014;3624;309;757;991;306;558;1669;148;748;1352;2293;7298;2087;463;1900
430;fail;fail;4477;90;1161;4133;fail;8512;3925;13485;2156;240;fail;fail;25442;43087;16247;19980;285;5967;5155;1070;14620;2894;207;3095;2599;934;702;332;2546;5438;16593;5209;7771;747;1440;597;2439;8711;1454;901;819;4325;9964;11484;4452;1092
431;fail;fail;24;1115;1226;3811;fail;2979;80065;309;15147;1389;fail;15558;7637;8;17380;2122;fail;15977;4543;4136;5385;811;907;2106;103;5422;456;15297;424;142;2386;3480;522;974;2492;3387;3167;320;4316;2361;704;2141;2921;621;764;1730
432;fail;fail;fail;fail;6999;18919;fail;5443;568;461;1175;740;fail;4167;13447;9221;208;34315;fail;1354;157;1894;3942;2780;1601;156;5756;3037;1252;1581;313;6628;1540;982;3353;614;452;3272;779;8716;2725;4487;4520;1302;402;494;736;433
433;fail;fail;fail;11;5097;fail;fail;fail;3208;1741;fail;50;fail;101;fail;1123;3927;5604;fail;4615;3500;12996;17370;2574;624;468;3373;2796;737;4580;137;1739;6613;2621;11161;481;1386;666;2295;203;124;764;1183;1499;931;1604;249;184
434;fail;fail;50702;34080;22053;663;fail;fail;142;489;3352;12931;fail;9692;126;321;5160;2150;fail;10541;1255;6074;88;2458;42;429;671;4253;1708;2850;625;45;299;7250;351;6364;1261;111;375;10238;211;875;931;1518;1219;6569;189;1368
435;fail;fail;36444;50454;25742;7104;fail;fail;65191;10910;22765;36343;fail;21473;2583;7781;517;8946;fail;1002;3008;1108;10772;2775;490;1323;2530;353;1173;7689;86;1157;640;2796;185;685;2067;6131;11068;449;5544;928;1607;4169;2059;580;939;7203
436;fail;fail;88;655;8385;18;fail;fail;36183;35550;551;87369;fail;1414;909;207;62;3541;fail;5799;9312;3644;3934;28966;fail;61;799;9354;182;1404;413;232;481;5438;253;2548;923;1931;2808;1109;599;2391;3677;490;2042;8295;2200;4393
437;fail;fail;1876;253;81443;fail;fail;4267;929;11091;12525;2499;fail;47;789;476;75;2639;1254;1820;22786;1395;748;170;fail;3588;9187;3927;10101;2393;754;273;2186;996;126;390;1285;3364;1569;4219;1418;597;318;1484;1532;1592;74;434
438;fail;fail;fail;18688;17308;fail;fail;23;1541;2991;20016;11429;fail;12078;1077;1520;8219;35;1042;20599;8041;7336;10408;9174;fail;2449;1397;1716;3227;1065;724;994;123;606;2208;1472;7308;1226;5842;707;218;3879;381;2309;531;1631;1575;3842
439;fail;fail;fail;39;fail;fail;fail;217;fail;1615;1673;606;fail;7077;6665;15278;1008;19269;fail;215;13006;4442;4513;110;350;2260;467;618;238;246;116;2931;5059;7104;1178;2391;1319;1340;179;1100;835;2694;2390;982;1893;101;82;1156
440;fail;fail;24109;272;2668;60;26;fail;934;4986;533;3670;fail;1415;62945;2158;3900;143;601;906;7866;5452;382;1090;407;3266;2969;2083;461;170;fail;3328;2793;14994;1684;1656;1928;721;2111;133;5416;1493;1271;1143;2534;5313;1418;970
441;fail;907;fail;9656;49430;1225;fail;fail;26535;4563;4920;345;53;395;9786;2143;2448;206;723;295;48;864;457;522;1882;14790;632;1023;18928;4372;175;378;629;608;413;542;859;565;4653;1896;846;1651;5438;719;895;1138;7956;1666
442;fail;fail;fail;24048;24072;33586;fail;fail;2195;15614;84008;74533;fail;101;28282;256;6933;6652;fail;3029;241;1119;1151;842;1676;39;10044;690;37;585;590;150;2979;1048;255;89;8207;5351;4184;6721;1510;2087;1155;988;1524;1349;1228;4470
443;fail;fail;24923;6077;3250;2796;fail;6376;2268;5021;2495;382;215;fail;10870;8505;76201;2998;265;821;777;802;1926;4988;1526;1288;12570;970;2788;376;612;336;9613;5243;2927;13942;2927;1408;1781;9583;1694;805;423;2826;449;1238;2957;688
444;fail;fail;fail;16905;fail;17879;fail;2944;5867;191;1611;34647;fail;495;1007;6881;1470;106;fail;61;102;4703;7903;26939;fail;3660;127;3867;5095;638;1481;4542;2341;331;498;2185;5870;3909;4164;5820;2701;1110;10401;3913;6554;166;5327;1639
445;fail;112;fail;36833;10409;30039;fail;fail;1836;27835;23799;7684;fail;fail;4537;13150;5401;15987;fail;292;35312;1172;715;1451;fail;5104;502;1420;773;67;54;2037;5466;1731;7083;580;1513;270;254;408;614;573;184;13181;5511;2877;2630;10479
446;fail;474;65739;2894;10315;41554;fail;1142;1962;1065;4828;3082;80;1595;74511;1981;66463;14905;fail;11392;12305;11335;7155;4888;fail;56;19596;8431;18738;12132;131;3859;3586;5611;12485;1765;3162;1928;8206;9772;3138;590;5030;1554;5430;4624;1997;3306
447;fail;fail;9222;5559;fail;9717;115;fail;34685;297;12999;146;fail;17916;236;5392;9597;667;fail;2030;10704;273;173;1021;fail;717;18760;4683;1573;331;886;3712;198;1171;1415;4779;510;2346;2340;31;3945;635;1401;497;5315;1124;4137;6626
448;fail;fail;fail;2449;46;fail;fail;fail;12115;2077;4120;1836;fail;6090;15699;14778;8646;13368;2153;1487;5609;2460;3483;3597;295;607;111;263;683;459;143;439;1359;1167;90;389;280;2223;446;958;1015;214;444;6178;1762;4727;2240;3126
449;fail;fail;53342;14067;4388;8679;fail;fail;17773;3024;39;12542;fail;442;8833;652;80280;1040;fail;1424;1126;990;11421;4398;192;665;15613;179;617;1010;6096;711;2118;3016;160;4664;3620;178;2337;1070;1900;1714;2012;3884;3822;10211;1132;1974
450;fail;fail;25793;fail;29229;40286;fail;1517;85206;4288;200;6854;fail;866;8985;1068;1241;3316;1034;17422;5140;426;2829;713;fail;452;1004;7822;484;1517;3144;2922;1709;1353;473;4490;4775;5863;12438;3049;4421;892;581;5246;1462;370;862;699
451;fail;fail;fail;35996;fail;57950;fail;fail;fail;829;fail;8656;128;720;24304;5508;1518;4339;1454;1019;3927;27611;1335;2411;fail;3643;19045;3535;15900;1778;507;1205;640;496;196;2700;1521;478;118;1785;3677;547;1396;464;6386;4875;5785;12049
452;fail;fail;fail;31185;fail;38058;177;2562;46692;2169;571;21217;fail;6951;7176;12416;2629;26004;fail;20273;1986;4471;20567;11064;832;120;12485;15350;13682;109;737;3088;6963;489;1996;1129;3773;2272;3144;120;921;4625;609;920;5413;679;960;1015
453;fail;fail;fail;15852;9546;86780;fail;443;2589;2722;12785;46910;fail;5625;10264;5261;56;281;fail;1106;3148;3959;136;6502;fail;797;742;5462;589;542;403;431;1138;6937;426;1648;641;1442;10090;3167;696;688;1081;714;2063;3608;1834;1936
454;fail;160;27467;fail;fail;16883;fail;8489;7294;6107;357;176;fail;1092;8039;2076;18828;9555;fail;4929;2648;1012;378;1941;2035;2707;490;1476;135;4142;14613;628;1646;3036;3361;1843;621;765;2315;576;479;2559;750;4843;799;1987;1520;6470
455;fail;fail;fail;3496;6945;65313;fail;11;7797;932;636;1760;fail;3525;4486;777;17520;16479;fail;1168;689;934;11177;127;fail;2500;13258;7896;2274;304;196;354;3486;4187;4464;146;718;258;2133;1868;194;623;1949;2924;1169;13874;8055;1291
456;fail;fail;fail;318;fail;2544;fail;165;893;369;1733;93;fail;24905;14050;8549;2908;475;fail;14559;322;3020;1737;159;fail;488;21068;117;2145;29167;1100;377;3988;2024;441;420;1536;64;3314;5048;106;1273;1508;3715;12882;3544;1275;1849
457;fail;fail;190;66791;29320;15;fail;2695;11693;6532;20172;27945;fail;5947;25497;3442;1715;179;fail;1769;1259;330;553;17788;1034;502;4346;6823;293;1756;702;1842;2797;198;456;451;1032;1662;7353;2436;2854;259;524;2353;2033;2927;1271;994
458;fail;89;44688;27628;45823;30238;fail;104;1648;2264;37;89;fail;925;31840;2402;12003;1563;fail;92;38;1170;44;1349;fail;295;7854;574;2569;100;961;570;6817;347;1502;336;4006;1931;3480;559;360;1258;2443;116;787;1411;1587;1918
459;fail;141;fail;558;63747;7745;fail;fail;9108;68;46373;12326;49;2778;10835;487;10035;6056;217;18526;12536;5220;9138;1770;895;1886;4386;457;4941;3493;1290;489;7399;1685;1220;2737;311;82;3040;223;313;1428;1908;1815;1071;5191;735;1209
460;fail;fail;fail;fail;81;fail;fail;fail;3190;4277;7865;fail;fail;3955;23613;2674;9711;3634;fail;4908;12278;1539;14006;213;176;3019;1241;289;443;224;699;6618;11154;1022;8182;14458;2184;724;311;311;711;191;1207;1816;7778;4263;2790;1587
461;fail;fail;5892;133;27023;48475;fail;fail;2538;98386;884;fail;146;170;6298;189;1413;217;fail;837;1577;1393;108;1685;fail;1204;5062;29951;421;1646;677;2888;2256;118;1808;1744;894;1524;975;5619;3595;1768;122;784;1506;3681;318;2124
462;fail;fail;fail;38570;11128;23144;fail;fail;1149;6300;1180;834;fail;2914;3996;991;1173;9120;fail;188;1099;11010;239;3892;439;12949;8156;965;122;4247;725;9153;50465;9861;1953;5939;1447;613;3881;2492;4832;671;930;5278;1185;529;2349;2079
463;fail;fail;360;65583;fail;fail;65;fail;12469;2509;1770;32775;fail;450;11103;7963;3912;2076;1140;1306;10395;144;3533;6408;1842;1882;341;4849;5360;727;575;473;7416;4345;4607;1585;2848;476;740;87;225;8520;2727;7422;785;11068;1189;1495
464;fail;fail;4860;4322;17225;18003;fail;fail;41720;5246;92236;5210;fail;5646;1966;8;5750;5639;fail;3755;396;954;2761;7310;fail;6337;33034;10655;751;1767;5204;1975;4445;1660;1836;1319;1949;631;5798;691;2700;1186;1401;4139;1604;1841;1063;2253
465;fail;fail;4525;5486;146;5992;fail;893;1936;505;133;9636;fail;2913;3707;6390;13358;3400;fail;134;23034;109;266;25647;2895;430;716;7119;6682;198;731;1211;2842;1302;653;931;2857;404;203;2219;759;2039;970;2535;2800;3730;840;1870
466;fail;fail;fail;10252;10435;9269;fail;40;3794;9525;9303;8563;fail;fail;39292;10725;7762;2011;34;442;435;1898;7519;1602;fail;4686;1547;2031;1541;583;437;1030;3935;4607;1597;1175;289;2777;561;3197;357;295;1031;648;2551;3460;4411;1517
467;fail;fail;fail;fail;8594;5457;fail;fail;93150;15376;25593;17054;14;4721;72921;934;2903;259;645;604;467;224;485;52;fail;5118;1021;3649;317;1523;884;744;1096;11157;699;649;9191;6585;3814;4922;1347;6531;995;952;2070;2034;4959;895
468;fail;fail;97327;659;24337;8345;fail;2292;1346;377;1661;2786;fail;10311;3787;2544;120;9550;996;197;4961;3066;2301;257;367;1033;638;467;327;13320;1235;1442;170;2011;994;557;526;937;4642;827;3743;1694;742;663;1242;2246;2418;1469
469;fail;fail;20809;2042;fail;18195;fail;fail;60588;10954;14064;43670;fail;fail;10071;9619;13056;10842;fail;2856;10754;3535;1371;558;fail;2706;63315;2219;56906;10683;264;334;606;1329;896;403;973;452;647;420;1265;3329;626;353;1988;74;1111;125
470;fail;fail;16806;6836;fail;fail;fail;4176;74795;39972;6601;3369;58;1018;61264;546;4033;264;fail;373;8829;5697;5493;238;391;693;51813;5386;3729;1809;1841;3060;2568;1394;1504;2117;113;2811;1667;629;2337;2373;596;1127;1297;947;1681;2401
471;fail;fail;42093;38447;1746;44600;fail;2742;40018;101;2815;2457;fail;14325;264;19298;605;1566;fail;7962;4082;455;10348;1372;fail;289;7183;7976;14363;17508;730;1914;9221;1309;2033;1082;609;2339;290;106;1997;58;3701;897;888;269;1460;5298
