;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0;RLS;RLS-R2;EA;EA2;pmut3.25;pmut3.0
20;fail;fail;fail;952;21996;10881;fail;6281;67283;929;13913;634;fail;596;1919;4060;5168;5342;fail;6266;334;1769;8994;1692;fail;1599;1155;455;50;299;273;963;2023;3421;1039;469;599;189;1155;3748;257;494;671;3118;358;3342;726;1708
21;fail;fail;34378;720;3442;194;fail;fail;39265;15535;27552;6390;fail;8527;559;14051;22354;14774;fail;291;1845;5003;1942;4380;fail;15457;4122;384;1821;865;2177;6014;643;2031;2712;662;2762;1905;1178;7188;46;6337;1813;561;1302;2716;125;16947
22;fail;fail;11197;24426;29324;14662;fail;fail;17735;10151;7701;3896;fail;8135;16925;5790;2624;3484;fail;9332;8190;1862;2990;6496;2364;3317;1551;1759;2149;2393;332;308;902;1608;2841;2028;229;1437;3086;3666;693;3768;1472;1810;3028;2021;174;1018
23;fail;fail;53346;fail;fail;23656;fail;fail;72056;3019;4313;15990;14;346;16383;1923;47201;656;fail;23518;12155;20310;18405;4086;fail;4125;28234;1852;1224;242;178;435;2819;1109;1291;1158;fail;948;812;9228;548;4185;873;944;1774;899;325;186
24;fail;fail;fail;2549;20456;5760;fail;616;19500;80233;13437;6411;fail;9690;10102;3990;2537;7989;fail;1470;535;339;315;3067;33;1023;2665;1449;1517;952;1862;375;300;104;501;333;2313;3262;3098;3220;2485;522;3114;1224;5172;2537;1346;1450
25;fail;fail;fail;426;34918;228;fail;813;96931;569;56200;31255;fail;1100;35;5230;25775;148;1758;102;1128;253;22368;825;1841;3198;20024;2526;556;1909;1971;4395;3520;771;1277;4194;1778;4941;3462;3247;847;7582;664;2196;5069;2978;1038;1324
26;fail;fail;5000;66733;1435;18576;fail;fail;12535;2784;459;73;83;6924;99;658;431;4588;fail;3640;16627;7178;7185;1469;871;2775;550;10453;1739;965;1016;554;963;1540;2604;2973;3354;2537;1219;5054;5749;1061;1027;717;349;406;494;1155
27;fail;fail;2528;93089;13264;9995;fail;fail;40550;4463;25590;13526;fail;5081;23577;2689;2304;12216;fail;5442;14958;1952;96;10269;fail;1728;7171;889;288;2962;3788;6698;1098;737;1592;1057;705;3328;2758;8811;36;2172;3956;3080;4099;12396;1208;2214
28;fail;210;fail;20165;fail;31304;fail;46;2667;939;fail;2902;fail;2435;fail;4746;5657;4222;262;9076;1135;982;164;202;fail;114;8446;4478;198;189;394;2123;847;284;3614;2757;561;4747;7106;2916;5905;1561;1025;197;286;2709;1098;6695
29;fail;fail;fail;5063;423;3128;43;fail;1736;6814;4195;17678;fail;4560;13869;260;2332;1205;fail;5593;9437;2635;7999;545;1250;9316;6752;3247;1001;3155;1470;705;8600;1822;610;1074;2348;1934;9731;24392;3972;1801;875;1273;12431;767;1406;2708
30;fail;fail;fail;10000;2683;565;fail;fail;940;3024;18474;61;fail;25076;757;15972;14149;41748;123;4373;1428;10351;172;5856;2618;2771;3526;1644;412;15373;913;457;601;1222;339;369;696;1703;190;2653;137;1800;2509;2407;7710;3859;2173;2129
31;fail;fail;fail;2162;fail;40260;fail;fail;3418;2141;5955;85631;fail;9357;5158;3478;2998;3216;fail;1502;1424;4415;1629;2788;383;6263;448;4537;5780;35979;1641;781;2081;6246;861;1062;1524;2709;5369;2082;890;421;5410;3085;471;4613;2080;3132
32;fail;fail;39540;fail;6549;5471;fail;fail;1632;15614;1990;78;87;5586;29372;11027;39145;6816;fail;14462;1635;7079;8287;3350;fail;18513;4312;11322;17643;9171;195;303;3053;1687;762;291;556;2342;6216;7000;3971;5252;342;12564;14413;3042;298;13172
33;fail;fail;fail;747;2348;69308;fail;fail;63354;284;4843;fail;fail;271;237;92;4622;106;1706;1020;881;2491;2412;1597;fail;5332;20504;22306;1442;4448;873;283;3435;3933;587;686;5328;3805;3569;1499;1625;1503;4492;3033;1086;2780;4885;406
