EA;EA2;EA3;EA4;EA5;EA10
756;891;375;1149;2311;542;2324
757;4554;24833;2283;9689;2067;5917
758;1716;61;244;1271;774;7299
759;2187;1273;4429;3885;14116;6111
760;608;1122;2257;396;407;1493
761;519;6552;226;4500;35256;3736
762;1251;255;278;266;4569;438
763;235;4831;3214;6008;8623;964
764;641;1374;896;2326;538;3294
765;8146;1548;2629;704;958;1046
766;460;634;954;1745;5540;2424
767;8645;892;7933;9081;12902;3321
768;1218;591;5830;669;12666;6022
769;462;413;1920;909;2816;3527
770;377;1428;160;1461;1431;6165
771;2725;1803;1974;3525;1704;7218
772;822;4120;9511;3662;104;2764
773;94;254;2945;1660;1266;283
774;676;7636;12493;492;2159;3327
775;6822;1427;17973;3735;2400;6183
776;13631;2998;8562;7946;11871;16423
777;4597;324;682;5914;2933;3069
778;3102;24804;239;1491;100;6133
779;1268;9285;3533;1735;463;8752
780;1148;5297;4457;8214;4774;1531
781;1567;2638;9883;718;3830;898
782;1999;1639;600;1788;2616;7194
783;1824;948;2898;3325;3326;4875
784;433;968;60;464;1978;1722
785;1186;643;1200;85;615;1751
786;2864;2897;1114;8461;11736;4959
787;12056;954;4642;851;2626;4373
788;876;845;3121;5287;155;642
789;906;833;2247;3928;1903;17655
790;2972;4848;355;1994;15906;18643
791;3082;2037;139;717;2266;23159
792;4959;5740;968;1751;1541;772
793;3712;2912;11127;643;1490;7856
794;14159;1859;1881;3355;4075;8638
795;504;245;399;2881;368;9161
796;809;82;7085;11704;8378;19375
797;960;205;688;2524;384;592
798;1488;84;664;1229;2123;1484
799;4795;5042;10853;6175;7392;16073
800;2223;1240;4788;223;710;387
801;231;2858;7324;1373;3898;7519
802;3629;90;2097;139;2189;467
803;2906;821;2753;1099;5275;2404
804;1920;6274;659;2406;3233;7685
805;499;494;579;289;482;1067
806;1665;1217;1776;491;860;55
807;940;1221;488;1627;8381;12243
808;5119;287;2130;395;4614;867
809;68;1665;427;3259;120;8785
810;12016;352;2826;15646;14074;5239
811;1484;1617;3081;11161;4095;5866
812;110;1474;2949;4777;4229;7811
813;7686;238;6878;620;10320;1407
814;1465;710;8046;2145;3214;4501
815;2926;1099;1362;3868;11921;4322
816;2855;66;3695;1452;336;476
817;2885;4406;5080;3540;7947;3990
818;2701;848;447;299;2236;3033
819;2787;194;1450;3136;1644;4089
820;8844;15160;6103;4977;8877;1651
821;1923;5368;12670;79;1262;916
822;3485;4671;6459;2115;5395;10791
823;1555;392;2155;3692;81;1160
824;1477;2810;1622;1916;8508;52718
825;1300;487;681;911;233;668
826;722;97;2075;2572;312;4310
827;490;1718;290;6003;1795;1570
828;247;1358;7826;4373;25174;14829
829;20407;6549;2359;1214;393;7537
830;13057;296;4998;16162;3469;3344
831;4416;7404;3439;33792;1091;5600
832;2944;7750;357;6676;626;6149
833;2667;506;967;682;66;6079
834;190;1861;1205;9942;2680;13523
835;1446;811;2134;1149;2284;2964
836;274;690;889;686;1721;2514
837;2249;13870;3557;2905;1808;9168
838;2114;642;511;418;357;6090
839;11247;687;12865;1997;5285;9888
840;3442;1783;10572;302;767;10092
841;2086;493;1053;1734;232;1059
842;855;1786;1805;311;6398;3256
843;3797;4858;4045;7949;6199;14436
844;4125;1335;3324;12217;791;9721
845;327;1315;20078;2391;2293;12094
846;822;5050;639;2225;1523;2045
847;1244;8321;4092;7413;1275;22475
848;1453;1060;980;1503;1927;1958
849;4162;1156;559;1181;1486;5165
850;841;400;1492;1287;563;1329
851;684;226;339;9727;2280;11807
852;2057;64;5564;1869;226;1812
853;241;387;247;2355;794;842
854;2276;2146;12176;13535;4583;21676
855;1355;2080;2748;1191;333;15030
856;1234;1439;651;1826;2078;1389
857;1402;3605;5037;9579;17727;5602
858;1477;874;207;2315;5940;11156
859;1716;4463;1709;503;298;812
860;2768;1394;6536;7936;1136;2061
861;461;2211;864;4851;1695;3070
862;1064;1874;682;1393;762;1424
863;570;9957;107;9183;1877;24962
864;1521;2078;1979;1433;2600;2152
865;1219;523;51;433;54;424
866;329;3159;48;152;2066;1895
867;4949;1825;5966;3184;7489;10179
868;479;5338;2528;1788;5298;645
869;1263;1356;3082;658;1060;96
870;2053;1735;597;660;840;3959
871;1321;5284;2986;7772;15876;514
872;1045;232;5190;1774;14110;939
873;1829;946;1358;2708;213;263
874;696;3040;7700;1861;1628;1923
875;3034;1233;5754;2871;14693;15110
876;2013;834;1943;4162;3333;6625
877;2727;2486;3864;10849;3162;311
878;2465;234;840;3411;2496;4100
879;311;7108;656;8550;7975;22911
880;2777;22;4751;4654;125;6739
881;3629;2976;25867;8778;3228;17387
882;2530;9290;1506;7971;6474;9808
883;773;455;4736;714;1944;44
884;2441;2387;15725;1500;829;4620
885;161;2109;7950;3003;2789;2244
886;91;2872;123;1595;2656;7327
887;6860;283;5073;14999;9155;8088
888;19682;3004;1334;658;22844;3381
889;122;2658;987;798;7286;909
890;2615;959;4344;1410;6448;5769
891;3512;243;2483;7066;4647;585
892;1306;4565;1994;272;11403;11509
893;1388;775;748;1436;3507;1082
894;1565;762;1574;600;1198;3442
895;581;1633;1280;2671;7354;9102
896;1263;646;2765;2369;671;3334
897;1117;9234;186;623;4970;6090
898;192;173;4460;2215;3290;478
899;5933;997;3143;1818;5337;1322
900;1069;3074;82;876;3574;3489
901;661;498;1408;124;5581;2794
902;540;1167;1107;1268;779;2646
903;2729;11516;1745;12924;646;696
904;1154;4128;1117;13639;1594;17459
905;529;1318;1450;1004;1889;3214
906;2675;6993;1906;11879;2200;574
907;194;2098;1519;502;1602;13286
908;2405;2154;395;2001;1302;362
909;1210;1288;4258;684;1250;454
910;1517;2343;1017;712;8848;4880
911;1097;1143;10171;1282;2492;21559
912;74;1901;4684;4728;4033;4717
913;2426;3301;66;3179;542;243
914;1155;1610;531;453;1981;860
915;663;984;203;202;2153;5984
916;2297;1037;5413;296;3146;6873
917;443;1103;7571;3644;985;10263
918;748;1409;2562;6651;3386;354
919;1291;1087;2823;595;6791;11867
920;3593;967;1602;4826;698;7376
921;280;3668;1346;749;697;3739
922;6173;718;5187;8489;3592;19661
923;3495;1999;1844;4806;7045;15918
924;2114;798;1977;1690;687;618
925;3237;190;1748;2077;939;2037
926;1690;5806;1267;3810;1836;1245
927;8098;1013;14614;13343;749;4559
928;2939;614;6464;1795;830;1954
929;1790;1737;314;4140;4286;2312
930;3930;6033;5137;3127;12674;2145
931;932;3005;989;628;3218;1446
932;196;6475;7449;2505;8877;7598
933;15431;16092;5710;4617;6100;13815
934;1766;594;145;11327;615;13415
935;387;295;1645;406;5680;5386
936;1074;5293;1607;15224;4866;24253
937;10186;1935;69;458;6410;3101
938;782;229;3262;2625;12619;2014
939;1687;1834;1867;1186;526;7132
940;3983;1775;8305;31729;2660;700
941;418;253;1276;2979;1579;4899
942;4110;384;6653;2666;1950;461
943;4349;2447;324;7071;3021;1513
944;1195;8274;12773;17570;847;4457
945;510;9553;28259;3922;4850;14542
946;7225;1777;743;1993;2137;1751
947;7211;148;1685;131;2873;2883
948;1022;9358;794;5029;7151;14043
949;3796;1961;12601;9599;6002;13007
950;11436;846;2719;3553;358;3821
951;275;3633;4128;3369;14662;6524
952;11070;160;2037;4401;141;1258
953;393;2492;419;162;1657;12280
954;1023;287;1630;3023;1492;3202
955;7343;10401;7972;329;872;7540
956;13205;609;638;10200;11154;2337
957;7613;3782;2365;1135;14320;21256
958;172;687;1712;891;720;1527
959;4399;6081;7806;12423;6364;9063
960;3637;853;1060;2086;16152;2273
961;23024;1312;11403;3464;685;10922
962;2170;356;1516;588;1968;6719
963;1416;1389;2704;3505;228;995
964;2351;1322;43;334;1817;252
965;17568;662;5867;2182;1498;7772
966;5157;1200;714;2336;1955;9246
967;1657;427;1373;732;11905;4486
968;4926;2699;5076;2576;16377;24142
969;1170;1003;563;1743;9601;1342
970;424;2164;1031;638;2683;1697
971;316;1292;1613;2514;208;1551
972;1854;446;841;203;305;1262
973;8299;5512;6674;207;3221;4593
974;1188;1029;902;1737;13325;8391
975;955;1429;3180;1526;493;4358
976;16963;1232;1668;1121;329;7108
977;1231;2867;4266;5890;400;12636
978;6746;4810;7569;8498;3169;27991
979;4319;610;1456;891;3667;3027
980;6652;1581;4825;3322;10506;13374
981;5729;1628;5069;4225;9325;10230
982;1486;102;6776;1631;584;2598
983;159;961;169;1194;6324;5861
984;795;650;5096;1244;2755;9432
985;3074;7516;13788;8154;1631;12454
986;1359;7219;781;3514;9506;38086
987;976;280;2190;3618;724;4575
988;1763;385;205;1288;412;2343
989;2610;1972;446;161;3434;7282
990;1961;300;1383;290;987;9314
991;2642;851;1098;266;117;4520
992;175;3252;871;4992;244;21915
993;742;8923;1881;1533;1008;1373
994;3450;1333;5351;842;666;5899
995;1755;536;1131;6920;14404;13626
996;205;6737;1016;1116;1365;1056
997;11258;205;7424;1072;1758;4546
998;2511;4337;783;784;870;20266
999;1079;2388;480;1664;5186;4720
