pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
10000;10000;10000;10000;10000;10000;10000;10000;10000
921030;921030;921030;921030;921030;921030;921030;921030;921030
0;2127;908;383;769;353;83;225;2367;378
1;296;1703;19318;3716;117;2149;3036;178;1128
2;4087;3152;1784;1257;206;765;420;880;1144
3;4577;694;2651;187;256;802;289;627;341
4;616;586;4270;418;2969;1555;332;5074;4248
5;144;4396;1589;611;3137;613;1179;531;1441
6;4032;128;219;1040;2530;651;533;827;1669
7;1791;1812;4359;1453;1532;1172;29;698;1506
8;16091;7612;16256;7354;8345;3326;1640;956;4609
9;1023;211;1206;8228;1549;4197;1556;5195;12271
10;7049;9221;5868;1918;489;377;4491;2416;1347
11;8336;1604;1182;1415;189;771;5113;141;6320
12;8809;2347;1986;2333;2475;4831;3723;3882;3084
13;4154;311;8926;2360;1018;8764;3651;16802;2560
14;2273;9060;6779;3277;1946;1290;8437;3153;7828
15;4773;4863;356;505;1094;154;916;413;986
16;2300;1506;1486;4643;936;1032;143;1124;1168
17;3010;4416;566;1360;4767;1673;1007;707;1483
18;1463;3104;9964;2439;8298;1928;163;1181;461
19;3718;534;16576;8187;2712;6852;826;4069;1671
20;4166;524;1444;383;2344;1192;2153;905;5131
21;1580;5576;2745;625;221;806;1314;2436;200
22;883;4050;5361;14093;10590;1855;2792;3550;6232
23;56230;6875;7943;9473;1049;3136;2285;973;1914
24;2547;2586;3656;4861;481;717;3629;447;1771
25;4799;3566;685;681;1443;564;2624;933;1524
26;1224;3652;2106;3157;728;163;3723;575;71
27;708;1659;215;280;270;592;3778;759;3130
28;12629;7301;1076;8911;319;598;2557;2961;2641
29;1068;1865;3559;4254;565;1049;831;1164;2842
30;10133;1919;7367;7947;10594;2914;1915;606;6262
31;1459;1657;2822;3189;751;32613;4799;1063;461
32;1945;60;8409;437;8745;2307;1045;15334;4010
33;14252;1263;1256;1130;7166;94;2200;2983;7086
34;2725;982;4801;2418;1743;3761;7102;1290;2406
35;2086;2266;187;2135;610;2490;627;2714;3692
36;7910;464;1705;807;1303;494;1307;1851;74
37;228;9697;499;247;2691;256;1026;2291;912
38;1096;1594;2559;4292;201;421;9842;303;1154
39;51;3502;625;865;2152;857;1460;10;855
40;1270;725;4863;1121;3594;2881;1971;8306;2832
41;8931;2710;13516;6789;460;10123;3051;613;333
42;367;6018;1558;933;602;100;1712;3070;1630
43;224;386;815;770;2958;925;14451;3843;2213
44;12082;5741;761;125;2701;9237;880;157;31
45;2382;12112;1520;2272;824;443;517;850;1895
46;2219;221;1716;561;1743;144;102;1019;689
47;1980;5222;13146;1815;2990;1462;10148;5228;2049
48;2631;2113;1592;2072;1844;429;605;284;224
49;5619;10956;1020;1112;1019;1292;4137;2792;16927
50;12314;36070;874;6480;3172;2711;12623;819;2304
51;922;8784;9151;2628;7155;244;3324;424;8626
52;755;1109;1670;240;874;577;1878;1051;2674
53;19242;3010;946;6480;1332;1642;1457;3796;515
54;27758;1295;5581;2997;17222;4364;765;431;3164
55;22230;3697;1499;1102;693;398;168;870;1139
56;946;8186;1572;3095;215;1119;2023;101;2499
57;7686;6677;2794;617;331;1136;2027;1692;2820
58;1174;649;793;101;517;907;1831;257;699
59;1519;1548;477;4488;167;416;775;584;129
60;18067;5774;566;16366;1484;3309;2861;3132;918
61;6215;378;676;660;1552;85;308;847;237
62;1232;3820;1417;2717;5374;817;416;1343;344
63;666;1132;2164;464;849;520;374;962;1197
64;8353;6506;3190;1972;803;6161;4980;1853;1211
65;532;1081;13237;2758;2464;5872;455;287;3026
66;2703;3415;371;56;2500;1162;442;2349;626
67;14762;6167;14275;690;8243;2087;236;1320;2147
68;5696;15823;2661;1324;6662;2196;4514;2858;8906
69;51511;2528;879;4157;4883;1736;3170;8219;886
70;2268;7579;4526;649;317;3619;441;6085;2460
71;2669;1250;3874;4601;1510;10243;2892;2186;312
72;7270;1684;8704;7486;2008;5788;3086;1656;2651
73;2624;3812;986;1067;330;128;1205;244;579
74;391;776;2367;3966;1846;327;4596;36;1954
75;5196;2182;7374;1991;4045;800;9156;1357;12901
76;7143;6270;9227;946;2739;420;4456;2754;1537
77;1249;1757;353;322;1161;509;216;609;1221
78;1174;13803;6657;4750;1683;3343;3000;6029;574
79;863;343;60;3396;2577;523;879;71;798
80;6699;1249;1532;68;1990;3617;987;211;2250
81;5351;1565;2825;1251;3159;1351;2087;188;1007
82;15356;10975;3706;2037;7253;5393;2235;1487;916
83;2926;4760;5091;1659;483;933;686;502;2822
84;2597;3199;688;1803;1320;753;77;221;2851
85;7575;7528;508;9827;4390;1462;68;4630;1778
86;31969;7316;285;3474;3719;2810;2709;5567;353
87;905;3273;4140;6716;3326;4405;1173;936;700
88;3493;3799;3690;240;4762;6176;1096;6980;393
89;1614;6888;4972;572;1930;7223;4691;367;2612
90;8371;13765;8420;2918;3105;2012;2642;1616;852
91;6234;1130;91;2143;1169;1565;1858;634;119
92;534;2699;2097;962;421;469;573;628;1237
93;11741;7404;4328;1659;443;564;2236;2346;3197
94;4015;272;437;915;1451;946;962;893;141
95;689;913;888;303;363;466;125;1031;930
96;137;3744;4483;11800;10483;277;1488;8842;725
97;13130;11965;6662;2123;4318;860;2777;3271;1592
98;1834;5616;1334;2134;5555;1757;6121;7727;1068
99;5499;2965;11547;5015;3860;1750;76;3273;2930
100;111;561;508;98;2536;88;915;5953;1683
101;1713;22890;1606;4620;2343;4744;2054;2226;2092
102;4918;2360;1232;923;927;705;10635;7280;2510
103;22628;6989;2348;2502;740;3227;4931;4397;7369
104;2123;484;1756;2675;251;988;1012;393;924
105;365;850;4145;1472;185;469;1385;103;767
106;1131;4625;4481;4045;1817;4815;301;2607;724
107;18637;1513;231;1035;3630;1262;4138;1805;2699
108;8112;3149;703;1097;1909;10159;2276;169;308
109;1737;594;1335;2285;5737;1462;237;505;325
110;1149;1110;2302;6364;1455;6461;2744;874;733
111;10;16457;3331;350;7733;4588;785;1932;4807
112;1622;3459;1694;450;785;177;872;458;28
113;3447;2050;1743;1567;1850;476;6429;343;768
114;2585;251;993;556;5946;2711;3161;175;1210
115;1192;5458;142;404;617;1724;417;863;282
116;381;1809;1058;447;1223;1343;1057;1129;228
117;4986;3743;2500;12018;5850;483;272;2050;3595
118;7200;2132;70;907;842;428;926;92;1657
119;205;8689;6006;772;431;1219;4073;856;1102
120;5823;1027;231;83;676;745;164;2885;596
121;1701;291;1413;1853;1676;1720;1464;66;927
122;1454;23195;4329;266;3403;190;2015;1101;1850
123;5327;513;10132;405;924;4396;1495;123;2585
124;3824;2592;5264;47;596;6471;760;10911;548
125;995;765;258;153;1633;393;675;612;950
126;8151;3332;4558;1202;9707;6346;1520;689;882
127;2918;3957;4155;9847;882;2328;241;1093;7578
128;949;4743;123;1243;1177;1995;2053;662;3047
129;2194;606;383;2989;3943;1744;628;888;474
130;6703;1032;9367;8584;5925;5664;437;1551;407
131;473;3469;9280;3354;180;3629;1642;3790;2101
132;589;2217;2640;1738;121;785;3363;1656;497
133;4493;4514;4841;12501;3042;814;1039;3457;5168
134;1306;717;645;2794;320;729;179;379;213
135;2150;1266;329;6318;927;1541;1767;1672;284
136;7057;1927;601;3779;965;1279;494;1124;454
137;10382;272;3072;306;1074;116;5145;1894;5170
138;3167;3094;247;2712;299;1642;1201;476;377
139;52053;1397;317;2439;2012;5874;3609;1420;5056
140;4182;399;6695;780;1651;2180;564;737;2143
141;6719;1253;16780;3449;1904;9782;891;238;3038
142;1782;1292;2837;1098;665;3044;77;331;263
143;2307;174;265;1599;42;498;2052;522;203
144;717;1747;1392;2364;2996;2522;359;2281;2206
145;3435;650;541;869;1788;3577;816;848;268
146;5508;1125;5307;2601;284;2527;1192;4182;4732
147;1553;667;710;736;313;1190;333;241;1440
148;2285;4114;1383;5594;301;977;1002;305;407
149;634;109;1279;160;1983;267;819;668;207
150;1232;252;479;176;197;1166;898;155;3914
151;4822;887;116;2031;2615;12755;986;3391;57
152;4392;1735;2394;1303;1097;161;2213;1357;191
153;6226;3070;967;10371;6072;9858;1842;11730;102
154;75;66;1780;779;461;48;349;401;257
155;8255;882;261;1556;1063;229;357;2315;823
156;114;3026;2878;3276;952;319;570;1289;327
157;4270;1000;12006;1814;7183;2632;4705;7399;457
158;5945;12701;134;1218;3194;6542;1200;1163;1141
159;1203;2608;249;3799;898;856;178;2416;332
160;1867;3974;8840;11023;3168;629;590;3765;3236
161;8194;5835;2147;532;808;413;1101;5438;3899
162;1337;1564;3172;2114;453;84;2176;1492;1242
163;12761;1538;602;2368;176;3831;8134;7537;10459
164;4660;2698;3608;9070;1414;4057;3714;1174;1256
165;310;3408;5092;2124;6406;3991;1231;1237;2596
166;4375;12149;1052;5572;1280;825;5526;3801;654
167;3560;283;1128;4632;2465;1216;144;1442;192
