RLS-R2;EA2;pmut3.25
325;1182;1897;1525
326;5080;3032;6774
327;7429;5989;243
328;436;842;520
329;1342;6991;1098
330;1889;6469;3643
331;1803;619;1808
332;3755;1768;6183
333;759;75;1538
334;1061;697;361
335;480;505;105
336;284;280;127
337;162;1720;718
338;349;209;479
339;78;1998;1955
340;390;869;2348
341;1558;2658;424
342;481;265;253
343;2166;300;292
344;1311;4317;255
345;5209;1674;1748
346;4238;2853;5629
347;1489;1236;954
348;2854;779;634
349;1957;375;2126
350;5501;600;4751
351;690;578;1470
352;62;186;2057
353;1029;739;2251
354;12709;7001;798
355;15;491;2961
356;85;89;935
357;4120;2814;286
358;152;3306;8873
359;1244;4602;1831
360;2010;1704;347
361;4562;1532;572
362;2833;202;1947
363;10573;4232;5293
364;11889;1594;5704
365;835;114;1721
366;4773;1010;248
367;173;1318;528
368;602;889;1256
369;5349;3269;4832
370;584;443;1224
371;1793;9440;2037
372;1357;2512;12946
373;2519;1045;1470
374;514;2045;627
375;2284;2648;1874
376;551;1374;1993
377;229;489;1035
378;138;418;317
379;2744;141;94
380;1092;1187;1105
381;3161;1304;1724
382;2995;421;355
383;432;794;4261
384;690;606;6627
385;4862;3093;760
386;6213;176;107
387;245;369;510
388;421;103;727
389;3993;5432;2536
390;1253;3505;1044
391;5440;342;1234
392;1227;4592;96
393;1183;1348;517
394;1350;424;1904
395;345;1824;1211
396;3424;13302;340
397;3725;6228;5653
398;2103;4708;455
399;1250;161;2615
400;683;6675;1181
401;948;7829;333
402;2366;964;7295
403;773;3759;1199
404;2508;5875;247
405;4111;3522;5448
406;3951;8716;702
407;1108;7506;1232
408;443;371;416
409;1113;846;138
410;1310;2509;246
411;1731;668;1003
412;80;3347;722
413;1631;1072;1690
414;5179;12570;87
415;242;1503;1201
416;2787;997;5385
417;186;9297;1443
418;3727;5463;1045
419;445;3999;16056
420;612;548;491
421;2596;670;2528
422;198;1432;288
423;623;4260;4851
424;461;409;1388
425;12551;8245;67
426;7505;58;2021
427;1778;2790;4525
428;715;954;969
429;604;524;233
430;5227;237;668
431;1418;727;1478
432;4944;481;2206
433;2080;10386;360
434;270;1195;457
435;1887;3251;1997
436;149;820;1408
437;1058;241;326
438;1801;1318;368
439;976;1086;352
440;227;15848;4582
441;59;9116;1041
442;5032;2323;2693
443;4160;2074;2126
444;1141;167;1248
445;9406;3112;2461
446;2031;2860;1967
447;1746;1477;2354
448;18152;11529;197
449;589;389;2662
450;407;1116;1570
451;371;2720;2085
452;324;2763;825
453;2291;1486;995
454;1535;2556;6128
455;331;4940;1342
456;783;937;13
457;7061;1854;7275
458;398;329;404
459;6001;2503;7910
460;860;5671;1042
461;4690;10781;10605
462;139;652;3310
463;2836;6248;786
464;1353;6881;625
465;1379;2479;488
466;3704;1096;6483
467;2198;4622;2242
468;267;1090;5349
469;2850;1212;697
470;525;952;2871
471;528;650;1271
472;1423;3109;4818
473;448;3486;524
474;2385;6533;1211
475;1250;7900;1414
476;1875;5062;17550
477;324;289;772
478;2317;5669;379
479;423;374;1647
480;5309;1752;2066
481;194;2108;926
482;966;2104;700
483;1606;3929;289
484;2187;478;3620
485;2435;305;349
486;918;2329;3056
487;1919;1192;840
488;1431;490;337
489;1456;3320;1569
490;1535;758;854
491;249;6827;1463
492;2903;605;1430
493;550;171;485
494;1793;337;1533
495;827;2918;385
496;1533;387;890
497;1650;3620;1610
498;656;772;908
499;623;458;144
500;1425;681;338
501;4225;5477;592
502;1578;829;769
503;8382;3028;1870
504;150;1403;289
505;1761;1631;2501
506;580;1728;555
507;2000;3368;8021
508;1173;755;125
509;1025;3093;3100
510;600;1479;2058
511;1163;6774;5687
512;7247;12726;10520
513;160;398;432
514;2261;3599;223
515;143;1226;238
516;8503;4710;3918
517;231;5926;536
518;264;1919;790
519;3194;1465;5844
520;3345;4916;8430
521;254;1805;183
522;270;1397;1740
523;1249;11397;1226
524;710;3336;677
525;363;1717;400
526;625;442;376
527;642;975;194
528;1852;1362;1954
529;4782;370;3166
530;1009;1156;449
531;280;1905;907
532;244;537;325
533;293;867;322
534;937;570;1030
535;2853;820;449
536;1300;12005;4914
537;4292;8318;4977
538;2899;1116;635
539;229;1029;2441
540;1853;755;4078
541;493;505;212
542;1044;727;1049
543;617;498;205
544;549;493;1637
