RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
10000;10000;10000;10000;10000;10000;10000
921030;921030;921030;921030;921030;921030;921030
0;1376;1336;8604;1536;4488;2758;24310
1;225;616;2412;3813;3490;131;1413
2;558;3115;1158;456;257;1065;2590
3;276;258;1769;3630;678;521;1634
4;3935;10282;5672;9657;2648;8175;4972
5;4847;8671;4944;2722;2163;1673;240
6;1101;9847;12328;10690;2421;734;2069
7;10017;12185;3175;2516;3431;3749;1567
8;1579;3887;1204;1321;3762;162;310
9;612;6004;1059;1804;6441;1452;4126
10;2391;6188;468;494;1966;1967;1080
11;561;2613;982;10840;1170;1230;2130
12;616;69;9519;3099;2385;2320;1777
13;8465;235;13311;1152;548;586;10931
14;295;1717;1028;771;449;390;1573
15;2299;1811;1969;6793;6611;401;368
16;1295;265;1998;1318;591;1143;752
17;195;894;4741;580;883;596;1099
18;1124;248;269;2928;1065;896;887
19;1007;245;229;680;171;342;836
20;1337;301;762;2568;2347;2907;2885
21;2047;644;17338;360;2963;4733;8265
22;456;1432;583;1983;236;2862;3184
23;592;2675;6510;7073;856;629;2242
24;401;436;5764;901;781;283;492
25;1604;152;2412;1471;819;4411;756
26;1277;5530;666;9021;200;283;52
27;2791;733;1651;3509;13824;774;1529
28;211;22;535;3341;297;784;226
29;5748;10179;4614;5892;773;94;11031
30;1876;3449;4964;13628;9168;1647;2381
31;694;2240;2723;1956;309;1302;339
32;394;396;1434;9737;250;3085;1144
33;71;249;3843;12866;1220;921;3132
34;2286;1977;2169;365;514;1380;42
35;457;3230;2513;4304;414;4582;10141
36;160;2645;5328;200;229;372;2590
37;222;1521;1056;1757;1211;2193;475
38;532;1133;392;4659;316;117;2385
39;496;2192;5193;138;1748;2800;546
40;402;4023;350;152;2929;342;1195
41;125;637;1330;11965;2458;1645;394
42;1595;13937;2401;12014;3116;371;2795
43;1209;7189;1098;3057;2244;7817;3651
44;324;225;3333;1877;529;2651;6645
45;142;490;948;1330;501;1149;1286
46;3594;16053;1973;2828;50;8787;259
47;2324;484;1181;609;430;1513;2365
48;2710;1247;3883;12431;2278;9166;1654
49;819;2814;405;5477;210;85;3032
50;4252;2611;14277;3752;3934;1254;5392
51;2779;13061;2523;38236;938;2110;2181
52;815;5049;3458;11479;1812;6493;2103
53;409;3539;11052;11905;1857;1903;8208
54;347;1369;5492;7991;1155;735;10134
55;1127;4387;1062;9891;849;1333;4362
56;1785;464;2326;3578;785;682;504
57;523;1860;28730;3520;364;8713;1779
58;1059;996;6353;976;3783;1505;5066
59;674;209;1538;2325;592;820;490
60;179;7650;2436;9395;1891;414;8472
61;657;1207;840;82;1640;1107;16
62;274;627;2269;1534;213;261;724
63;598;5789;12470;329;3992;178;760
64;1149;5823;7241;2582;367;4843;883
65;1848;3718;407;3039;2047;2425;1202
66;1138;10096;2733;25252;1022;5516;2436
67;836;3374;2912;1962;196;130;333
68;298;226;1280;2063;876;1835;206
69;158;4741;261;13802;2256;1543;4440
70;1938;645;11365;11576;3391;2819;4409
71;874;1063;1619;825;1022;765;1393
72;6070;590;4902;28661;2462;3727;171
73;1109;690;762;1895;642;1274;198
74;164;431;3287;3352;282;2596;158
75;1487;3961;2341;2476;1130;840;1042
