0;fail;957;1481;384;158;536;428
1;fail;534;499;2820;262;592;447
2;fail;1027;218;120;244;262;1061
3;fail;1182;370;717;584;300;496
4;fail;1097;674;409;757;2494;1850
5;fail;443;1939;200;347;233;855
6;fail;4338;1057;442;3181;2641;2577
7;fail;402;1171;776;405;703;365
8;fail;212;672;146;82;151;145
9;fail;1913;326;209;786;800;2138
10;fail;387;120;741;778;956;1406
11;fail;473;591;297;622;565;2934
12;fail;1379;1471;2025;367;356;2373
13;fail;380;1984;1067;262;1017;2896
14;fail;501;458;1261;1581;618;564
15;fail;3591;474;120;959;199;1462
16;fail;255;104;625;1129;187;738
17;fail;260;878;257;880;490;1635
18;fail;513;1971;2145;392;552;5080
19;fail;1132;369;216;344;288;724
20;fail;2871;1659;1514;240;1229;7563
21;fail;892;916;696;4374;1557;3645
22;fail;1031;533;667;2792;2588;457
23;fail;932;242;203;273;592;715
24;fail;880;582;694;121;2378;4264
25;fail;1053;273;266;125;136;2571
26;fail;385;1074;768;138;394;1815
27;fail;2376;323;539;492;525;3411
28;fail;1236;379;1825;442;600;3223
29;fail;1440;573;111;847;1757;3175
30;fail;427;352;941;1037;1401;922
31;fail;968;1408;1389;955;238;236
32;fail;1579;903;254;281;135;180
33;fail;897;455;1592;1936;616;556
34;fail;236;864;264;3521;685;781
35;fail;1420;280;2133;454;1270;637
36;fail;1616;275;385;243;565;917
37;fail;965;144;1398;813;278;160
38;fail;1214;161;454;245;458;132
39;fail;445;352;1772;283;1146;1920
40;fail;1691;608;998;227;1244;358
41;fail;1091;631;1223;901;89;295
42;fail;1567;157;123;1698;282;4150
43;fail;1070;456;513;298;1770;794
44;fail;203;477;191;1312;447;3639
45;fail;820;897;317;353;165;1852
46;fail;1652;1182;140;177;471;1142
47;fail;2515;492;742;1051;349;1531
48;fail;395;176;213;352;198;1223
49;fail;769;868;575;1511;383;471
50;fail;1573;249;690;675;324;5539
51;fail;1011;1344;703;881;240;14101
52;fail;649;3304;657;536;281;1971
53;fail;448;395;357;333;731;3840
54;fail;3013;575;133;947;788;4662
55;fail;696;1776;1478;415;527;978
56;fail;146;375;177;1001;339;440
57;fail;610;711;854;372;4871;7
58;fail;403;664;224;157;768;1099
59;fail;1552;200;1641;225;406;1849
60;fail;596;502;850;213;492;4278
61;fail;1135;546;719;332;1724;1093
62;fail;466;396;187;2205;456;365
63;fail;1356;782;906;400;1225;4057
64;fail;250;1310;261;1788;584;2140
65;fail;1631;785;649;254;322;1466
66;fail;2087;324;225;294;353;603
67;fail;708;304;779;161;416;614
68;fail;808;574;525;481;275;2075
69;fail;829;294;1752;2442;2886;1536
70;fail;3017;331;1272;639;358;1289
71;fail;219;445;623;623;308;1933
72;fail;652;1096;215;310;408;2560
73;fail;3532;304;687;81;1031;8121
74;fail;851;1801;661;387;88;2193
75;fail;527;1995;297;1003;149;460
76;fail;826;174;1229;117;341;950
77;fail;425;229;1009;620;786;8182
78;fail;1559;610;504;630;483;414
79;fail;2226;1082;567;547;329;1523
80;fail;997;698;2726;1235;1262;535
81;fail;620;4094;1333;242;422;3786
82;fail;2778;487;1286;1204;110;331
83;fail;832;1096;262;387;1576;309
84;fail;634;826;185;668;847;517
85;fail;288;238;1181;542;1419;195
86;fail;2877;754;502;549;147;1506
87;fail;1328;1220;248;771;1550;445
88;fail;711;3244;800;78;120;207
89;fail;2123;988;1234;310;1384;1081
90;fail;461;194;280;196;231;3586
