0;fail;170;372;207;128;283;1170;16718;2813
1;fail;1406;767;305;403;355;4677;39;6098
2;fail;84;209;1062;872;241;237;12029;17030
3;fail;4326;1861;415;82;204;176;15858;8269
4;fail;1316;851;295;287;1826;452;364;2793
5;fail;954;137;214;252;438;48;5866;5747
6;fail;208;1765;926;335;614;4380;20587;694
7;fail;250;371;209;206;141;1258;6527;28178
8;fail;487;1281;1263;358;1369;3059;24834;64971
9;fail;856;321;1864;264;242;2130;6835;13508
10;fail;1148;2318;1349;767;1969;1237;12851;6999
11;fail;699;1075;2054;627;248;243;1548;29937
12;fail;353;1109;829;2062;316;869;6996;32086
13;fail;306;335;738;1027;679;335;3934;20613
14;fail;4465;1919;636;1059;699;878;2482;20033
15;fail;1524;324;532;983;1324;246;1969;2368
16;fail;872;754;853;1360;1242;1625;18577;5377
17;fail;919;552;521;448;360;1440;12360;23476
18;fail;2179;1928;2400;84;1066;754;254;3357
19;fail;445;648;775;305;1085;670;463;7608
20;fail;768;1118;2145;812;425;1789;16425;959
21;fail;1163;416;160;229;562;1431;10230;10302
22;fail;394;239;1358;287;106;584;2393;37340
23;fail;1835;949;605;197;1571;2965;11149;31578
24;fail;627;499;543;786;683;1881;2828;28878
25;fail;434;1569;239;104;798;2775;4661;12061
26;fail;1788;1796;1398;1399;648;2667;3202;1420
27;fail;106;1456;263;695;822;1412;4193;8088
28;fail;2838;643;617;947;295;2428;4323;69817
29;fail;597;646;444;469;1014;179;1850;839
30;fail;1255;1627;336;183;1327;704;9809;20315
31;fail;695;549;661;135;249;4975;2858;4191
32;fail;447;374;184;488;126;4525;1878;7917
33;fail;2127;1851;456;337;1331;328;1395;2852
34;fail;3723;706;1513;292;669;903;704;11857
35;fail;499;352;189;473;868;2122;29691;3960
36;fail;721;745;1388;307;160;777;143;8966
37;fail;257;341;401;516;2022;844;7056;18189
38;fail;891;375;468;367;635;596;2411;10599
39;fail;750;1051;1082;413;585;192;298;7467
40;fail;614;570;220;1216;701;1559;460;53370
41;fail;561;711;188;240;307;1591;237;13729
42;fail;536;101;102;1918;1755;1609;10149;24678
43;fail;7372;377;1621;1588;256;3359;3064;82007
44;fail;1176;1234;162;689;715;5363;25818;12739
45;fail;316;303;719;522;306;537;5784;2695
46;fail;328;1384;1290;1880;576;643;5241;2939
47;fail;568;547;468;1008;458;1582;11946;38498
48;fail;2627;306;389;825;365;2350;2507;3176
49;fail;2449;427;629;145;255;2016;11853;4554
50;fail;1976;279;896;628;1370;4401;10582;83817
51;fail;1655;3172;1028;2270;762;117;2850;13735
52;fail;284;242;1211;350;1557;2453;5753;22173
53;fail;2029;1172;646;470;1700;927;12935;43509
54;fail;528;749;433;232;120;1173;5307;1125
55;fail;244;4952;1036;1231;516;1596;2747;30374
56;fail;945;388;367;295;34;6140;5714;38961
57;fail;565;366;440;218;122;3228;2925;4052
58;fail;738;484;687;484;409;98;21304;4708
59;fail;1248;964;574;119;101;468;7332;23374
60;fail;2591;905;339;690;36;41;5832;3199
61;fail;1688;465;915;533;435;563;5740;1032
62;fail;1586;1738;451;964;191;165;7582;14139
63;fail;264;440;244;170;148;389;1598;13351
64;fail;430;912;623;146;619;67;203;5898
65;fail;1487;272;385;460;1973;259;3279;28490
66;fail;908;1406;812;243;1602;2563;9832;24881
67;fail;1357;1952;2356;834;332;5093;2886;6418
68;fail;1496;292;181;575;1955;3274;15704;879
69;fail;1112;573;183;1009;943;4418;4067;34072
70;fail;3900;765;96;191;782;207;6275;5465
71;fail;670;144;681;340;498;2127;1850;1695
72;fail;4603;333;231;1135;1264;1057;2536;5336
73;fail;836;1091;401;507;90;155;3192;4431
74;fail;522;2129;430;556;931;1139;7489;5274
75;fail;511;763;457;1503;712;360;10904;45376
76;fail;1706;111;2009;891;1273;1326;522;22714
77;fail;1200;880;519;218;687;4256;220;14760
78;fail;377;805;230;246;621;1156;5227;593
79;fail;419;1550;603;521;198;9406;12431;24349
80;fail;1198;190;384;2273;1445;1522;7820;6736
81;fail;1733;218;272;1483;560;506;6523;18386
82;fail;3157;237;247;1080;225;2098;4703;75344
83;fail;2604;412;793;664;608;2622;6857;2764
84;fail;617;280;507;210;846;930;496;7233
85;fail;407;338;174;702;486;1944;4300;7578
86;fail;390;397;349;4043;182;551;7702;7947
87;fail;945;432;184;742;60;2813;3888;6710
88;fail;899;419;493;1825;539;6160;999;6944
89;fail;1368;429;367;1382;367;1711;20398;11870
90;fail;819;247;143;544;1329;337;5303;5696
91;fail;857;981;1136;410;784;882;1733;59042
92;fail;616;475;1387;385;557;3701;3115;10389
93;fail;1350;141;925;1545;367;881;6399;8328
94;fail;1355;3167;980;354;307;1496;7887;10402
95;fail;530;212;348;85;347;1148;9242;1028
96;fail;2012;513;116;577;412;3738;3635;971
97;fail;857;315;280;189;1004;1121;3314;18412
98;fail;2235;317;901;401;477;1247;4037;27779
99;fail;4265;2372;496;465;280;1221;5930;8225
100;fail;381;543;789;1276;606;1247;7502;16359
101;fail;613;982;283;444;169;432;24297;14852
102;fail;2320;1027;519;259;131;1627;9262;14770
103;fail;730;329;2592;580;323;127;12751;8756
104;fail;705;584;595;767;363;789;11945;3531
