0;fail;6184;2705;649;1926;7422;2978;3156;18256
1;fail;6648;1167;6671;777;1890;4208;22658;51869
2;fail;5996;994;460;244;523;36;6903;21182
3;fail;937;2324;553;686;420;2292;4480;7291
4;fail;8098;4838;3378;1086;518;9073;24926;fail
5;fail;7181;1130;359;1375;2795;4024;40089;4773
6;fail;2009;622;56;1169;718;5879;15424;28163
7;fail;3925;1163;506;551;717;2125;fail;36702
8;fail;12694;548;428;381;2907;676;30489;fail
9;fail;1948;50;1338;1610;1842;3689;2914;fail
10;fail;1950;272;1000;8768;34;7545;12465;1434
11;fail;1156;936;318;2294;4077;14290;38947;fail
12;fail;3095;66;1235;2267;1650;276;9369;7973
13;fail;3871;2724;786;8671;489;20548;47039;fail
14;fail;1685;1953;1868;2119;828;7211;4307;33313
15;fail;4692;1745;1184;967;935;803;1998;45760
16;fail;1401;458;582;300;99;5218;29799;35803
17;fail;11828;1776;2159;1604;574;1018;16541;17582
18;fail;1933;5812;762;354;6696;1953;8470;4654
19;fail;3725;966;865;2469;1231;4899;38257;fail
20;fail;8388;250;2688;4084;1854;1642;6734;fail
21;fail;896;1878;925;1400;2004;6105;22305;6069
22;fail;1774;666;733;1698;3120;1705;42158;9975
23;fail;1462;1550;2093;1161;149;2361;9314;fail
24;fail;920;2896;518;758;379;3569;35088;58193
25;fail;341;1491;952;2821;3250;2095;947;36756
26;fail;1780;1386;2651;548;1190;1170;33504;4102
27;fail;4071;6160;275;357;431;2990;2801;3516
28;fail;15626;1033;1597;1186;1616;43186;20096;68856
29;fail;3040;1220;3215;858;950;9255;37572;32866
30;fail;1266;858;3383;378;1149;903;47164;755
31;fail;491;2288;3020;2726;1576;29235;12747;fail
32;fail;11463;1551;3624;1500;1419;5343;34365;15591
33;fail;1035;2634;1571;2097;1713;8867;2899;7921
34;fail;338;4419;281;342;8678;813;fail;42613
35;fail;3382;828;640;500;506;1413;31175;41791
36;fail;1384;295;1850;1148;4803;2953;1160;8137
37;fail;1292;7938;931;851;1168;1596;7013;15346
38;fail;1664;7352;1262;812;223;5907;13843;23668
39;fail;2768;251;1183;313;1938;2713;38278;fail
40;fail;301;7497;1961;1178;1253;2635;20058;28454
41;fail;2557;2059;4827;1950;3051;664;25300;9024
42;fail;690;1166;1036;366;867;1877;16720;fail
43;fail;1934;1509;1464;599;1699;8626;4754;36767
44;fail;623;924;3613;802;2432;2391;41066;44701
45;fail;4782;4956;4471;928;2727;954;2516;12885
46;fail;381;416;298;1477;1729;645;26007;9324
47;fail;258;247;217;1326;1289;12705;9859;11769
48;fail;4242;4012;1184;461;1934;1092;21914;9452
49;fail;1204;853;358;524;1944;1156;46691;4874
50;fail;1161;9060;1168;449;1012;6379;47723;27101
51;fail;613;277;1791;701;5241;3175;15682;fail
52;fail;92;524;3500;1534;975;5943;21312;fail
53;fail;1509;303;2890;433;1218;1695;4519;13493
54;fail;295;678;556;546;800;6073;6206;fail
55;fail;2089;6120;258;1758;1863;5761;15583;3474
56;fail;11009;7509;3789;4711;2573;8678;66948;fail
57;fail;1262;317;1424;1148;1365;4432;43168;10447
58;fail;5704;2744;2108;2559;4905;1024;346;fail
59;fail;298;2105;7588;419;1933;509;1882;45370
60;fail;4707;344;4629;260;4151;864;fail;61378
61;fail;3119;565;1681;197;988;1512;8423;2672
62;fail;2773;719;414;783;448;72;6680;6165
63;fail;5697;260;2362;1144;2062;9687;20892;1263
64;fail;7156;493;970;3604;3043;1709;49184;fail
65;fail;441;2101;2685;1864;178;116;11691;972
66;fail;1223;3518;580;1216;3454;6938;6456;fail
67;fail;3382;1139;493;2892;970;1244;5349;153
68;fail;2980;1357;2031;530;238;4762;fail;fail
69;fail;1478;7676;2203;2375;299;3181;39906;19504
70;fail;29741;658;1524;4858;859;378;33529;fail
71;fail;1006;1944;11477;497;1884;3759;5111;6399
72;fail;466;2957;1300;5248;5556;1011;6075;fail
73;fail;2814;3117;176;417;592;1899;21471;1777
74;fail;470;847;214;2361;4161;1961;106;12287
75;fail;340;1630;1699;358;7262;6422;15269;24533
76;fail;2568;25;4680;106;437;418;30067;8004
77;fail;9615;2569;2562;1409;1236;4215;fail;fail
78;fail;5594;1185;7250;3719;483;8630;29501;41652
79;fail;2822;1229;374;1651;4769;18450;30660;43407
80;fail;1879;558;4706;445;1999;933;50487;2325
81;fail;2480;770;1406;137;1496;2367;807;408
82;fail;7311;505;408;956;3619;1421;1043;fail
83;fail;4420;613;1402;1514;899;963;17567;fail
84;fail;1123;142;369;1319;418;2045;14515;25368
85;fail;2642;1104;1199;428;1327;2555;fail;23111
86;fail;964;1453;3739;269;4350;431;42775;fail
87;fail;1359;2711;739;514;633;5144;10524;58162
88;fail;843;1505;4363;409;1866;25276;2301;10458
89;fail;4328;1319;776;958;2520;501;7249;16627
90;fail;3754;1076;570;5389;3658;332;59428;fail
91;fail;579;1254;2429;1798;1005;2884;16220;54262
92;fail;344;594;531;489;1933;734;9840;61920
93;fail;3802;368;4454;4673;3018;3766;17480;fail
94;fail;7730;215;470;632;1101;1664;22025;4763
95;fail;942;6266;315;2492;1692;9126;17267;28144
96;fail;2252;2478;5759;451;483;1373;10892;fail
97;fail;11396;1184;3176;2526;2718;178;55868;8319
98;fail;3594;6597;723;3193;1098;1316;7974;9929
