id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
106;4;100;0,40;1000;0;9;1;298;0,298
107;4;1000;0,40;1000;0;25;5;90;0,090
108;4;10000;0,40;1000;0;69;16;22;0,022
109;4;100000;0,40;1000;0;234;50;9;0,009
110;4;10;0,50;1000;0;2;0;724;0,724
111;4;100;0,50;1000;0;8;1;313;0,313
112;4;1000;0,50;1000;0;27;4;117;0,117
113;4;10000;0,50;1000;0;70;15;36;0,036
114;4;100000;0,50;1000;0;240;51;7;0,007
115;4;10;0,60;1000;0;2;0;734;0,734
116;4;100;0,60;1000;0;8;1;288;0,288
117;4;1000;0,60;1000;0;26;5;118;0,118
118;4;10000;0,60;1000;0;77;15;46;0,046
119;4;100000;0,60;1000;0;375;51;12;0,012
120;4;10;0,70;1000;0;2;0;745;0,745
121;4;100;0,70;1000;0;7;1;344;0,344
122;4;1000;0,70;1000;0;32;4;124;0,124
123;4;10000;0,70;1000;0;107;15;43;0,043
124;4;100000;0,70;1000;0;285;48;15;0,015
125;4;10;0,80;1000;0;2;0;778;0,778
126;4;100;0,80;1000;0;6;1;369;0,369
127;4;1000;0,80;1000;0;23;3;137;0,137
128;4;10000;0,80;1000;0;64;12;51;0,051
129;4;100000;0,80;1000;0;237;42;18;0,018
130;4;10;0,90;1000;0;2;0;885;0,885
131;4;100;0,90;1000;0;5;0;459;0,459
132;4;1000;0,90;1000;0;15;3;184;0,184
133;4;10000;0,90;1000;0;48;9;65;0,065
134;4;100000;0,90;1000;0;155;31;20;0,020
135;5;10;0,10;1000;0;2;0;949;0,949
136;5;100;0,10;1000;0;5;0;438;0,438
137;5;1000;0,10;1000;10;51;34;0;0,000
138;5;10000;0,10;1000;378;497;450;0;0,000
139;5;100000;0,10;1000;4592;5006;4840;0;0,000
140;5;10;0,20;1000;0;2;0;956;0,956
141;5;100;0,20;1000;0;10;3;111;0,111
142;5;1000;0,20;1000;44;99;78;0;0,000
143;5;10000;0,20;1000;837;1000;932;0;0,000
144;5;100000;0,20;1000;9461;10011;9794;0;0,000
145;5;10;0,30;1000;0;1;0;909;0,909
146;5;100;0,30;1000;0;16;7;21;0,021
147;5;1000;0,30;1000;92;148;125;0;0,000
148;5;10000;0,30;1000;1318;1494;1423;0;0,000
149;5;100000;0,30;1000;14322;15005;14760;0;0,000
150;5;10;0,40;1000;0;2;0;840;0,840
151;5;100;0,40;1000;0;19;11;2;0,002
152;5;1000;0,40;1000;138;201;174;0;0,000
153;5;10000;0,40;1000;1812;1994;1918;0;0,000
154;5;100000;0,40;1000;19347;19983;19743;0;0,000
155;5;10;0,50;1000;0;3;0;711;0,711
156;5;100;0,50;1000;3;25;16;0;0,000
157;5;1000;0,50;1000;186;249;223;0;0,000
158;5;10000;0,50;1000;2232;2500;2416;0;0,000
159;5;100000;0,50;1000;24354;24996;24742;0;0,000
160;5;10;0,60;1000;0;3;0;549;0,549
161;5;100;0,60;1000;8;30;21;0;0,000
162;5;1000;0,60;1000;229;300;274;0;0,000
163;5;10000;0,60;1000;2818;3008;2916;0;0,000
164;5;100000;0,60;1000;29319;30000;29740;0;0,000
165;5;10;0,70;1000;0;4;1;289;0,289
166;5;100;0,70;1000;16;35;27;0;0,000
167;5;1000;0,70;1000;288;351;325;0;0,000
168;5;10000;0,70;1000;3317;3504;3424;0;0,000
169;5;100000;0,70;1000;34336;34996;34759;0;0,000
170;5;10;0,80;1000;0;4;1;76;0,076
171;5;100;0,80;1000;24;40;33;0;0,000
172;5;1000;0,80;1000;347;398;378;0;0,000
173;5;10000;0,80;1000;3841;4003;3934;0;0,000
174;5;100000;0,80;1000;39457;40016;39793;0;0,000
175;5;10;0,90;1000;0;5;2;2;0,002
176;5;100;0,90;1000;32;45;39;0;0,000
177;5;1000;0,90;1000;412;452;434;0;0,000
178;5;10000;0,90;1000;4367;4495;4449;0;0,000
179;5;100000;0,90;1000;44552;45002;44842;0;0,000
180;6;10;0,10;1000;0;2;0;972;0,972
181;6;100;0,10;1000;0;3;0;781;0,781
182;6;1000;0,10;1000;0;10;1;404;0,404
183;6;10000;0,10;1000;0;35;4;173;0,173
184;6;100000;0,10;1000;0;117;13;48;0,048
185;6;10;0,20;1000;0;1;0;985;0,985
186;6;100;0,20;1000;0;6;0;667;0,667
187;6;1000;0,20;1000;0;16;1;319;0,319
188;6;10000;0,20;1000;0;41;5;125;0,125
189;6;100000;0,20;1000;0;181;19;41;0,041
190;6;10;0,30;1000;0;2;0;964;0,964
191;6;100;0,30;1000;0;4;0;627;0,627
192;6;1000;0,30;1000;0;18;1;301;0,301
193;6;10000;0,30;1000;0;61;6;111;0,111
194;6;100000;0,30;1000;0;155;21;43;0,043
195;6;10;0,40;1000;0;1;0;963;0,963
196;6;100;0,40;1000;0;6;0;604;0,604
197;6;1000;0,40;1000;0;19;2;283;0,283
198;6;10000;0,40;1000;0;57;7;100;0,100
199;6;100000;0,40;1000;0;252;23;22;0,022
200;6;10;0,50;1000;0;2;0;929;0,929
201;6;100;0,50;1000;0;5;0;606;0,606
