;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
137;fail;5333;4506;904;129453;118724;51928
138;5042;790;76646;38081;7815;37328;18376
139;17735;2206;8548;55774;72423;8917;10386
140;3267;66;55019;4007;6580;16332;24116
141;6059;30238;25115;40155;163095;28646;16031
142;fail;7722;110644;80910;27399;79354;62362
143;fail;33806;21688;12627;31488;17325;11175
144;10273;9607;34692;1255;502;34784;598
145;fail;4475;8322;6333;1274;1941;10886
146;3372;10314;6443;8504;9896;26287;18798
147;11171;8286;28552;10736;267332;7219;24117
148;7251;36571;3910;30144;14795;19989;64247
149;fail;17925;18508;41956;7393;21912;35579
150;9984;1724;10879;8113;21646;106807;6633
151;5017;43864;8630;60306;4051;32412;683
152;fail;30613;8629;31317;44761;3685;61413
153;fail;7386;97720;1539;58429;58702;23791
154;fail;41051;1495;28424;10424;9778;13541
155;19694;1825;22451;27095;19572;63290;32701
156;6196;1350;26322;25828;61139;6205;37396
157;fail;2616;444;75862;8060;12673;48914
158;14281;84250;42196;3126;11914;4702;3824
159;fail;10503;30841;31308;2155;2003;1723
160;30804;21218;6084;35655;7242;65304;6348
161;11543;8916;46492;124871;96637;68373;21169
162;1086;16019;11285;5711;16777;6338;13359
163;8312;6917;51231;63563;125143;42259;3016
164;30139;12443;3683;42400;21405;5885;39237
165;fail;59437;132345;59834;1665;27509;59138
166;1007;28876;20050;4108;11952;5366;35204
167;fail;2866;1511;28958;10116;43597;9357
168;fail;26774;12130;524;1456;7677;2663
169;fail;16528;37835;8837;1956;10891;362
170;2651;6368;27364;11639;3616;31731;41738
171;fail;11151;9909;13333;6247;10678;22482
172;2222;530;13821;41127;16053;13141;15150
173;4438;33979;36054;38817;28875;1379;32162
174;188;28596;6190;31529;29346;1549;2454
175;19286;9896;812;43464;6188;78417;17433
176;fail;3182;14024;33863;1592;36935;23029
177;27219;15711;55567;8981;4389;15804;10280
178;9720;4865;29003;2152;12918;7056;5989
179;11264;5301;66264;104655;11902;4299;11314
180;14079;2192;15485;38733;17005;71707;1757
181;34048;12284;7003;71334;30123;25919;45495
182;12929;2850;2203;16357;5220;6756;11455
183;fail;9131;5527;15683;31305;2410;16637
184;10427;13172;15368;8280;12233;11974;18771
185;4317;8824;6571;7530;205;3299;369
186;27954;13864;17552;95164;1707;36103;6148
187;9223;37951;3277;47025;106722;52337;11035
188;142;26292;2187;27518;9931;34079;6031
189;2373;605;37242;6722;12561;19335;29478
190;fail;10183;1951;5841;30338;9045;12476
191;fail;3516;998;15213;15730;5491;3740
192;10886;2273;20452;2662;47792;3599;15763
193;fail;9227;17838;21873;1364;50551;121979
194;14192;29280;9688;43884;21686;15056;6341
195;fail;11035;28910;8254;3913;35814;56461
196;fail;27890;70442;63493;1360;156;8356
197;fail;19189;36227;43486;12920;28379;7563
198;fail;24263;9000;3724;8186;20974;30797
199;16012;18533;38051;13012;8046;45792;3062
200;4427;34251;182;5433;17204;62681;1629
201;fail;12224;17821;12576;26853;73739;8042
202;fail;21562;2356;21844;4380;3798;9540
203;4058;2107;5869;56776;6069;21588;58302
204;4733;2249;13466;13417;4672;38663;39701
205;fail;16641;6139;25704;151692;38266;15474
206;38146;45726;12051;51069;7810;2175;21972
207;8889;34802;1652;23231;28611;8802;50453
208;fail;15985;4148;48;58855;44119;17602
209;10739;3208;37623;28134;5993;28536;10707
210;8841;16248;7640;39890;35444;32691;15563
211;36364;47768;31067;2487;99759;33082;17970
212;4754;21694;2064;4729;40859;15909;24330
213;fail;26087;10260;41118;71584;33841;87796
214;5329;9001;39418;13010;4704;1975;16290
215;26796;8999;12952;98890;20874;44002;9995
216;fail;26120;11094;1939;64114;46965;22927
217;fail;59680;5693;31058;23729;37096;20432
218;fail;6111;10382;11827;3631;6972;4388
219;fail;66038;37084;16071;25448;156764;14789
220;14267;6302;52477;49204;40370;26051;27369
221;44161;19565;3507;31660;131322;5595;10357
222;29064;18516;19563;24802;30071;1086;7991
223;fail;40003;73742;6623;47849;2136;8725
224;fail;46554;44522;11049;6115;1815;21211
225;fail;36938;11685;15987;4784;14617;35248
226;1775;6957;59527;7246;76908;6315;6838
227;30010;933;43104;19695;9212;55049;5031
228;fail;18746;33225;5872;6631;82955;16915
229;fail;26984;58455;48699;18614;1688;15246
230;47361;2465;4451;7151;10024;715;66198
231;fail;21087;49069;2663;6274;49983;19625
232;16048;17556;10521;21253;4327;7257;14954
233;3670;10894;29034;1575;13376;5915;15871
234;fail;16648;15183;3599;61277;17555;4180
235;fail;5042;20429;23133;5774;6438;40710
236;18314;16438;97;38584;9575;2307;28545
237;6643;24361;30071;24254;133095;4658;263
238;fail;24959;35861;11400;3811;1829;6092
239;8469;10179;962;37281;34823;22220;25448
240;11021;2303;8444;24985;6025;18964;2100
241;28912;8293;3801;13917;1137;67314;25378
242;13662;10721;3339;59125;61415;4827;21847
243;fail;3853;3535;5655;7066;694;34078
244;fail;22719;25297;5981;13341;1346;10324
245;fail;18702;12219;5778;82407;8928;30929
246;4337;33291;16852;4613;78501;13140;8649
247;4929;3133;131112;14388;59650;1291;14477
248;4297;97519;30786;3955;15052;18373;96488
249;65111;2774;361;78843;22318;28685;5936
250;2419;14070;5460;36890;6165;35400;60456
251;16099;4369;15346;3125;71524;13417;1932
252;15231;31414;28331;3137;64430;46530;39414
253;fail;36211;16156;14175;4828;42105;45214
254;fail;68262;42471;94498;10866;1260;3478
255;21740;21674;52674;63453;9009;42315;15459
256;13782;768;11195;10501;14124;1939;16966
257;fail;2765;58209;58653;18195;2261;31519
258;17388;19123;35099;36440;10015;7865;23999
259;3540;4171;20176;33603;48425;258;14982
260;5556;6941;26934;30221;24408;16460;36829
261;fail;61926;28316;11251;33361;52520;962
262;16193;18110;22906;27771;43757;76876;14401
263;10593;47033;1890;16655;6500;77906;68677
264;2067;6598;15531;33508;24556;6837;16464
265;17479;2504;75166;53234;58396;14860;62173
266;fail;8033;11304;2222;4955;228871;9573
267;3504;1969;20321;11938;25448;2355;1992
268;21699;2467;34799;18678;13286;2790;7269
269;fail;5057;9239;39668;12830;25483;59970
270;47546;17775;25364;9846;25288;6074;2756
271;5338;30276;5416;2157;26855;97604;37718
272;fail;44771;55483;33130;15802;16996;78499
273;fail;10462;88641;10864;5504;32567;52791
274;1510;2451;18158;15521;45680;52914;20257
275;fail;7544;159639;39437;4436;10092;5758
276;fail;21538;40622;10145;758;10485;4297
277;fail;33189;53117;10195;28247;49578;119367
278;9660;9882;36271;46282;5897;15634;428
279;fail;27727;13255;20860;61883;3263;19568
280;fail;31602;4030;94766;144982;5552;7449
281;16516;3063;71128;3524;1716;33087;23797
282;2606;39858;5945;45045;4983;64471;23914
283;fail;6378;17578;83217;221419;3789;22304
284;fail;26373;39469;20057;3635;30825;13813
285;2675;13976;28125;1424;4030;6258;3330
286;fail;2236;15599;17046;4198;10565;44996
287;11249;30899;33249;22033;9858;11828;51907
288;1653;10848;77120;41019;26624;14969;53113
289;fail;46742;56430;21035;98985;10813;39710
290;6560;18657;16256;131522;51455;15892;997
291;fail;21290;23379;33803;2359;17700;2668
292;22648;37650;49812;17117;8940;56;4804
293;fail;25290;96438;26971;19222;14990;21752
