n: 10
p: 0,20
--------------
length:          10;          12;          14;          16;          18;          20
count;       10.000;      10.000;      10.000;      10.000;      10.000;      10.000
min  ;            0;           0;           0;       3.372;      12.672;      50.384
max  ;          256;         960;       3.136;      12.012;      38.544;     138.240
avg  ;          106;         388;       1.441;       5.407;      20.486;      77.805
sum  ;    1.060.810;   3.883.080;  14.411.542;  54.072.140; 204.857.106; 778.048.830
total:        1.024;       4.096;      16.384;      65.536;     262.144;   1.048.576
total%:       0,104;       0,095;       0,088;       0,083;       0,078;       0,074
half01:         252;         924;       3.432;      12.870;      48.620;     184.756
half01%       0,421;       0,420;       0,420;       0,420;       0,421;       0,421
***************
n: 100
p: 0,20
--------------
length:        10;        12;        14;        16;        18;        20
count;     10.000;    10.000;    10.000;    10.000;    10.000;    10.000
min  ;          0;         0;        10;       250;     1.526;     4.888
max  ;         60;       180;       546;     1.438;     5.070;    18.778
avg  ;         16;        55;       191;       690;     2.538;     9.442
sum  ;    159.296;   547.420; 1.912.784; 6.898.240;25.378.186;94.422.698
total:      1.024;     4.096;    16.384;    65.536;   262.144; 1.048.576
total%:     0,015;     0,013;     0,012;     0,011;     0,010;     0,009
half01:       252;       924;     3.432;    12.870;    48.620;   184.756
half01%     0,060;     0,058;     0,056;     0,054;     0,052;     0,051
***************
n: 1.000
p: 0,20
--------------
length:        10;        12;        14;        16;        18;        20
count;     10.000;    10.000;    10.000;    10.000;    10.000;    10.000
min  ;          0;         0;         0;        52;       196;     1.166
max  ;         26;        66;       156;       470;     1.534;     6.118
avg  ;          5;        17;        58;       203;       723;     2.601
sum  ;     49.900;   167.578;   581.102; 2.025.124; 7.230.480;26.010.276
total:      1.024;     4.096;    16.384;    65.536;   262.144; 1.048.576
total%:     0,004;     0,004;     0,004;     0,003;     0,003;     0,002
half01:       252;       924;     3.432;    12.870;    48.620;   184.756
half01%     0,016;     0,017;     0,017;     0,016;     0,015;     0,014
***************
n: 10.000
p: 0,20
--------------
length:       10;       12;       14;       16;       18;       20
count;    10.000;   10.000;   10.000;   10.000;   10.000;   10.000
min  ;         0;        0;        0;       12;        6;      178
max  ;        14;       28;       70;      174;      526;    2.014
avg  ;         2;        5;       18;       64;      229;      824
sum  ;    16.066;   53.520;  183.786;  641.470;2.287.926;8.237.640
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,001;    0,001;    0,001;    0,001;    0,001;    0,001
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,004;    0,005;    0,005;    0,005;    0,005;    0,004
***************
n: 10
p: 0,80
--------------
length:          10;          12;          14;          16;          18;          20
count;       10.000;      10.000;      10.000;      10.000;      10.000;      10.000
min  ;            0;           0;           0;         464;       1.924;      11.220
max  ;          140;         420;       1.400;       5.040;      17.640;      55.440
avg  ;           49;         166;         577;       2.033;       7.315;      26.815
sum  ;      493.170;   1.664.558;   5.768.408;  20.333.364;  73.148.002; 268.151.588
total:        1.024;       4.096;      16.384;      65.536;     262.144;   1.048.576
total%:       0,048;       0,041;       0,035;       0,031;       0,028;       0,026
half01:         252;         924;       3.432;      12.870;      48.620;     184.756
half01%       0,194;       0,180;       0,168;       0,158;       0,150;       0,145
***************
n: 100
p: 0,80
--------------
length:        10;        12;        14;        16;        18;        20
count;     10.000;    10.000;    10.000;    10.000;    10.000;    10.000
min  ;          0;         0;         0;         0;       964;     4.088
max  ;         80;       158;       484;     2.116;     5.158;    17.124
avg  ;         16;        53;       183;       641;     2.283;     8.246
sum  ;    158.842;   528.638; 1.831.050; 6.410.930;22.826.192;82.461.864
total:      1.024;     4.096;    16.384;    65.536;   262.144; 1.048.576
total%:     0,015;     0,013;     0,011;     0,010;     0,009;     0,008
half01:       252;       924;     3.432;    12.870;    48.620;   184.756
half01%     0,060;     0,056;     0,053;     0,050;     0,047;     0,045
***************
n: 1.000
p: 0,80
--------------
length:        10;        12;        14;        16;        18;        20
count;     10.000;    10.000;    10.000;    10.000;    10.000;    10.000
min  ;          0;         0;         0;         0;       308;     1.270
max  ;         30;        56;       200;       600;     1.636;     5.722
avg  ;          5;        17;        58;       202;       725;     2.610
sum  ;     50.580;   168.902;   577.816; 2.022.016; 7.248.908;26.098.262
total:      1.024;     4.096;    16.384;    65.536;   262.144; 1.048.576
total%:     0,005;     0,004;     0,003;     0,003;     0,003;     0,002
half01:       252;       924;     3.432;    12.870;    48.620;   184.756
half01%     0,020;     0,017;     0,017;     0,016;     0,015;     0,014
***************
n: 10.000
p: 0,80
--------------
length:       10;       12;       14;       16;       18;       20
count;    10.000;   10.000;   10.000;   10.000;   10.000;   10.000
min  ;         0;        0;        0;        0;       46;      216
max  ;        12;       28;       70;      186;      564;    1.752
avg  ;         2;        5;       18;       64;      229;      822
sum  ;    15.846;   54.144;  182.914;  642.220;2.293.880;8.224.680
total:     1.024;    4.096;   16.384;   65.536;  262.144;1.048.576
total%:    0,001;    0,001;    0,001;    0,001;    0,001;    0,001
half01:      252;      924;    3.432;   12.870;   48.620;  184.756
half01%    0,004;    0,005;    0,005;    0,005;    0,005;    0,004
***************
