0;93;11367;122;8334;160;64
1;5233;5645;11445;1075;29;3233
2;12705;3659;189;93;1891;131
3;123;4081;1903;53;148;7
4;51;29;10851;49;74;1965
5;112;12462;2;106;5141;1704
6;9891;249;508;2;4825;101
7;1;92;68;1127;14;1890
8;15;234;667;2156;147;30
9;55;6692;4760;2428;144;61
10;5189;76;704;1560;42;3685
11;121;83;7395;1603;1058;1039
12;215;248;14;1103;6542;54
13;18627;6347;295;22;407;89
14;23567;7187;148;67;3001;6054
15;4830;155;8794;8276;201;58
16;4421;50;49;66;1836;71
17;3433;2905;59;14998;160;8
18;10205;67;4614;19;2609;1408
19;105;3335;30;4059;104;1461
20;2550;54;636;6899;15;386
21;22;14294;5246;107;6;1232
22;4349;38;230;2943;7;10
23;8399;4107;2864;122;54;38
24;40;111;47;55;275;3063
25;6691;66;52;1769;3027;15
26;14;140;4172;88;44;1175
27;13;149;131;1114;118;1370
28;4228;12615;59;28;68;3274
29;3794;11369;3070;103;31;3
30;7284;153;4231;2340;1344;3308
31;203;1923;27;83;17;51
32;4312;2082;1546;241;41;139
33;16;98;7623;192;123;118
34;139;2377;1270;5248;2405;137
35;128;128;151;74;3208;113
36;12352;271;1763;5747;1879;51
37;43;6963;891;14246;1965;3046
38;103;461;1495;4365;12;1714
39;12737;96;11;81;2750;20
40;127;2753;6009;6661;173;38
41;5550;246;2755;43;35;3659
42;49;165;34;186;150;15
43;2217;140;118;5;5838;864
44;59;1718;7603;55;330;111
45;8137;101;89;1557;210;4291
46;13862;96;0;153;91;7
47;12140;204;9919;66;147;95
48;91;339;82;3138;635;7945
49;34;43;5457;1345;6652;4567
50;7241;116;1890;217;6;3796
51;9;75;4006;3000;1175;879
52;46;157;97;4883;15;4091
53;2403;38;3895;49;73;117
54;523;21745;808;15;8536;2692
55;884;6286;8393;7875;6739;143
56;3890;19;43;5373;1104;657
57;6242;41;59;698;64;94
58;9448;14367;5824;78;27;2780
59;2192;254;84;110;52;822
60;12;3395;1684;2031;186;1106
61;26;1306;2908;206;1078;1360
62;102;105;96;62;1645;71
63;5721;167;1194;6;118;131
64;6167;122;2400;46;123;2776
65;6247;9684;60;659;85;108
66;1787;5075;45;150;415;42
67;12652;2853;57;10087;71;150
68;5360;53;3407;28;116;15
69;134;30765;163;5853;3069;185
70;33;94;37;1513;3;4509
71;74;6464;11;8401;39;39
72;163;36;47;159;4751;49
73;10279;142;92;5;76;607
74;109;7137;2279;51;912;1927
75;125;8245;154;222;38;8469
76;8346;6323;168;298;1667;76
77;120;1890;28;4376;11;6037
78;3716;166;77;27;76;1705
79;153;58;168;19;152;59
80;5729;142;54;75;2757;828
81;93;28179;4549;51;192;51
82;2032;21578;32;106;146;717
83;22;4076;236;9378;4503;365
84;7825;5516;349;52;3745;2177
85;142;70;0;59;7;588
86;129;2;917;85;32;70
87;1709;6503;4392;10;3460;2581
88;116;6797;3814;66;65;33
89;1092;248;51;76;110;95
90;212;4462;81;5592;4146;1371
