;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
156;7675;43;3626;47;2271;979;262;53
157;186;4912;103;58;48;91;211;24
158;fail;3619;58;442;666;68;273;111
159;5421;63;26;2463;77;1;43;129
160;284;158;3102;414;258;242;32;45
161;5316;2650;1812;878;65;6;57;70
162;91;3895;129;946;482;849;19;65
163;fail;1746;17;1;877;346;201;16
164;3261;29;134;1278;373;579;257;50
165;17269;6354;135;820;38;1548;39;5
166;54;59;4653;730;31;2460;61;17
167;52;945;4222;75;76;54;175;66
168;56;1536;30;1654;22;20;70;29
169;148;45;2651;40;39;83;11;1
170;73;431;2142;5;9;497;86;43
171;13639;191;12;2943;72;31;442;30
172;2702;15;3892;45;323;15;402;35
173;109;5637;6582;41;89;41;24;1
174;123;572;57;146;17;489;35;13
175;48;160;25;53;2582;48;43;31
176;114;65;68;49;788;400;21;42
177;9167;3487;1464;16;1815;1592;64;109
178;103;2913;313;2683;0;4;31;37
179;243;3080;1151;49;100;1480;21;238
180;2698;247;129;59;153;824;9;184
181;11;38;2138;33;20;686;34;218
182;89;6370;111;1426;109;14;196;57
183;282;77;2389;71;13;584;360;3
184;12412;37;3317;691;3942;8;32;70
185;7578;42;4667;22;0;912;19;49
186;6172;96;2011;1850;146;28;114;85
187;111;4603;1687;3889;36;18;35;39
188;2781;33;2862;3;32;6;239;88
189;16136;59;221;128;15;159;284;37
190;143;86;30;3663;4;70;38;45
191;543;82;1056;2952;16;12;84;55
192;184;1938;116;2565;53;34;35;43
193;1118;3354;704;419;2351;1237;20;39
194;2546;2074;501;79;3396;44;4;105
195;298;48;26;380;34;1657;27;177
196;8184;1545;4611;779;14;406;43;44
197;945;145;0;67;3936;19;57;55
198;1122;12;70;82;4805;231;283;37
199;8700;198;859;88;44;1339;200;15
200;958;50;16;1635;985;99;119;35
201;fail;4633;58;589;43;20;9;13
202;15;725;3378;14;625;1501;255;166
203;2419;1;1320;104;462;171;4;92
204;3942;138;8315;17;31;57;235;36
205;90;2872;35;945;1039;31;21;42
206;132;8697;2284;41;706;6;40;62
207;8172;839;1683;1634;1221;905;518;106
208;209;78;65;48;19;13;36;25
209;220;3618;3803;1833;349;3200;37;697
210;66;585;1832;136;61;2157;109;48
211;182;76;154;91;62;50;24;142
212;297;35;1689;526;23;10;84;77
213;27;5995;2344;1449;2142;470;68;57
214;151;39;59;49;4;314;10;199
215;10784;51;3220;48;477;96;177;82
216;72;1716;31;112;0;78;58;106
217;7788;132;812;23;1638;3;21;345
218;10;64;24;2547;6;18;707;22
219;10526;2428;75;57;3657;758;72;127
220;1851;11;5261;535;2611;93;22;99
221;24;898;106;2210;390;55;54;19
222;fail;140;52;79;148;58;90;14
223;69;11066;3704;1636;38;1421;34;22
224;2411;78;1;914;1589;420;66;19
225;1478;573;85;18;15;1000;26;4
226;336;9;2825;239;1750;311;156;370
227;2291;136;8;48;733;39;17;28
228;234;2034;163;67;47;35;11;29
229;154;9;58;1817;57;17;37;82
230;98;85;756;82;29;883;99;9
231;30;9285;4717;33;4364;57;137;93
232;12;11;13;125;58;416;6;94
233;12327;11110;26;416;54;526;304;90
234;4710;109;4350;3241;1230;27;105;0
235;203;2813;3449;1121;838;1097;38;122
236;20;8918;753;93;77;11;21;27
237;173;129;995;39;28;18;236;44
238;4326;2556;28;65;24;40;40;71
239;85;1584;4728;45;156;380;173;210
240;104;174;5017;1789;75;28;17;48
241;187;218;17;28;56;26;62;43
242;4085;2;9;40;96;1312;96;208
243;8616;5;146;3739;215;20;152;208
244;6014;76;1859;2413;2571;57;19;24
245;400;1138;31;2159;53;46;221;13
246;fail;161;382;82;67;19;117;20
247;726;2137;98;1775;19;1091;15;108
248;14404;139;66;24;1072;295;64;78
249;22;91;520;9365;65;75;208;40
250;1166;32;800;932;3290;293;16;16
251;3138;6740;781;1957;233;952;17;8
252;94;44;74;3029;1533;334;64;22
253;42;9;99;206;4982;22;41;84
254;145;248;739;59;11;7;73;117
255;0;1448;52;2159;9;283;73;50
256;6756;9883;7;116;48;474;11;118
257;1892;3624;387;3459;46;338;243;7
258;52;3874;2934;394;493;1761;35;73
259;1057;546;55;9;34;708;128;22
260;23;24;141;1660;31;588;203;246
261;4105;419;221;313;40;80;16;107
262;22;28;17;83;1138;918;72;123
263;220;62;4401;138;1255;190;398;9
264;2035;5306;1246;11;3331;1026;25;11
265;998;1462;8;867;1478;255;65;133
266;141;1639;228;857;580;33;27;40
267;3296;106;940;50;59;1123;15;51
268;4422;568;32;1967;140;11;293;118
269;15;440;65;1237;56;32;42;70
270;4080;27;71;11;2;36;20;4
271;134;2120;2885;24;1;84;146;91
272;6480;82;1369;553;51;314;7;166
273;276;81;7678;36;42;67;39;154
274;218;110;4667;232;1;522;36;31
275;7587;13;1175;6705;845;881;78;35
276;33;11356;6014;82;36;490;41;47
277;151;601;1843;35;116;20;46;10
278;fail;73;914;37;116;109;81;26
279;13780;171;1151;104;18;897;123;25
280;180;181;2261;78;606;38;55;48
281;2327;115;65;36;34;47;27;13
282;206;1050;3219;2;717;17;305;37
283;5943;68;96;60;154;42;161;249
284;3466;49;128;537;39;31;41;15
285;6526;2563;1284;1330;28;14;385;28
286;3752;8;1129;3163;52;680;41;73
287;214;98;4622;78;981;942;158;53
288;11458;43;70;78;1179;708;345;18
289;3162;fail;7078;959;7;77;98;12
290;229;4395;101;314;44;11;60;60
291;114;68;85;4831;727;35;97;5
292;1614;40;116;1617;14;496;374;20
293;39;20;30;5075;135;2;44;138
294;13769;1471;2551;1147;1961;538;179;18
295;205;2389;63;1610;35;246;105;20
