;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
1074;22;15;0;8;6;8;113;6;0;396;7;6;1085;16;24;86;33;32;3631;7;41;1701;9;62
1075;0;14;1;0;5;6;97;18;10;579;89;1;1382;19;5;12390;37;60;4909;8;48;77438;46;48
1076;31;15;7;12;2;9;1;28;0;4;5;6;94;58;51;3550;63;31;77;39;34;3743;35;45
1077;30;7;3;26;3;7;14;9;12;485;13;7;743;36;30;199;170;31;16;18;36;7730;389;163
1078;5;22;3;4;16;6;10;84;15;115;20;24;25;22;90;557;20;16;3487;76;15;75;170;37
1079;0;12;7;2;16;28;6;28;13;853;96;19;179;28;14;2393;13;74;86;29;28;1215;130;45
1080;3;11;1;23;13;11;54;16;10;20;102;31;237;12;34;20;39;22;73;3;11;82338;14;67
1081;5;3;2;7;1;2;6;14;15;383;23;8;893;68;18;63;23;12;13359;30;45;18659;868;12
1082;33;12;7;7;18;2;4;16;5;37;26;22;35;5;19;9412;23;59;20371;19;20;84580;52;49
1083;23;26;3;9;31;9;242;17;16;33;66;25;599;16;104;981;45;48;12431;45;8;50890;289;39
1084;26;11;3;37;6;8;7;2;10;418;2;20;237;58;28;784;126;5;2805;25;32;4827;38;52
1085;14;0;10;8;52;7;41;8;0;3;38;20;360;110;13;826;13;10;4700;66;67;15615;54;125
1086;0;6;17;21;33;5;97;18;2;89;16;13;533;29;7;207;12;20;826;27;47;13914;7;37
1087;2;8;1;171;46;3;10;3;3;208;28;9;145;20;21;6873;109;22;418;29;54;99;29;73
1088;29;11;0;2;4;12;2;14;4;107;24;29;259;0;13;9;26;6;76;9;16;4601;39;29
1089;23;5;6;55;2;0;13;58;25;325;54;15;35;4;27;3744;22;52;45;451;24;85;589;72
1090;16;0;4;6;0;7;80;68;3;26;42;59;441;31;21;1109;37;25;35;14;27;18;46;14
1091;16;26;10;6;2;1;18;25;11;39;10;40;50;6;28;4528;10;73;2395;11;56;26608;1052;21
1092;38;24;5;1;5;10;0;20;30;30;128;1;139;55;14;1089;34;34;16463;63;17;77;40;34
1093;5;15;0;50;43;9;30;36;16;70;119;36;22;49;23;5963;34;20;11876;37;33;7809;9;88
1094;0;20;0;1;2;40;18;20;10;269;38;14;2;35;49;186;43;60;873;17;87;48937;52;51
1095;13;5;7;146;41;10;5;22;12;736;52;6;778;11;20;1673;111;11;4340;14;6;10218;208;11
1096;1;11;10;0;4;12;114;3;6;146;49;17;11;12;28;515;57;37;4;40;45;27666;16;116
1097;18;7;0;3;14;1;40;73;3;16;56;3;3;0;21;2322;8;41;26809;23;7;259;46;66
1098;37;7;9;6;12;11;1;8;5;108;55;11;27;41;11;7101;218;24;3278;16;42;14964;472;26
1099;1;12;7;3;12;16;204;12;8;246;20;17;13;38;0;37;33;7;23;53;49;1901;239;86
1100;10;11;8;58;7;19;88;3;3;7;6;32;11;33;43;3535;49;8;9034;77;33;74883;173;43
1101;27;1;3;32;10;3;13;37;12;297;55;7;471;12;3;22;17;20;22;154;30;45296;51;230
1102;0;5;7;27;29;16;126;47;14;202;19;0;565;28;41;2902;48;15;6827;70;68;9954;897;25
1103;4;21;9;6;18;10;4;16;5;933;22;37;88;109;23;2617;64;12;2076;48;39;10560;656;48
1104;80;9;23;8;31;4;1;0;5;206;20;31;27;27;18;581;25;4;25;28;39;9508;51;28
1105;0;10;3;53;9;8;18;34;48;6;29;11;451;12;42;1853;4;13;9;15;42;165;123;116
1106;4;12;8;22;14;10;17;12;4;202;15;15;671;41;10;34;20;22;1574;81;91;93;181;50
1107;40;38;1;23;32;8;11;41;1;5;22;10;254;87;0;2122;174;34;20455;28;29;27835;67;2
1108;6;1;13;7;26;4;21;27;18;573;8;18;10;46;7;5647;66;33;3367;52;43;22508;98;10
1109;6;14;14;44;4;17;9;29;5;24;30;1;2463;45;35;8612;31;31;9833;330;22;29;755;45
1110;2;2;8;41;12;12;61;17;17;226;2;9;11;21;10;2418;33;31;2138;12;40;43210;60;31
1111;10;6;6;9;6;20;7;10;18;29;14;35;155;5;39;3428;37;37;17259;9;71;29430;139;89
1112;3;9;8;7;10;26;24;7;6;166;2;21;633;20;29;1113;68;19;17533;7;33;41817;459;61
1113;24;7;15;2;11;17;4;6;3;15;6;5;49;23;38;33;31;23;55;50;127;68770;1248;244
1114;7;9;9;95;6;1;63;4;18;503;2;1;55;14;31;16012;65;22;3038;21;13;18086;45;62
1115;5;8;16;188;15;11;20;19;6;453;4;45;751;47;55;1142;156;22;24;32;41;5546;172;73
1116;5;8;2;10;7;1;6;82;9;13;152;11;166;34;2;36;16;6;454;92;24;30513;250;38
1117;35;3;13;15;1;8;1;38;24;338;15;5;264;21;38;4579;109;31;4736;98;6;74;29;28
1118;5;10;3;3;7;7;92;5;18;18;13;9;5;3;19;59;14;47;3560;8;67;50912;83;38
1119;9;4;5;18;11;0;20;20;16;553;4;0;289;34;3;733;39;49;1;39;73;111;103;61
1120;0;9;2;57;19;5;61;10;15;585;82;16;581;26;12;3565;31;69;1006;119;7;5289;87;11
1121;17;3;6;7;15;1;4;5;6;46;20;7;318;6;19;4552;23;9;12661;204;12;174;46;32
1122;6;11;2;29;12;11;252;1;23;92;21;13;1849;72;18;1864;12;48;36;24;23;28;39;9
1123;8;5;11;14;7;13;124;4;16;142;63;10;420;37;35;763;100;0;7765;16;34;28917;242;175
1124;6;12;4;129;4;14;56;45;8;286;46;17;925;32;22;137;23;174;93;131;34;46874;206;70
1125;5;0;11;3;11;13;109;53;21;526;19;12;34;32;9;4;6;13;9031;61;41;8188;36;42
1126;15;12;15;16;4;20;87;67;9;182;69;34;837;63;17;542;95;22;100;116;44;43139;80;14
1127;22;6;4;36;2;27;1;19;16;21;10;7;166;56;40;17;66;38;25196;166;15;14292;571;44
1128;8;5;13;147;0;8;37;12;15;13;30;41;61;17;89;5890;19;32;617;34;17;31108;48;39
1129;68;10;6;41;9;1;18;11;3;3;29;20;821;19;27;4069;13;58;35;90;27;92068;49;17
1130;9;0;21;10;2;13;10;6;2;126;20;21;683;41;78;8273;22;91;795;142;15;24749;375;62
1131;7;22;14;81;6;14;32;10;16;7;23;8;115;12;11;3788;42;30;7146;28;25;14549;8;61
1132;3;11;5;77;7;17;0;84;1;9;120;41;3442;126;0;15;18;6;5067;11;44;60;90;19
1133;34;6;0;2;54;26;125;70;24;96;11;9;324;16;32;4302;20;73;1942;70;21;36482;337;34
1134;1;5;19;0;45;7;5;9;40;251;18;4;3528;8;19;5165;15;16;874;84;18;0;66;5
1135;1;8;5;12;19;3;151;26;9;483;22;12;510;29;20;1628;46;31;94;34;63;3193;380;108
1136;0;17;6;15;6;1;7;4;8;9;43;17;502;38;20;3923;20;14;13;43;43;27670;43;23
1137;2;2;5;9;10;2;134;25;42;48;14;19;3;20;23;3687;23;55;73;22;8;9641;88;127
1138;14;9;7;13;6;7;2;60;11;1306;34;27;133;11;15;9735;117;44;9892;20;51;4524;37;156
1139;10;14;14;0;0;3;42;17;10;9;16;13;330;76;59;3998;16;20;4258;136;31;77882;61;62
1140;7;5;4;47;0;0;55;20;7;129;13;31;25;143;20;31;28;15;4244;21;10;11171;302;23
1141;4;12;13;103;8;19;28;60;11;25;56;0;11;1;60;33;41;25;943;259;19;41130;34;83
1142;4;3;6;16;47;13;26;4;15;63;22;28;1324;30;10;6353;57;63;89;39;70;19614;205;4
1143;4;18;9;38;10;14;31;39;6;199;28;13;25;15;5;1531;130;3;1484;108;34;49048;285;15
1144;0;14;7;22;77;1;5;21;2;126;62;5;4188;39;8;6343;52;25;107;86;20;49254;41;14
1145;1;19;3;21;1;5;8;9;16;494;22;10;1117;25;18;432;55;41;729;41;16;36;42;21
1146;29;21;11;33;13;5;14;8;2;69;16;38;52;9;20;38;63;2;2124;23;21;219;31;56
1147;9;1;4;27;18;8;4;12;22;151;50;9;62;34;9;9994;49;38;161;265;30;52326;99;89
1148;11;21;9;0;7;17;8;24;10;1394;35;12;344;22;35;6221;25;27;5259;0;92;4614;449;56
1149;69;37;2;0;2;11;116;24;6;20;20;7;33;10;16;92;20;28;58;31;14;34734;369;101
1150;47;1;2;3;29;5;88;14;17;117;14;28;453;36;32;2241;97;16;1190;52;108;43736;732;31
1151;1;7;12;25;11;4;15;3;12;111;10;18;500;20;46;8;25;25;60;102;149;52;25;39
1152;4;5;4;2;18;16;123;12;6;5;26;18;795;39;53;3090;0;45;4550;188;31;1332;13;66
1153;0;29;10;7;1;12;21;18;10;10;5;6;110;84;1;3721;33;34;5004;97;4;152;114;48
1154;94;14;6;147;30;19;199;36;2;473;50;3;226;4;14;634;49;10;8082;34;43;48139;115;35
1155;44;30;12;76;36;5;5;31;11;6;59;17;1437;17;7;5557;116;23;25;150;13;9420;359;61
1156;1;2;19;55;35;25;25;5;16;249;3;1;39;32;12;19;44;17;1496;66;28;15;320;70
1157;35;16;2;39;0;11;58;2;5;209;3;51;242;18;16;3233;22;54;4781;11;48;109;308;21
1158;6;12;12;11;14;9;37;15;6;172;10;27;709;23;27;199;44;42;10361;37;28;245;64;33
1159;4;7;2;26;7;2;0;34;19;40;35;37;66;17;12;5644;37;54;701;89;71;8907;129;22
1160;16;3;10;13;23;4;53;35;15;41;13;13;448;5;21;7;66;51;11894;41;66;10253;40;66
1161;0;5;4;7;8;5;32;3;3;2;7;0;414;66;28;1020;3;6;66;131;27;143;504;22
1162;25;2;0;9;3;0;40;0;1;272;33;23;370;5;23;5068;55;29;53;17;102;43236;1020;42
1163;10;4;12;7;7;5;5;6;0;452;7;48;45;6;42;75;49;44;36706;33;82;15850;58;48
1164;15;13;8;71;5;1;115;17;4;261;15;6;67;31;25;2463;10;9;46;140;67;4941;26;285
1165;3;5;7;159;7;9;63;7;11;75;38;28;662;106;15;194;128;22;5591;78;32;184;13;56
1166;14;21;2;30;12;11;56;4;17;40;22;29;50;5;6;2439;32;52;175;3;52;13463;61;243
1167;0;10;7;5;76;18;77;26;17;15;65;6;2421;12;27;1772;13;32;1392;62;14;13084;92;19
1168;2;33;4;23;15;6;161;68;23;424;38;23;0;1;13;439;28;23;7582;19;37;14328;29;112
1169;15;1;5;69;2;4;149;10;30;412;26;8;22;4;10;659;8;36;6112;53;33;43712;793;32
1170;86;16;1;13;1;5;32;69;7;23;50;26;638;14;33;5579;7;15;1774;105;65;23;1669;9
1171;14;25;5;3;1;8;97;20;1;452;6;18;271;71;15;174;29;42;1400;48;42;5240;29;40
1172;10;11;0;2;0;4;35;14;15;45;37;11;573;30;8;1879;48;81;7164;69;17;200;55;43
1173;49;2;9;11;13;6;9;2;2;152;34;9;672;17;8;59;56;68;877;44;68;120655;44;50
1174;1;5;1;45;0;0;52;6;4;16;5;9;2;34;16;166;20;36;924;12;26;269;54;92
1175;4;11;5;47;9;6;14;15;24;4;17;10;2851;92;19;20;45;12;3556;71;33;10654;374;23
1176;6;3;8;4;2;32;115;204;19;441;9;2;410;83;37;6680;10;17;1102;63;41;168;97;25
1177;10;34;11;48;3;8;99;9;1;374;15;26;84;42;36;1140;46;28;10711;68;57;4045;46;170
1178;12;4;4;5;1;5;10;7;21;42;23;10;796;28;9;1306;8;45;3158;24;36;19489;138;125
1179;2;32;1;14;66;0;45;4;7;62;43;19;190;40;29;4;3;39;16222;149;44;32886;16;62
1180;5;18;1;7;65;33;3;3;7;9;61;26;8;21;8;50;84;62;1009;15;26;205139;46;36
1181;1;0;8;1;0;36;112;22;20;45;11;5;431;74;14;6866;24;37;2703;142;36;20020;620;29
1182;27;5;6;23;9;11;46;23;8;19;3;15;113;31;21;5;56;33;259;111;24;301;57;43
1183;14;4;10;1;10;5;7;16;24;309;133;2;92;12;31;3337;86;19;71;20;60;5791;32;53
1184;21;15;9;6;18;8;13;4;13;194;5;16;1223;38;17;1571;28;15;13290;103;21;164;655;49
1185;11;18;13;6;32;2;33;7;13;369;12;22;195;23;12;5956;18;51;83;222;33;52270;57;24
1186;9;5;4;35;21;8;11;0;25;438;3;24;49;4;27;2835;53;13;774;156;58;7093;39;10
1187;3;15;1;55;9;21;38;12;20;637;6;7;82;15;16;3087;90;0;4238;134;13;25036;1216;100
1188;13;3;15;6;3;6;15;17;3;13;99;48;5;33;27;1884;91;15;7909;2;11;55786;136;100
1189;13;3;4;35;21;14;5;70;14;469;5;8;3;27;31;1267;22;139;4291;16;37;2696;31;48
1190;3;17;8;13;55;2;146;12;11;12;157;4;44;49;58;84;35;32;348;76;30;24947;198;141
1191;4;10;3;6;0;4;3;8;20;103;13;20;61;5;12;390;97;18;11461;36;52;18696;26;44
1192;8;2;6;23;25;13;21;37;1;3;74;13;4;11;38;201;13;33;1471;30;22;55895;693;11
1193;6;6;9;15;17;13;9;89;1;302;57;17;126;26;21;41;77;114;120;107;132;65305;49;14
1194;0;3;21;8;19;15;144;22;8;44;33;9;1761;6;11;1022;118;42;1406;12;31;2433;22;26
1195;6;6;5;101;13;7;10;46;23;110;20;25;558;20;21;2095;32;9;5421;108;30;52484;83;44
1196;22;0;8;5;17;26;23;63;12;17;15;20;8;43;13;4989;17;23;3490;8;26;188;580;27
1197;22;23;14;15;32;7;35;22;23;4;55;0;25;18;44;1849;58;55;777;33;24;41;89;107
1198;18;22;20;16;0;6;0;71;7;101;20;20;61;51;38;63;25;59;3601;7;48;113;18;41
1199;28;10;10;83;58;1;217;7;21;58;22;18;777;26;16;2145;26;52;14606;14;20;10758;99;26
1200;14;4;3;7;4;7;5;24;3;209;32;17;591;11;24;33;14;15;4623;166;30;13166;863;41
1201;13;11;7;50;0;9;35;0;25;11;13;44;177;112;44;4717;25;37;40;216;31;69100;175;50
1202;9;12;14;0;16;15;30;8;10;541;2;18;691;32;46;570;26;140;62;43;22;10605;61;27
1203;70;2;1;12;11;8;50;16;12;253;107;68;975;13;24;237;26;3;540;52;31;938;0;36
1204;13;14;3;7;3;19;11;5;8;35;11;41;758;2;23;3342;29;54;32256;32;30;2933;535;38
1205;33;5;7;31;9;8;74;2;4;36;16;32;721;16;18;400;11;44;28;29;61;183;28;46
1206;23;26;9;74;25;6;113;1;17;28;6;3;87;43;28;3172;36;31;89;9;30;16;131;64
1207;0;4;10;0;17;12;55;20;12;100;147;12;21;38;15;60;2;8;6311;15;27;9105;10;8
1208;10;9;3;10;20;13;103;1;15;567;55;11;138;50;34;757;16;56;3979;65;27;27348;0;121
1209;0;20;1;21;26;4;25;27;3;271;20;6;468;29;25;1565;61;36;3289;83;56;20260;273;98
1210;4;19;2;9;25;28;120;21;14;113;5;8;229;24;10;1919;21;63;7962;39;48;33;16;45
1211;7;12;13;6;16;5;119;50;11;77;49;30;533;73;30;48;124;56;49;77;61;183356;774;21
1212;3;10;10;49;7;4;22;1;3;285;42;25;859;40;4;19;30;25;2;13;57;70313;456;10
1213;0;3;13;8;4;3;25;38;14;111;173;46;694;51;7;2532;29;22;79;31;8;1628;309;47
1214;0;14;10;28;1;9;44;17;29;457;23;30;191;20;33;658;47;13;12721;114;30;51100;40;17
1215;27;3;7;18;20;6;15;22;4;855;14;11;690;99;3;299;56;3;3447;7;34;8337;99;82
1216;2;2;0;9;20;15;3;16;13;239;68;10;57;11;9;122;6;18;1724;22;47;73071;53;90
1217;1;11;7;30;49;7;6;32;13;465;19;13;28;40;30;1439;57;66;6042;18;11;12;30;61
1218;1;16;10;45;33;0;270;105;2;20;18;12;34;77;35;97;42;8;54;27;22;61851;54;55
1219;15;1;6;30;2;8;3;17;16;71;35;17;6;18;13;1014;56;14;3589;14;52;83217;748;112
1220;3;16;2;2;1;1;22;32;20;25;34;44;9;72;22;1516;115;62;2801;19;37;910;399;96
1221;42;2;2;31;6;4;172;8;3;79;38;6;394;68;55;18;42;49;4989;242;119;7016;35;160
1222;39;3;0;8;1;4;23;5;19;5;54;2;2;2;11;3253;80;84;7185;22;15;8;448;73
1223;15;3;6;13;7;22;92;7;8;1;50;21;28;30;3;10381;217;75;813;14;26;203;598;36
1224;16;13;3;3;21;10;2;37;2;1193;36;15;443;69;13;235;65;36;9638;86;66;36186;423;32
1225;25;2;7;3;15;8;4;24;4;862;9;11;1299;14;46;296;60;12;40;155;29;141;16;59
1226;17;1;10;2;11;15;65;132;12;fail;12;9;639;10;10;1000;16;17;14009;67;160;45704;41;31
1227;27;4;6;7;30;6;109;3;19;0;31;31;183;90;18;27;9;44;65;64;99;154329;517;62
1228;26;44;2;0;8;3;101;22;5;111;5;13;248;60;51;6665;45;15;1664;92;32;63618;265;27
1229;6;9;1;8;23;7;5;83;7;299;14;3;18;20;28;2078;115;16;2592;28;77;84;683;16
1230;43;10;10;15;32;29;0;61;17;118;0;26;1851;9;27;344;73;54;236;42;56;131;56;47
1231;3;10;7;0;6;11;25;5;8;235;74;15;152;27;11;7;38;28;4261;40;45;33;87;53
1232;45;5;3;6;12;28;29;4;11;53;4;24;498;9;18;2979;14;44;8259;31;48;245;19;77
1233;2;6;14;78;7;13;55;43;7;180;36;9;12;5;41;9855;14;57;38;25;6;33859;22;55
1234;18;14;14;1;3;14;14;10;15;323;8;4;11;38;31;2369;65;53;24;34;86;204;549;55
1235;13;36;8;19;14;5;29;102;18;39;64;45;1;28;27;42;15;28;0;42;57;75882;77;64
1236;5;18;2;3;11;9;91;4;10;22;5;27;219;55;33;10;22;120;8751;89;70;6008;187;46
1237;3;2;22;5;13;12;34;0;9;156;84;19;19;73;33;453;177;52;4374;28;31;67032;13;166
1238;31;3;12;53;11;0;12;38;15;94;17;24;2;14;21;10;11;82;1753;13;72;1529;79;42
1239;2;14;5;109;43;5;7;20;3;410;59;1;78;52;13;1684;41;23;10619;13;28;109135;21;68
1240;6;11;4;47;7;8;14;21;9;9;68;14;136;7;23;482;137;28;19345;82;22;30859;54;37
1241;7;1;25;2;8;19;86;6;17;271;26;26;47;57;21;3990;20;85;11563;41;81;33057;39;101
1242;4;11;9;25;54;3;12;26;13;29;6;19;355;33;10;9879;30;22;714;66;56;20261;96;35
1243;13;0;17;3;5;12;47;2;17;153;26;24;14;8;38;27;12;19;5739;35;23;6279;64;59
1244;42;22;1;71;23;30;27;27;24;147;18;8;29;17;7;377;0;48;3990;84;28;15478;64;46
1245;10;12;3;9;14;6;11;2;10;504;42;2;1134;106;29;1355;7;42;2642;24;16;21634;215;88
1246;7;10;4;4;12;12;7;32;25;504;16;11;770;7;4;672;39;20;44;27;49;4061;417;49
1247;16;5;7;11;10;1;31;17;26;12;3;17;3;21;21;1552;150;16;30341;89;86;222;93;24
1248;11;10;16;29;5;7;24;78;9;18;152;27;11;22;29;377;28;93;1607;54;58;9473;633;49
1249;14;4;27;52;6;5;108;12;11;8;45;41;498;37;24;32;16;7;2187;6;22;22577;49;24
1250;2;5;26;23;11;0;13;15;9;47;3;3;981;76;11;5;11;117;1657;83;26;69;48;131
1251;0;6;0;2;33;15;74;10;17;36;11;15;513;8;20;15;39;27;20;90;14;11247;35;50
1252;17;1;2;0;10;20;4;50;13;72;3;29;12;42;2;474;10;38;23788;21;84;125;78;78
1253;18;4;1;6;21;5;6;7;2;163;46;19;700;15;43;61;12;13;1506;76;25;60925;585;41
1254;4;15;5;44;34;3;131;98;14;443;108;14;291;10;5;579;49;20;18;19;63;13341;31;2
1255;20;5;9;7;8;12;1;41;11;45;8;12;441;65;0;0;38;97;7165;125;21;40823;297;268
1256;15;6;4;4;2;2;25;50;20;5;45;18;22;10;25;3447;22;11;4353;249;58;4140;33;67
1257;24;3;23;43;17;5;84;17;11;4;11;5;1319;22;18;3746;8;23;24;17;15;48624;20;42
1258;4;13;0;3;67;31;23;14;16;203;10;18;367;13;7;14;15;57;652;88;20;30600;67;14
1259;14;1;1;6;14;26;17;31;8;894;18;11;37;32;4;1223;28;3;1793;47;48;322;110;21
1260;6;0;1;14;27;10;1;24;7;408;23;21;40;25;15;10871;20;48;4014;26;26;22083;28;50
1261;30;22;8;7;43;22;10;41;33;35;85;20;13;7;17;41;29;24;2369;85;19;71205;84;172
1262;3;15;2;36;5;14;11;2;11;40;14;28;13;12;25;154;81;7;1907;46;15;22637;89;140
1263;15;0;4;17;2;19;1;14;3;134;7;8;123;4;15;1245;68;25;68;90;36;101;56;48
1264;1;9;10;34;11;1;1;8;6;206;32;31;684;50;68;52;116;62;2755;14;51;44728;770;44
1265;10;3;7;13;13;8;181;38;3;689;145;20;193;38;23;821;115;29;29539;20;33;1779;35;36
1266;4;3;3;26;85;7;5;33;22;31;33;24;207;26;2;2991;88;37;65;14;30;67239;8;74
1267;0;31;9;73;32;5;21;18;13;42;73;28;273;39;3;1367;32;10;23204;180;30;54490;25;11
1268;1;12;5;54;23;7;32;49;5;197;15;30;675;37;17;39;58;38;1956;95;41;10495;16;229
1269;27;0;4;86;47;20;16;52;24;103;4;11;268;25;25;9136;81;40;501;55;117;2324;316;100
1270;6;1;4;2;17;3;8;29;11;157;55;5;428;6;39;1523;25;21;13861;83;56;140;585;39
1271;11;4;0;127;22;1;18;87;9;5;7;44;21;126;25;2985;37;56;12794;152;55;35098;81;198
1272;5;0;10;22;24;6;61;28;8;112;6;19;4;13;41;1022;7;35;71;20;26;73;711;56
1273;3;18;3;17;15;22;14;18;4;197;43;27;447;44;44;2162;27;28;44;40;45;57741;86;59
1274;45;16;12;22;8;10;169;94;6;207;72;30;182;75;13;56;58;21;885;217;39;957;53;35
1275;27;11;4;28;3;4;101;4;11;68;9;29;1964;7;46;1657;37;4;2854;43;16;16508;25;85
1276;33;10;12;35;10;14;10;4;14;6;1;45;190;47;2;58;71;40;24432;178;100;15904;99;157
1277;17;16;2;2;3;5;45;32;8;281;17;5;478;24;35;4800;36;15;11368;33;73;20;29;65
1278;12;0;3;3;3;0;54;17;9;168;0;5;1759;26;20;22;109;21;73;51;11;60137;63;30
1279;16;1;0;145;1;9;67;9;4;114;109;2;345;14;39;506;163;62;24486;42;89;6739;566;35
1280;9;5;4;40;49;5;67;14;9;33;76;1;228;64;16;669;36;32;4960;163;36;20043;46;80
1281;0;15;10;21;3;9;8;23;33;174;14;7;113;26;22;74;79;29;5182;98;11;3549;103;102
1282;0;3;3;6;3;5;72;26;1;107;5;34;298;47;58;5258;23;14;68;223;30;3370;177;30
1283;55;11;2;56;2;16;11;7;4;5;19;21;22;15;29;3612;28;21;2624;40;32;10825;173;44
1284;34;9;7;7;21;8;107;104;15;3;5;38;424;3;3;2210;16;37;30151;57;44;8155;20;29
1285;24;28;2;201;2;3;27;14;14;137;53;21;1888;10;62;2036;13;10;4029;247;73;93580;119;2
1286;7;19;8;37;18;9;0;3;15;1176;11;16;240;7;46;2961;40;22;3608;121;156;18;65;358
1287;6;4;16;3;15;14;4;3;18;14;20;36;1298;44;19;946;16;24;34;45;24;214;44;41
1288;37;27;10;21;22;4;16;36;10;20;77;11;44;16;6;18;36;36;142;47;26;102;37;42
1289;36;3;2;4;18;17;0;61;8;823;31;0;277;15;18;1309;166;66;1602;80;54;6856;155;69
1290;15;0;1;2;9;1;9;40;6;187;45;30;57;10;28;2010;97;71;433;207;43;10867;17;37
1291;33;33;2;0;4;1;36;9;21;69;171;6;304;29;26;8868;35;28;7773;39;19;838;1741;74
1292;14;0;11;33;5;12;10;2;16;9;33;23;240;4;51;88;51;9;301;97;11;60;430;47
1293;1;9;3;2;22;13;41;2;23;3;70;16;1659;18;16;38;173;107;13440;4;87;4065;906;31
1294;0;3;0;27;9;7;73;10;3;65;53;23;976;8;52;965;66;34;2172;17;110;223;508;187
1295;44;4;11;0;7;8;28;21;3;622;27;6;6;1;15;493;40;72;4460;14;8;20185;4;70
1296;0;35;4;41;2;4;0;12;3;50;34;4;15;15;10;25;51;7;9263;88;29;79;64;70
1297;4;9;6;89;15;10;16;10;12;229;63;29;428;31;24;109;17;19;13006;52;106;77190;1849;54
1298;3;7;6;24;23;12;4;51;14;7;8;20;41;47;13;2819;35;43;25;68;40;262;505;20
1299;0;8;5;10;59;5;73;9;5;8;1;23;386;30;13;4105;19;69;2729;117;12;8501;22;70
1300;0;5;1;24;18;14;59;3;8;71;32;8;299;21;28;40;15;8;8;12;62;2720;528;22
1301;19;6;8;9;4;23;84;52;5;219;3;10;1696;12;50;57;21;12;6923;76;29;3;761;21
1302;10;13;2;11;4;6;7;2;24;59;41;10;1292;11;27;1954;115;19;2410;30;77;66;816;189
1303;18;0;7;0;27;0;97;11;7;328;11;13;14;4;23;103;66;45;104;94;21;41424;45;109
1304;1;0;11;23;13;10;0;58;11;5;67;11;181;27;3;161;23;14;4563;23;34;13704;94;11
1305;3;16;1;11;9;16;90;7;8;117;3;13;20;47;53;2380;51;30;13;87;51;45660;31;47
1306;10;4;27;2;8;14;22;4;10;18;20;31;793;50;39;1483;71;7;1969;33;16;29787;37;40
1307;25;16;23;28;2;1;13;30;6;0;4;5;60;125;37;21;38;12;1402;34;31;57612;501;67
1308;11;6;17;12;9;4;2;9;25;1;121;10;1135;37;16;1794;36;44;5586;35;33;28620;57;35
1309;9;10;9;4;3;19;94;24;1;433;93;21;271;35;16;22;138;24;871;128;23;19798;88;37
1310;10;0;5;67;1;6;63;31;9;7;33;47;392;14;8;1418;30;111;468;24;42;16633;29;52
1311;6;30;13;3;2;12;5;16;2;14;33;16;1290;0;9;2648;68;23;71;109;235;12250;152;49
1312;9;28;4;11;12;4;7;53;7;25;0;0;237;18;35;622;31;13;9;20;43;42;72;62
1313;23;57;1;226;7;36;14;22;24;359;33;8;1467;38;29;3906;94;56;6950;36;72;22304;220;13
1314;26;32;0;9;35;7;6;61;12;81;21;40;159;193;28;864;19;31;6;93;51;42;297;36
1315;11;31;4;37;4;18;22;54;20;19;10;14;590;24;26;6075;28;62;4;62;91;111;70;37
1316;18;7;6;34;30;10;10;14;8;46;75;30;6;41;13;5099;26;19;2838;8;23;68;53;18
1317;19;12;28;8;9;8;51;2;13;55;55;21;4;46;5;1213;48;39;51;7;54;16273;166;47
1318;7;10;3;21;4;7;193;9;25;511;13;3;229;4;18;5223;23;3;3003;131;19;72238;405;107
1319;0;17;2;14;27;6;2;1;3;10;183;28;58;42;22;1981;16;64;11;74;97;6716;38;33
1320;4;9;7;3;0;9;33;10;0;25;71;8;11;15;50;274;64;8;3345;52;128;16;206;214
1321;3;3;9;1;8;33;31;15;9;16;4;15;277;20;13;10592;14;19;1088;30;109;137;711;31
1322;17;3;10;196;7;0;51;27;17;941;18;15;21;10;9;3187;55;1;3648;70;21;28811;36;91
1323;4;7;2;42;26;5;7;52;11;2;18;8;3;33;41;1061;76;65;13478;78;42;2210;166;18
1324;23;1;9;31;2;13;4;60;15;295;20;49;6;6;23;350;61;30;1271;9;27;1583;518;70
1325;14;9;0;72;8;4;17;13;12;3;77;15;474;1;24;1286;164;51;11052;8;117;177;32;13
1326;2;3;5;108;3;27;22;8;5;11;26;3;1502;3;31;2799;89;17;3564;31;20;233;1107;115
1327;6;23;1;3;10;6;6;32;16;1616;21;36;32;18;4;218;13;47;2645;19;3;4228;138;77
1328;5;2;3;16;42;21;25;21;21;339;103;12;566;45;14;99;13;10;2627;37;18;3945;87;61
1329;2;2;15;7;13;14;127;53;9;15;36;53;33;85;3;1059;94;51;1212;72;20;9123;376;143
1330;5;23;10;60;37;6;323;40;7;9;17;47;910;17;13;60;46;24;417;15;22;16100;80;77
1331;31;4;2;5;24;12;25;13;27;558;21;15;214;20;16;864;62;23;12;130;11;4984;597;46
1332;13;25;5;18;0;17;10;34;27;18;23;0;116;27;11;814;43;35;8045;26;40;3747;734;34
1333;1;3;3;8;2;0;52;2;11;296;5;24;45;60;70;10770;5;48;11008;117;32;4535;1066;27
1334;16;1;1;7;6;17;99;119;12;519;25;12;1226;3;17;2483;45;28;256;69;154;303;36;32
