;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
56;38;17;0;97;62;16;12;3;10;102;24;9;25;69;7;53;57;21;12363;128;113;11656;27;80
57;2;4;3;4;20;5;32;10;21;386;43;1;220;23;18;5422;159;33;4167;143;35;9136;31;3
58;5;9;14;23;34;12;85;55;6;658;44;11;166;31;24;3457;41;43;363;58;22;74253;22;68
59;0;10;1;6;13;15;2;53;2;21;23;21;4;20;38;0;15;142;1862;49;25;178;29;63
60;8;19;6;17;4;20;5;83;23;457;23;22;1810;6;8;543;46;9;39;228;11;75941;37;94
61;0;3;18;0;1;10;7;40;11;26;27;37;1384;20;23;2283;62;90;2170;216;31;3743;73;74
62;110;30;2;25;5;14;6;11;7;322;75;13;466;45;34;42;11;28;2889;69;58;6;27;135
63;6;17;3;7;20;16;74;16;5;259;23;1;44;13;11;13860;5;87;1483;29;33;51;919;133
64;3;7;17;58;19;6;5;41;28;388;20;3;19;32;15;4784;113;25;807;58;5;22862;696;73
65;1;2;9;92;10;18;58;2;6;34;5;22;121;4;9;583;15;57;9903;111;73;28768;512;240
66;8;32;1;20;15;10;37;19;43;643;68;45;1830;0;22;4732;27;60;12043;56;21;44;6;15
67;12;32;20;61;45;6;3;16;21;499;4;24;3;8;0;665;23;123;52;21;4;19972;47;32
68;5;6;1;132;5;6;1;57;7;421;45;56;46;22;12;483;60;87;396;72;17;6562;291;26
69;8;1;2;7;46;13;10;64;7;1647;14;33;1235;26;48;22;31;26;11516;130;31;16614;435;77
70;59;7;17;1;8;13;61;61;8;901;17;28;11;24;6;2858;33;32;1326;14;17;345;101;124
71;3;11;10;19;20;20;14;12;10;17;46;16;13;68;16;2095;33;3;425;128;56;3621;88;25
72;7;5;11;154;28;26;68;1;8;251;43;13;16;37;2;5574;35;64;89;51;29;9;32;63
73;30;17;8;2;70;5;3;64;5;60;23;18;399;0;39;2856;44;23;3298;23;51;166;53;30
74;18;8;7;0;10;0;10;41;1;113;116;7;13;23;15;8359;82;37;9007;16;120;57;45;89
75;20;0;17;11;61;16;169;18;12;26;18;21;40;15;27;7717;42;37;2871;26;66;294;507;105
76;35;1;6;1;10;8;3;16;10;139;17;7;21;26;64;1443;143;21;10791;49;69;31526;25;97
77;16;2;18;30;3;3;1;68;19;238;19;12;813;19;48;187;35;46;33;142;50;41258;53;45
78;0;21;0;7;32;11;30;42;0;201;2;19;38;20;5;9904;2;24;5447;32;79;1929;73;28
79;3;18;7;6;17;24;5;15;8;82;33;5;105;125;7;862;48;19;121;124;80;29992;416;38
80;11;2;11;3;15;8;111;1;34;10;7;15;127;59;18;3131;8;33;41;5;51;50325;9;34
81;7;8;3;44;46;0;145;54;5;120;158;20;57;44;35;21;119;26;55;37;64;18027;308;68
82;21;3;5;2;34;0;19;7;19;37;54;16;99;24;65;36;31;47;3268;57;53;6113;204;68
83;2;1;10;1;20;6;18;6;4;57;26;36;47;38;11;73;134;65;968;126;17;25862;19;34
84;8;9;0;104;20;14;179;15;9;760;9;5;465;7;46;2683;78;31;888;31;49;2151;477;43
85;18;43;23;11;1;0;1;9;12;627;7;19;159;31;20;588;65;35;51;34;30;511;459;62
86;0;16;6;6;86;0;37;9;19;338;78;31;14;162;14;5630;76;104;2475;70;53;117;32;47
87;6;9;7;155;12;6;8;1;1;1028;27;18;0;19;12;919;37;15;3989;138;15;53738;23;46
88;1;13;0;30;1;2;7;4;1;139;94;12;28;44;20;4113;56;11;62;127;36;9342;11;72
89;24;4;20;4;8;4;10;16;20;438;41;22;262;19;31;90;35;35;553;16;32;97;419;35
90;0;0;8;10;1;0;4;7;21;523;9;49;1953;33;21;685;132;12;723;245;23;1095;103;95
91;0;5;21;9;51;17;9;24;5;78;38;29;1124;30;52;11923;17;29;9954;73;104;26;367;181
92;60;3;1;9;3;13;23;28;11;19;107;22;595;25;24;44;22;96;960;144;33;76328;76;24
93;2;51;3;31;23;0;44;23;16;192;36;15;810;13;13;2124;34;5;2161;50;44;18974;27;28
94;41;10;0;34;1;4;11;1;16;177;6;19;11;8;7;2166;35;35;2786;17;67;33291;76;69
95;3;13;4;5;6;15;1;14;7;19;32;28;16;19;36;3522;10;17;6337;42;97;45821;0;59
96;4;3;5;fail;8;3;26;24;9;165;50;46;154;9;36;403;52;0;1656;119;62;36660;130;34
97;4;0;6;16;40;2;147;8;7;6;31;13;278;23;31;6;52;46;38;32;13;25173;83;120
98;16;0;8;12;0;1;214;40;24;1207;7;39;73;26;18;83;1;11;1068;7;8;5594;326;12
99;0;5;13;24;35;5;21;7;17;330;19;7;177;9;24;8;7;35;8326;101;12;39019;33;52
100;19;55;11;83;0;6;11;16;26;243;73;71;7;63;4;1934;13;115;666;11;17;607;592;46
101;4;7;3;13;0;12;117;12;29;27;83;32;247;33;8;11;67;13;18035;27;41;22758;334;111
102;2;6;7;16;23;22;31;14;14;241;9;21;541;16;24;18;29;11;4467;40;32;29729;5;78
103;1;1;0;11;1;6;13;39;10;7;5;62;23;11;18;3870;86;6;24913;36;27;22179;27;10
104;20;19;10;54;45;26;1;8;16;74;57;6;14;30;42;10478;0;46;29;29;13;47;76;65
105;6;2;8;fail;0;14;26;2;32;401;48;14;32;35;8;3487;82;39;1951;46;45;4940;59;59
106;0;7;15;85;8;12;177;19;7;6;29;14;158;29;10;127;20;59;6162;123;39;21055;56;15
107;4;9;8;4;10;10;52;8;6;0;57;18;170;19;24;967;66;25;12062;68;91;29676;134;75
108;10;17;4;1;14;5;78;25;33;45;52;14;542;34;22;90;68;50;3069;154;34;936;66;38
109;4;7;3;73;0;12;176;188;24;807;10;5;34;23;44;32;10;23;2151;17;91;16851;463;62
110;61;6;16;51;61;8;100;7;1;2;29;19;13;134;35;452;130;7;1691;213;65;4901;492;32
111;21;27;12;20;51;4;82;9;19;33;54;23;744;33;30;101;17;15;6574;32;35;43365;45;51
112;16;0;4;75;49;14;82;4;15;22;81;34;1494;34;52;5620;7;9;32;77;12;24336;885;54
113;3;2;7;6;1;10;458;4;3;178;18;10;12;17;72;10559;56;21;17813;51;30;1919;288;23
114;6;5;15;7;4;0;6;21;4;69;1;11;1360;0;36;511;81;35;3298;21;132;3747;62;25
