;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
161;4085;13924;136;1263;fail;285;4127
162;20;60418;881;95;39;138;10887
163;1833;8376;45;27;84;58;60
164;fail;59;29;10075;126;6586;58
165;4605;406;6149;3637;2226;13;148
166;7196;5927;69;14;0;98;3034
167;167;7411;4735;1673;110;24;14
168;3102;20473;1404;6110;65;92;71
169;fail;40;1599;4198;4992;32;131
170;25;4650;2811;6474;177;2715;73
171;fail;72;2445;4759;3079;16;78
172;67;4;43;30472;205;fail;1678
173;fail;1206;40;47;3834;0;275
174;162;4405;6;536;2474;32;59
175;5151;5983;48;12;3570;93;79
176;49;8600;17;11890;2881;fail;3965
177;408;99;8467;12109;2221;2481;17
178;fail;5293;fail;955;10581;6093;99
179;3466;17575;29;4975;2983;75;803
180;96;10437;16;2887;2836;8;5520
181;1677;6404;4786;8606;508;53;68
182;176;2068;111;10668;3665;90;3576
183;2748;237;538;2;261;17;4729
184;153;153;1612;3622;185;2926;1132
185;47;134;1026;1601;63;264;126
186;125;111;125;176;4676;2863;78
187;fail;151;8406;2496;63;39;983
188;37;31;68;6485;7720;9796;1873
189;3397;fail;24;1763;117;974;7870
190;fail;1570;2244;43;22;164;31
191;36;27605;3456;67;68;4191;73
192;1229;22092;1063;1340;1511;1312;6229
193;3651;2723;1750;4364;58;8774;32
194;fail;3036;3180;5565;6228;148;742
195;11047;14040;83;1233;152;19;1625
196;40;329;70;3853;5609;1814;2499
197;145;10333;39;9249;fail;3617;2884
198;42;14284;1473;4637;1145;96;35
199;7730;128;5179;96;189;4482;10
200;78;12951;121;131;1059;2516;93
201;8723;45;25;4;11334;18;45
202;171;19327;39;15;77;1775;19
203;3994;6397;3810;1198;112;143;20
204;172;22;57;151;116;97;113
205;1494;7675;2784;111;119;79;77
206;8168;12029;1477;2175;1108;2638;1343
207;fail;12343;1577;60;180;3861;715
208;2453;326;59;737;1084;9063;59
209;13;7;36;6463;127;5253;187
210;3236;46;344;83;828;479;3611
211;45;8892;21;20078;119;5525;121
212;33;2346;5;3921;32;2517;5825
213;1055;15;24;1009;18;196;612
214;2293;1979;4804;8594;992;99;52
215;fail;642;56;57;27;6774;68
216;436;11;37;18;2782;98;73
217;2;1110;14;25960;54;67;66
218;161;7092;32;597;12030;4371;2015
219;2946;22136;4235;3195;12;3606;2699
220;37;2744;2679;69;93;125;8036
221;3894;42;1234;89;fail;43;4
222;6;44691;8;3175;11138;16;295
223;102;230;12;6418;41;2124;1283
224;3674;1502;25;8004;120;5584;64
225;84;8629;566;318;2579;5115;57
226;6;1147;54;7;fail;164;35
227;177;2998;8426;222;842;234;1144
228;9887;3562;3504;5353;5423;3927;27
229;55;7600;25;55;94;9159;3716
230;2301;91;3702;2662;4382;128;45
231;113;4399;1288;12541;61;27;6776
232;35;5763;15;821;23;75;22
233;15;5672;43;5752;3767;2289;60
234;1432;1862;32;40;134;1802;148
235;8;5610;238;2064;405;183;362
236;fail;102;4539;3711;3979;65;8130
237;2389;320;3106;3588;35;14;2586
238;31;8795;0;6927;24;138;3526
239;7035;578;1411;912;50;688;2685
240;9195;4153;1755;22014;902;67;73
241;24;42;1884;3942;108;97;122
