;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
139;45;26;50;49;45;3210;31;67;66
140;58;177;52;280;84;41;10644;27;26
141;67;8;413;132;49;4621;157;14;5558
142;66;37;119;2377;15;10;6;172;1697
143;55;231;275;2917;35;311;95;35;699
144;38;94;565;414;78;135;158;95;6707
145;71;39;330;103;12;4945;298;5684;478
146;5;130;77;22;61;20;79;97;70
147;17;134;525;1997;51;1373;172;1173;18
148;79;96;553;26;17;9;7552;102;9002
149;21;15;29;54;21;77;46;117;207
150;24;81;73;1042;318;103;1691;3316;fail
151;16;37;5;76;251;159;23;3846;179
152;24;14;42;27;297;0;64;72;2626
153;25;62;15;105;96;255;80;3953;865
154;12;65;567;283;89;109;4902;105;2341
155;21;27;99;868;21;2370;563;1404;5885
156;61;12;82;13;34;10162;2529;57;2049
157;36;40;547;30;1740;73;8545;119;40
158;33;31;863;237;332;5427;47;9;177
159;74;309;48;204;0;4634;52;2431;124
160;20;76;89;6;5;40;282;fail;3728
161;29;68;129;56;182;58;261;2023;24
162;73;59;560;748;150;11;fail;3995;1684
163;46;26;23;36;627;2753;32;24;2312
164;54;67;47;26;864;1379;131;63;28
165;32;52;53;16;2417;70;1904;8185;109
166;33;525;838;135;1290;137;1839;17;6148
167;4;42;19;1425;2538;4078;993;73;69
168;12;26;774;585;50;2902;3839;1271;28
169;23;36;82;474;17;6396;45;2013;6929
170;10;64;19;1741;34;134;3952;1113;11
171;20;94;462;52;67;26;1550;1650;2996
172;4;5;1463;11;2;67;145;107;8276
173;36;145;61;1874;2341;2104;4866;168;3859
174;46;292;105;132;39;528;1712;4190;50
175;26;31;39;788;94;24;3253;fail;46
176;66;40;38;29;149;3609;3543;3;1850
177;25;312;1090;22;126;82;5646;72;66
178;20;29;36;66;1527;7972;30;98;9694
179;37;47;471;463;42;1709;74;5069;1855
180;36;36;8;68;103;1769;27;29;53
181;43;50;206;79;30;91;41;60;2100
182;139;36;27;87;118;168;4176;3391;10301
183;26;36;67;41;71;1871;2521;157;32
184;11;73;1339;1612;16;5465;126;89;35
185;53;196;62;487;3153;7776;573;0;3029
186;94;60;566;36;588;124;4474;54;131
187;53;68;39;1490;740;2784;33;1674;6005
188;19;97;40;232;59;119;167;111;150
189;66;98;419;891;476;6519;1902;4189;11
190;9;27;451;12;114;758;7196;90;64
191;20;57;63;94;675;47;1232;46;3899
192;10;15;37;30;1241;7;73;120;9396
193;84;44;442;519;1087;983;108;3618;1880
194;33;133;16;278;43;9;4821;fail;37
195;32;525;120;301;31;37;27;3113;5841
196;92;332;869;1410;37;4802;165;5162;7134
197;108;268;25;948;24;124;5553;362;94
198;87;28;228;603;42;8255;2107;14;1679
199;6;19;678;0;30;122;66;22;8846
200;101;7;818;10;1639;2362;144;1366;702
201;30;326;106;81;3998;1679;170;6923;103
202;57;138;42;454;13;2946;15;1967;109
203;62;115;25;49;5429;4;216;8980;55
204;20;45;65;52;1412;14;659;2912;536
205;22;44;46;81;236;64;94;5021;1695
206;5;14;444;57;45;17;92;10641;28
207;21;106;142;10;721;50;10302;3621;1508
208;28;149;63;97;119;771;3611;21;1
209;175;24;535;25;61;3;169;5657;1107
210;12;67;365;3;350;271;1700;3390;298
211;142;31;102;90;38;4439;1246;163;5381
212;20;207;166;87;5;64;85;135;fail
213;52;162;108;845;81;2178;102;15;58
214;59;9;90;71;139;7356;56;1614;11512
215;26;29;673;1865;5106;54;1046;5313;6672
216;18;100;36;102;73;269;1558;46;67
217;15;20;1;696;15;4650;66;103;6055
218;11;85;30;43;49;15;6235;50;100
219;57;217;857;605;1049;754;4662;3295;6525
220;45;16;411;26;51;125;186;5608;77
221;40;293;61;51;2455;3778;85;18;8827
222;86;117;198;19;61;277;121;76;39
223;62;72;998;2229;344;692;60;12;3990
224;24;251;39;16;59;38;13;4090;68
225;94;28;73;517;48;1367;14;80;54
226;21;26;129;152;25;5927;116;4348;148
227;136;294;68;28;87;26;122;4270;1028
228;40;59;18;45;15;2992;39;1204;3
229;43;314;396;48;748;178;12;9;15
230;20;68;5;1298;82;470;49;54;2192
231;3;25;33;49;29;3064;111;7594;4459
232;27;49;64;934;804;1510;1332;4075;11
233;61;17;1541;94;1785;125;65;24;1978
234;56;64;543;83;2003;2119;4012;8350;2754
235;55;12;412;491;1468;1470;2322;1948;3678
236;4;70;64;84;47;352;6016;199;3557
237;25;23;45;155;15;574;105;56;115
238;81;45;24;2787;1471;35;9;212;79
239;48;36;21;26;1146;220;6429;108;202
240;35;234;641;9;2068;112;94;7;151
241;38;248;297;1059;20;529;10;18;53
242;28;4;429;69;58;2139;8160;9565;3
243;37;109;518;199;62;149;107;65;200
244;8;22;14;493;6528;12;1524;117;8
245;98;54;315;1342;1834;519;1198;3332;185
246;48;76;429;153;270;110;8136;35;56
247;26;97;816;1006;196;103;507;4114;74
248;15;22;240;448;2448;929;86;4078;51
249;43;19;64;63;1581;7424;83;9458;1310
250;26;163;127;405;796;4020;40;108;33
251;64;266;40;117;1793;186;79;48;40
252;57;66;61;795;532;7445;17;1678;7690
253;125;33;22;511;38;163;2232;39;20
254;23;114;576;408;1148;47;1917;74;81
255;74;48;1213;1;81;102;2051;fail;81
256;17;248;1145;770;340;95;6149;67;69
257;59;64;925;2250;255;2474;2118;3502;41
258;26;36;773;20;5313;13;56;319;690
259;2;178;236;111;89;1956;4380;4814;251
260;85;65;119;141;2991;124;164;35;3068
261;2;404;26;2032;35;3120;7325;441;2539
262;13;21;112;52;2876;4839;2060;162;fail
263;23;50;46;10;1403;948;1319;76;166
264;43;74;29;10;138;29;4901;45;4618
265;168;112;223;916;95;86;152;4264;182
266;77;737;12;1357;984;6417;159;5196;105
267;99;44;63;2;66;1197;14;157;50
268;29;65;41;2;25;17;43;4204;4207
269;110;141;580;125;669;59;892;100;2777
270;13;65;79;661;31;35;6571;809;90
271;47;146;282;39;3519;16;63;21;2347
272;38;64;150;36;20;3500;1079;73;138
273;30;115;396;65;72;1708;8426;365;29
274;19;7;52;148;34;12;2764;22;8
275;40;26;43;1939;38;35;5463;36;3482
276;18;31;30;62;326;2776;85;4195;8923
277;118;42;599;2503;83;3628;2327;29;1956
278;11;151;27;68;16;57;199;2012;13
279;48;25;398;49;532;3179;2912;50;5
280;33;126;302;393;33;6943;2995;118;10907
281;70;67;3;1759;15;1002;30;64;2419
282;42;189;338;80;33;1749;33;6;84
283;37;37;12;413;2177;25;210;1388;5008
284;21;50;16;85;95;5782;1581;7;1688
285;34;41;1;637;1089;140;74;4428;416
286;6;35;26;64;40;22;49;19;1148
287;114;56;60;62;4803;176;2731;41;65
288;9;18;332;373;26;16;411;4266;4797
289;24;128;54;473;2016;34;51;1673;54
290;7;96;83;21;96;5778;197;3855;440
291;128;90;29;44;3043;75;2334;3510;162
