;EA;EA2;EA3;EA4;EA5;EA10
;10000;10000;10000;10000;10000;10000
;921030;921030;921030;921030;921030;921030
0;82359;90256;138688;73320;493507;13532
1;44923;67429;177353;202373;166611;5257
2;163423;30397;30122;1763;53130;36390
3;101711;23954;130456;72297;487042;24554
4;3440;9425;119891;161030;51707;261172
5;386517;3836;8764;263952;77528;71831
6;64021;262756;20943;179572;1514;77725
