;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
135;92452;fail;fail;fail;141555;259348;413184
136;121377;fail;fail;fail;141098;216641;339913
137;122946;fail;fail;fail;153303;254697;423656
138;95216;fail;fail;fail;184813;299967;392585
139;74922;fail;fail;fail;143423;247823;297131
140;104516;fail;fail;fail;179648;281151;328289
141;76873;fail;fail;fail;167323;233408;247625
142;88797;fail;fail;fail;158376;214216;296482
143;96155;fail;fail;fail;181380;234254;362396
144;80273;fail;fail;fail;157758;239985;315475
145;91261;fail;fail;fail;155066;242693;274046
146;103441;fail;fail;fail;155404;278105;392911
147;94754;fail;fail;fail;155765;224851;302279
148;81434;fail;fail;fail;175545;198526;334242
149;84168;fail;fail;fail;175733;196382;301804
150;115912;fail;fail;fail;182216;230582;268725
151;104215;fail;fail;fail;205758;216746;295456
152;83019;fail;fail;fail;180991;221396;293414
153;85547;fail;fail;fail;165483;212049;270938
154;89643;fail;fail;fail;152390;233595;288965
155;93367;fail;fail;fail;146682;252779;358309
156;88604;fail;fail;fail;166828;230788;273991
157;79615;fail;fail;fail;134634;314238;378592
158;82476;fail;fail;fail;166266;190727;286431
159;88119;fail;fail;fail;161527;228073;266902
160;96754;fail;fail;fail;140348;230186;332732
161;86316;fail;fail;fail;198794;256555;286103
162;95107;fail;fail;fail;164791;207357;259686
163;94259;fail;fail;fail;213513;219607;424188
164;129622;fail;fail;fail;138825;251800;338046
165;75154;fail;fail;fail;180523;196093;271981
166;101232;fail;fail;fail;127871;262079;457177
167;98476;fail;fail;fail;195050;240098;290338
168;87868;fail;fail;fail;150076;229375;297792
169;89521;fail;fail;fail;163677;197349;338682
170;77651;fail;fail;fail;206613;260307;311387
171;72418;fail;fail;fail;165418;212008;368003
172;92508;fail;fail;fail;180569;214536;383879
173;93813;fail;fail;fail;157831;183507;303284
174;85159;fail;fail;fail;160204;211373;392062
175;105713;fail;fail;fail;143573;192337;349862
176;81768;fail;fail;fail;159999;199934;305678
177;74963;fail;fail;fail;136524;254429;294810
178;98840;fail;fail;fail;142114;341191;283378
179;76219;fail;fail;fail;183733;221988;304369
180;82686;fail;fail;fail;181520;252513;280747
181;90735;fail;fail;fail;206624;307717;360906
182;89213;fail;fail;fail;187299;214644;230485
183;108681;fail;fail;fail;221923;267160;338157
184;71457;fail;fail;fail;164216;195260;254179
185;93996;fail;fail;fail;149106;262638;457961
186;75786;fail;fail;fail;165557;220040;337732
187;77127;fail;fail;fail;164751;328250;273351
188;84647;fail;fail;fail;161067;205532;244185
189;88417;fail;fail;fail;152757;210235;245729
