;EA;EA2;EA3;EA4;EA5;EA10
156;273301;283139;417090;783262;fail;fail
157;248474;331994;424321;881789;fail;fail
158;188520;292233;467301;873249;fail;fail
159;295569;249374;460316;fail;fail;fail
160;244959;290686;464163;771522;fail;fail
161;247003;264686;420162;fail;fail;fail
162;241221;235615;470172;901863;fail;fail
163;238397;287807;487478;fail;fail;fail
164;195103;352969;479840;fail;fail;fail
165;185310;287323;445834;fail;fail;fail
166;221685;290768;473507;825126;fail;fail
167;171244;361661;500466;fail;fail;fail
168;199448;263039;654639;fail;fail;fail
169;203718;318699;525932;800799;fail;fail
170;228503;241039;568069;fail;fail;fail
171;236398;292998;414064;fail;fail;fail
172;187532;304422;461309;805163;fail;fail
173;225921;318778;467321;fail;fail;fail
174;217086;317158;581491;829192;fail;fail
175;237639;364689;439045;fail;fail;fail
176;247583;286854;405916;845279;fail;fail
177;229386;330745;430784;880506;fail;fail
178;216375;253356;549870;890417;fail;fail
179;188562;286690;494091;fail;fail;fail
180;246116;430802;441368;fail;fail;fail
181;225658;289760;525585;873877;fail;fail
182;216003;297583;404729;fail;fail;fail
183;226138;301291;451078;835210;fail;fail
184;219028;300245;528036;798529;fail;fail
185;202383;263972;449083;fail;fail;fail
186;221751;262205;533199;fail;fail;fail
187;246878;332499;536268;868041;fail;fail
188;214010;272101;515069;fail;fail;fail
189;216997;319584;440345;fail;fail;fail
190;181689;251895;632910;885182;fail;fail
191;221426;277809;473306;fail;fail;fail
192;225018;295758;565625;fail;fail;fail
193;230182;209129;443819;fail;fail;fail
194;248652;305503;508848;885349;fail;fail
195;224623;256484;376702;fail;fail;fail
196;231110;282754;702231;fail;fail;fail
197;203201;359610;471083;914545;fail;fail
198;214004;323664;509276;821617;fail;fail
199;188635;266991;480899;871297;fail;fail
200;229862;259440;461583;fail;fail;fail
201;205706;331372;485885;fail;fail;fail
202;218865;283684;470985;fail;fail;fail
203;252758;284366;411041;fail;fail;fail
204;211118;276632;466570;897284;fail;fail
205;213250;327402;420239;fail;fail;fail
206;200431;299648;431929;856765;fail;fail
207;223650;313055;506451;698637;fail;fail
208;193770;253866;535617;fail;fail;fail
209;244395;293749;422785;866183;fail;fail
210;219034;277800;430436;fail;fail;fail
211;191477;254440;711841;fail;fail;fail
212;263256;267424;535674;fail;fail;fail
213;275153;291294;536699;fail;fail;fail
214;194888;351369;554764;845245;fail;fail
215;222962;278284;521204;817500;fail;fail
216;227271;239419;375225;fail;fail;fail
217;268510;320149;512298;fail;fail;fail
218;284362;282531;375436;fail;fail;fail
219;279941;269740;410672;fail;fail;fail
220;191443;399984;578738;fail;fail;fail
221;273295;233405;477452;738635;fail;fail
222;198154;257799;494644;fail;fail;fail
223;216526;224453;520573;fail;fail;fail
224;231636;245672;405216;852766;fail;fail
225;188766;283797;559876;790887;fail;fail
226;277429;331361;459042;fail;fail;fail
227;191467;332873;426448;752879;fail;fail
228;206535;278097;478241;fail;fail;fail
229;197628;277651;472403;761360;fail;fail
230;303711;411912;511162;669480;fail;fail
231;285607;240682;561906;817718;fail;fail
232;270914;275446;443686;805961;fail;fail
233;205989;272272;521123;839900;fail;fail
234;210050;411556;444314;856975;fail;fail
235;182566;270305;466790;fail;fail;fail
236;225408;313272;487166;859240;fail;fail
237;180704;323307;651036;fail;fail;fail
238;284370;312551;518418;fail;fail;fail
239;194563;368470;441472;fail;fail;fail
240;266424;271588;504653;fail;fail;fail
241;229339;256950;442546;fail;fail;fail
242;183143;301073;443069;fail;fail;fail
243;202048;279105;664981;656038;fail;fail
244;211427;292735;539662;fail;fail;fail
245;203914;255499;538803;fail;fail;fail
246;227086;364379;404598;819999;fail;fail
247;272433;337594;579603;860584;fail;fail
248;183883;419410;494898;697286;fail;fail
249;231980;298678;408028;fail;fail;fail
250;227117;257326;439484;fail;fail;fail
251;214371;284234;551760;743258;fail;fail
252;229367;298766;597789;746124;fail;fail
253;262202;314639;516199;842928;fail;fail
254;272825;252651;611390;fail;fail;fail
255;208123;236133;411339;827288;fail;fail
256;211976;310873;624752;735656;fail;fail
257;220879;306107;580878;fail;fail;fail
258;295802;253300;542649;890568;fail;fail
259;206192;227108;462277;920371;fail;fail
260;241218;291196;539442;fail;fail;fail
261;216853;252739;556080;fail;fail;fail
262;204261;249454;387862;893480;fail;fail
263;243521;268054;497176;825176;fail;fail
264;197028;286876;416994;fail;fail;fail
265;191120;294855;604625;fail;fail;fail
266;249680;346933;362692;747790;fail;fail
267;195697;251555;415892;871839;fail;fail
268;294502;244427;406148;780557;fail;fail
269;247485;224413;508353;fail;fail;fail
270;289429;297911;399693;fail;fail;fail
271;286259;263815;429362;914933;fail;fail
272;191957;260694;490710;764929;fail;fail
273;194766;263376;558774;fail;fail;fail
274;211958;315400;426260;fail;fail;fail
275;242403;260305;463757;842094;fail;fail
276;267947;376144;364616;817553;fail;fail
277;274795;329297;408213;904080;fail;fail
278;219558;235512;436009;fail;fail;fail
279;237606;229526;520392;fail;fail;fail
280;227362;405988;435390;fail;fail;fail
281;227462;418734;448664;fail;fail;fail
282;244854;364466;513125;771858;fail;fail
283;269114;238205;529242;fail;fail;fail
284;249577;333908;508578;765650;fail;fail
285;203172;249276;382915;fail;fail;fail
