104;2939;5864;17914;1342;2234;135;1399;9305;1979
105;fail;2215;199;2493;1637;5198;215;1990;60677
106;88;899;482;1160;1128;7889;6949;13698;4960
107;fail;2429;8639;1757;1121;1428;995;6973;26448
108;fail;7344;5792;6823;1662;4690;4424;2275;6407
109;1786;7176;5467;8696;1006;6927;120;311;957
110;fail;4432;966;6910;11707;3805;504;459;5009
111;fail;15120;1906;5307;1247;747;1045;1437;16785
112;fail;9241;27952;2612;963;53;2750;9653;8929
113;320;188;303;3051;2039;7214;4516;6295;11200
114;fail;3545;6104;1703;1859;2075;11605;5143;9268
115;177;1178;1310;2521;9572;4993;1901;4308;3808
116;599;21231;586;719;22071;162;2780;475;33461
117;549;4800;25331;1044;4143;1112;1759;17896;14201
118;2717;635;11609;204;969;4335;5748;4689;4041
119;1723;977;588;438;2315;849;7457;9503;1092
120;1925;4048;873;518;4374;30;2534;1242;5871
121;148;3441;1818;379;10086;612;799;32377;2455
122;250;16341;3533;453;4932;1688;26832;37183;3651
123;229;194;3293;1323;1925;51;27;6792;26993
124;fail;2152;9057;136;2747;2962;15233;6060;49858
125;321;2407;3864;896;63;2677;2889;5875;11977
126;799;522;2656;49;2282;763;6065;fail;5785
127;784;1644;546;241;1165;1042;1433;13404;3107
128;2525;6266;574;24088;5430;137;3143;5938;1318
129;230;11239;1632;1145;5615;2653;3801;572;14463
130;fail;429;1030;2023;2739;365;918;4908;1865
131;638;3592;1107;564;5154;284;12302;23613;fail
132;fail;962;361;5116;3205;66;1668;10606;548
133;682;1277;159;7632;25;5480;441;12055;5503
134;fail;874;3655;774;1520;631;4681;2512;1008
135;105;24058;2568;283;4129;6873;2775;1384;14829
136;1227;1233;1676;3565;1081;2631;4409;16634;5182
137;fail;2714;2764;1624;3835;6782;165;1353;5140
138;fail;12210;9229;1928;4253;8117;7978;15553;54571
139;590;5732;138;981;305;486;719;4003;42682
140;fail;6042;13512;2401;1491;4780;620;7261;11858
141;fail;20148;5452;10432;1351;8611;12829;12385;16861
142;fail;388;1259;604;2319;4343;1464;2338;22689
143;841;4570;6835;811;2889;237;1858;19764;40983
144;fail;990;18283;584;3347;2868;2336;12602;10797
145;fail;1808;6146;1196;5089;444;5501;5819;2979
146;fail;27855;1675;3563;2526;15131;2378;1905;1346
147;1456;3238;3344;843;1716;1351;7364;35138;21227
148;278;27675;942;8867;621;349;3057;2635;30222
149;fail;774;1737;2978;2100;1344;14111;1115;16498
150;fail;26015;5761;1857;1075;3472;1763;20202;60799
151;1847;5878;197;5214;1658;638;3677;1374;4380
152;175;2464;15267;4402;4253;5475;4814;6384;4795
153;1577;252;2330;25300;1220;1758;3419;3016;13747
154;fail;1213;44974;1626;4075;3038;1193;952;18808
155;fail;11874;1167;563;3002;5525;743;13708;20006
156;2146;1052;1846;1365;206;1302;1519;13043;7703
