0;fail;fail;fail;fail;2791;17741;fail;18227;fail
1;fail;fail;1547;fail;19354;12682;fail;3462;fail
2;fail;fail;30686;42162;11949;fail;25620;fail;fail
3;fail;35555;11850;fail;34757;65791;65458;26434;fail
4;984;28669;fail;fail;34727;5007;15939;fail;fail
5;fail;fail;33043;7902;fail;16768;15608;fail;fail
6;fail;fail;53124;8106;14370;16436;44300;31520;8295
7;fail;280;12511;16155;fail;35793;9011;fail;fail
8;fail;29949;fail;8703;47858;fail;fail;fail;fail
9;fail;fail;fail;32365;fail;20427;48138;fail;fail
10;fail;fail;fail;3851;30134;62857;53276;68895;fail
11;fail;fail;fail;2262;65710;fail;fail;fail;fail
12;fail;43898;41392;53379;55002;fail;fail;65070;fail
13;fail;34209;46971;fail;12766;11641;fail;fail;44724
14;fail;45835;23563;6867;fail;28692;fail;fail;fail
15;fail;fail;8093;20182;fail;fail;50888;fail;fail
16;fail;fail;fail;fail;21755;fail;33785;fail;fail
17;fail;1513;25175;fail;15924;9003;fail;11298;12342
18;fail;fail;34799;10562;6350;14727;fail;fail;fail
19;fail;14018;8347;fail;28885;31221;fail;596;fail
20;fail;25295;46430;13043;37100;45167;fail;fail;fail
21;fail;fail;35723;fail;7649;8716;41025;34600;fail
22;fail;6263;54876;10320;22740;6230;739;fail;26048
23;fail;fail;8303;47589;6396;fail;30088;fail;fail
24;fail;fail;1604;fail;fail;4961;24418;21046;fail
25;75;29930;fail;10580;3478;25933;12000;fail;fail
26;fail;fail;35647;1265;5053;58898;19533;fail;fail
27;fail;2274;fail;fail;12990;53533;fail;fail;fail
28;fail;36153;6355;fail;63310;67599;2105;fail;fail
29;fail;35236;fail;fail;14533;fail;fail;fail;fail
30;812;45275;23661;62519;29827;50445;52406;fail;fail
31;fail;17433;74;3402;116;11035;49416;fail;fail
32;11;fail;56312;fail;27495;27856;963;4969;fail
33;fail;fail;fail;30154;27201;fail;29028;66409;6865
34;fail;fail;fail;fail;792;fail;fail;fail;fail
35;fail;1510;31529;64718;fail;fail;fail;fail;fail
36;fail;48791;12290;37335;16008;19370;fail;65352;13464
37;fail;4734;16227;5937;fail;fail;fail;fail;fail
38;fail;fail;11590;41272;fail;30965;21322;fail;fail
39;fail;46549;11572;fail;3852;11655;2327;fail;fail
40;fail;21828;fail;16358;4686;fail;14692;21974;fail
41;fail;fail;fail;2468;4867;15354;fail;fail;26476
42;fail;51245;395;37936;2765;fail;25545;fail;fail
43;fail;31102;fail;3240;fail;fail;fail;23510;2877
44;fail;fail;2155;fail;fail;63412;58280;47116;fail
45;fail;1821;fail;29566;5062;46792;39290;20418;32213
46;fail;fail;fail;1447;759;49900;32630;16339;fail
47;fail;58213;21430;9402;3951;6289;fail;fail;fail
48;fail;49575;59507;21706;51962;10953;3031;28109;fail
49;fail;5082;41036;fail;17198;12036;fail;fail;fail
50;fail;fail;35876;33853;25538;8278;fail;fail;fail
51;fail;fail;62241;29137;12467;19660;fail;fail;fail
52;1078;fail;66716;6975;fail;fail;31983;fail;fail
53;fail;2909;803;4157;fail;51732;50692;fail;fail
54;fail;56099;fail;fail;fail;5044;fail;65929;fail
55;fail;fail;29954;fail;40608;fail;fail;2321;fail
56;721;4212;13506;7852;3996;22142;3725;fail;fail
57;fail;fail;38331;23687;25184;33479;28291;fail;56412
58;fail;fail;32480;16222;49308;48439;fail;10427;fail
59;fail;47092;43501;25365;56817;59910;5188;fail;37922
60;fail;fail;fail;28218;39773;16547;18397;fail;fail
61;358;fail;fail;5844;21044;6058;11826;29237;fail
62;fail;fail;52621;53282;25793;2518;fail;fail;34384
63;fail;49540;fail;39332;9395;fail;fail;53898;fail
64;fail;fail;39067;fail;fail;16659;fail;59823;fail
65;fail;1188;68497;24686;39010;60245;41639;fail;fail
66;374;2576;25441;12821;31216;24998;4396;fail;19253
67;fail;fail;16306;384;55161;fail;203;fail;fail
68;fail;1075;1716;3680;3103;51571;41800;7737;fail
69;fail;55676;fail;fail;32261;fail;fail;fail;fail
70;1788;44329;16601;13617;6676;19907;fail;fail;48080
71;fail;fail;27254;2139;25493;8016;24143;fail;fail
72;fail;18195;fail;fail;54324;33697;fail;fail;fail
73;fail;43868;52414;fail;fail;fail;fail;fail;fail
74;fail;5519;fail;32438;34779;26205;18685;fail;45331
75;fail;38132;23786;fail;39016;fail;fail;fail;fail
76;fail;fail;fail;44566;fail;fail;19853;fail;fail
77;3526;4210;10956;13468;fail;29059;fail;4371;fail
78;fail;10403;fail;67104;41333;61467;fail;fail;fail
79;fail;fail;fail;11377;25633;48041;37366;fail;fail
80;fail;27374;46425;5151;43861;fail;8490;fail;fail
81;fail;56236;16205;fail;56521;fail;fail;fail;fail
82;2243;10497;35478;1456;fail;17798;10335;16717;fail
83;fail;22580;8031;8123;9308;28390;48751;44993;fail
84;fail;14047;30428;fail;fail;35277;40650;61690;57678
85;1047;fail;15589;24232;12628;17526;fail;fail;fail
86;fail;7606;3561;fail;5321;5483;fail;fail;40557
87;fail;566;fail;23447;7945;32335;fail;34312;fail
88;fail;fail;44604;23937;35220;fail;fail;fail;fail
89;fail;fail;fail;7432;fail;2792;13179;62523;fail
90;fail;33239;55397;8397;fail;16121;9693;fail;fail
91;fail;50130;fail;12963;39448;fail;fail;fail;12179
92;fail;fail;fail;29138;9977;fail;43282;fail;fail
93;fail;15323;53217;fail;fail;fail;fail;fail;fail
94;540;10302;50789;17707;fail;fail;67543;fail;fail
95;fail;fail;fail;5609;57112;11386;fail;fail;fail
96;fail;fail;43023;31745;8145;17073;fail;fail;fail
97;fail;fail;fail;2274;27750;fail;26962;fail;66083
98;fail;14929;fail;fail;25837;29651;15644;fail;fail
99;fail;fail;1515;fail;366;1117;fail;9159;fail
100;fail;fail;10911;fail;30510;47624;fail;62983;fail
101;fail;fail;fail;23616;58329;8914;37308;10341;fail
102;744;3384;3528;fail;14827;64977;20683;15045;fail
103;fail;fail;fail;6864;6114;10590;fail;8289;66796
104;fail;48595;fail;23664;fail;fail;38625;fail;fail
105;fail;25825;fail;119;fail;49146;54609;fail;fail
106;fail;fail;8999;fail;fail;20181;38195;fail;fail
107;fail;5675;26766;468;fail;22559;52790;977;39759
108;fail;fail;7593;2847;7285;37317;5754;fail;66483
109;fail;7895;fail;57864;fail;fail;9970;fail;63614
110;fail;fail;17560;fail;2158;fail;24244;11604;fail
111;fail;fail;fail;fail;27644;fail;fail;fail;fail
112;2059;28554;61620;fail;56314;2015;14036;fail;fail
113;fail;fail;3301;31946;7963;30430;12589;26769;fail
114;fail;48653;fail;46533;2690;85;55142;53575;196
115;fail;fail;fail;6788;40747;fail;58131;fail;fail
116;fail;5941;5709;fail;11784;11555;fail;66209;fail
117;671;41368;fail;3557;fail;2723;fail;48823;fail
118;fail;fail;45047;23992;12568;68245;fail;fail;fail
119;fail;2736;11295;29448;12636;6031;1282;fail;fail
120;fail;fail;52438;4949;145;9040;fail;fail;24917
121;fail;fail;11980;7688;4186;64847;26489;fail;fail
122;fail;fail;7107;5062;39521;fail;10202;fail;fail
123;fail;fail;fail;6277;49239;57074;43910;fail;fail
124;fail;38118;34232;14315;fail;5320;31632;fail;fail
125;fail;fail;24743;68838;14124;60568;38858;fail;fail
126;fail;51655;fail;fail;fail;fail;56444;fail;fail
127;fail;15859;4679;6319;22974;12359;10823;fail;9861
128;fail;423;1839;16044;6935;13560;56892;fail;fail
129;fail;44106;46794;157;3255;fail;24450;fail;38057
130;fail;2300;37167;24529;fail;34689;fail;fail;22981
131;fail;37918;35012;40791;67663;53172;fail;fail;fail
132;fail;fail;51319;fail;44636;2961;1626;21523;fail
133;fail;fail;fail;34084;15676;996;33057;fail;fail
134;fail;fail;15431;42218;25596;17950;1782;fail;fail
135;fail;fail;fail;fail;17476;24902;29797;fail;fail
136;fail;21268;48584;fail;185;35981;34597;55041;fail
137;fail;fail;fail;65324;28565;13480;47832;68527;fail
138;fail;21406;fail;54218;17539;35774;41923;25449;fail
139;fail;fail;63168;48953;fail;3275;fail;fail;fail
140;fail;47596;fail;2029;11987;33456;51394;23381;62956
141;fail;32010;52298;679;fail;fail;30578;39699;fail
142;fail;fail;9010;39041;fail;55287;10981;fail;fail
143;fail;fail;fail;18007;12130;3263;10657;fail;fail
144;fail;fail;fail;fail;10915;52272;46336;fail;44451
145;2901;1402;fail;1327;fail;5781;51021;fail;51725
146;156;fail;fail;13338;23444;fail;fail;fail;fail
147;fail;fail;fail;fail;41335;47192;fail;fail;fail
148;1608;fail;fail;42182;7588;57646;fail;fail;fail
149;fail;463;fail;4243;30058;33790;15432;fail;fail
150;fail;fail;fail;fail;34448;fail;fail;fail;fail
151;fail;fail;fail;44817;32776;10617;1240;15065;fail
152;fail;fail;fail;57533;61917;fail;28439;36290;fail
