0;fail;761;4856;3829;755;3415;4401;13829;20765
1;167;1997;1698;66;17803;2271;3099;9967;7125
2;fail;3715;2108;935;3028;1048;1425;7830;34908
3;fail;5088;3656;3365;1475;3774;1760;24741;14377
4;fail;24226;2513;11222;6638;13139;5303;1626;732
5;fail;4171;4831;994;1453;4656;2601;2063;3096
6;806;1589;834;1892;1922;390;6013;5313;2699
7;345;577;405;2731;1877;180;2547;29320;11101
8;fail;132;385;819;7476;211;2340;2465;36581
9;414;1153;3868;607;3264;1418;5608;399;8714
10;661;1562;1366;884;2032;3367;503;762;9802
11;312;6704;559;666;397;1315;4834;11724;3763
12;fail;760;7291;3397;576;2949;9859;2185;5509
13;2405;2178;494;1862;99;1074;6164;604;28765
14;fail;809;900;3499;2757;3631;8384;9100;44194
15;2298;3239;2692;5152;4440;2574;1555;4132;5835
16;fail;1009;1152;1144;2115;409;6281;3963;16
17;167;69;6325;2252;142;1625;1070;27833;3801
18;fail;2687;1162;980;12425;1836;2167;51450;16762
19;fail;1388;8293;1002;145;526;1129;2602;582
20;1302;fail;839;850;23;874;892;937;12069
21;331;187;2000;1739;753;394;1515;3444;39673
22;fail;11262;5781;898;20006;719;5613;20580;37746
23;459;5350;7439;4757;5885;259;3545;1573;45652
24;284;589;1264;599;2724;928;126;3803;7339
25;4380;441;1615;7858;1231;1961;232;2631;10834
26;fail;8075;20759;3007;221;1279;1034;2074;31312
27;301;8900;1136;15847;231;2074;465;3847;5369
28;fail;4691;2726;862;3011;1697;19327;13682;24606
29;385;1811;1195;6809;2188;11067;4631;16505;570
30;fail;17956;1993;436;1693;7076;746;2972;58842
31;796;395;2207;510;3028;1682;3615;754;2338
32;812;2778;1614;76;3153;3332;9960;20164;43626
33;646;40036;233;122;297;1606;4261;656;3367
34;fail;903;521;1473;9089;5580;3095;2844;10880
35;fail;8314;2520;2361;5417;2689;5701;8026;68881
36;1332;868;1379;1442;2908;2314;7538;6728;3314
37;fail;13664;5187;4026;1600;10403;5790;8931;17880
38;1122;40020;10193;808;221;2979;1189;15446;19707
39;261;2507;9844;1898;7430;7448;2401;412;4453
40;488;6673;29367;5288;465;6103;16099;4485;39136
41;743;5840;38123;920;187;3409;5144;2568;4133
42;739;66856;8123;1961;801;4459;6429;10991;7248
43;fail;4220;1746;1586;229;1219;801;2338;5506
44;1590;679;2206;1342;8634;451;1383;4720;6427
45;367;2510;769;2779;3011;221;478;18898;1071
46;fail;1364;2204;332;1000;102;9910;20625;36609
47;fail;86;481;315;7758;1519;1817;8921;9866
48;fail;900;3442;63;11449;95;1464;14828;5043
49;1794;7552;5855;1797;14236;642;1844;62586;35715
50;2382;4915;683;15697;65;28;376;3358;10526
51;3953;4803;5282;1099;1051;410;2671;2010;18700
52;113;19;693;263;1778;1151;1005;5725;14328
53;510;1965;2040;1163;5174;7218;850;584;1177
54;802;21932;1143;56;3807;5385;3782;15;13110
55;fail;7095;3228;4757;99;3037;4551;11274;8891
56;fail;9473;1545;1131;4791;9537;789;5473;14796
57;746;647;4234;4931;5231;2993;910;3770;12963
58;920;5605;198;257;409;1153;2415;15510;636
59;295;82;2541;1041;711;2330;2151;10327;19924
60;194;1322;2279;11;6016;6496;904;2870;4313
61;fail;47;814;8947;2304;681;7157;34983;44224
62;2999;11730;14215;483;889;5268;4336;5941;1904
63;fail;10204;28126;37;2436;1060;18116;2421;3985
64;fail;11579;527;6297;1616;890;1811;9868;7232
65;fail;6111;865;1882;766;647;4275;37795;2549
66;675;1753;4938;1625;17;1092;20687;185;30880
67;1014;256;1756;1730;1450;3050;6365;616;6395
68;fail;7248;183;1891;625;20766;1128;2476;19453
69;fail;11754;7162;4455;2457;6711;8134;4212;8627
70;1029;3121;4233;3383;15163;1587;147;7855;29356
71;fail;31056;1089;1424;109;5015;5277;12763;15975
72;446;390;2141;6770;135;2542;1406;20491;46311
73;fail;6758;450;1394;1385;3747;5600;9639;3677
74;260;636;88;1015;760;1078;259;4086;255
75;308;600;1502;10699;17286;804;6514;34164;42119
76;84;6817;2546;19029;764;9702;193;5027;3961
77;63;56508;1307;1002;1416;2720;14074;5924;1484
